UCL_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
UCL101001,43,1898,3033,9496,4780,3867,2026,863,225,26235,25,288,342,5855,1813,1220,835,536,155,11062,25,142,272,3609,1377,2476,4084,4215,2519,18726,85,361,436,1382,864,472,270,103,29,4001,103,863,1891,9636,4299,2992,1647,926,224,22597,138,547,956,7461,6409,6791,5326,2815,645,31098,77,476,1474,6821,2483,2046,2062,929,178,16535,0,5,11,152,169,614,1709,1385,427,4478,0,8,79,592,329,522,482,239,63,2317,6,46,236,1419,568,477,332,142,52,3283,54,350,10332,19820,1427,289,153,35,0,32455,21,131,146,727,512,476,778,629,290,3711,277,2256,4672,13982,7373,6122,3436,1221,284,39626,0,45,85,889,811,1264,1546,790,210,5644,224,1679,2243,9674,1992,1241,512,109,25,17702,0,22,65,269,456,316,179,77,33,1429,183,1556,3173,15617,6232,5219,3472,872,155,36469,11,68,63,1394,669,748,1164,371,223,4705,18,214,434,1226,931,1022,505,133,15,4496,9,157,240,1692,1379,1573,1422,953,278,7703
UCL102001,0,0,0,8,7,0,0,0,0,11,0,0,3,13,0,6,3,5,0,31,0,0,0,7,5,24,33,33,29,131,0,0,0,3,0,4,0,0,0,9,0,0,0,12,3,0,0,0,0,16,0,0,0,0,0,3,0,0,0,6,0,0,5,14,10,13,0,0,0,44,0,0,0,0,0,0,11,6,6,23,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,4,0,0,0,12,0,7,29,238,5,6,0,0,0,272,0,0,4,3,7,3,10,7,3,36,0,7,35,94,72,54,35,5,5,308,0,5,6,43,39,72,63,28,13,264,0,6,3,68,5,0,4,0,0,86,0,0,0,4,13,10,0,0,0,22,0,25,32,90,37,12,7,0,0,209,0,0,0,3,4,5,11,3,0,21,0,0,0,5,3,0,5,0,0,14,0,0,0,0,7,26,20,10,0,67
UCL102002,0,0,0,10,9,3,0,0,0,30,0,31,28,119,88,76,91,93,14,545,0,4,8,37,32,79,150,146,69,529,0,16,16,15,17,11,11,3,0,97,3,23,27,105,81,36,33,22,3,342,0,0,9,13,24,35,32,14,6,124,0,9,19,69,30,44,27,11,4,211,0,0,3,4,12,37,140,102,21,314,0,0,0,11,14,12,24,15,6,78,0,0,0,3,4,4,7,9,4,26,0,6,28,229,9,3,0,0,0,281,0,4,9,17,29,42,141,123,41,410,18,94,131,665,621,554,445,202,40,2769,0,0,0,0,4,16,4,0,0,24,4,9,12,74,5,7,6,0,0,116,0,3,5,30,38,31,12,5,0,124,11,69,73,329,102,82,50,14,0,728,0,3,3,49,25,26,40,28,9,184,0,0,0,15,4,6,0,0,0,35,0,18,22,94,124,193,181,171,56,855
UCL102003,0,0,0,0,0,0,0,0,0,0,0,4,0,23,14,8,7,19,6,76,0,0,0,17,6,5,23,17,8,85,0,8,0,16,7,4,5,0,0,46,0,0,3,3,5,0,0,0,0,17,0,0,0,0,0,0,4,0,0,10,0,0,3,6,5,17,7,0,0,37,0,0,0,0,0,5,9,9,3,25,0,0,0,0,0,5,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,24,0,0,0,0,3,9,33,35,13,93,3,21,43,218,181,148,172,116,29,931,0,0,0,0,0,5,3,0,0,3,0,0,0,9,0,0,0,0,0,9,0,0,3,5,11,12,0,3,0,38,0,20,18,56,19,7,3,0,0,123,0,0,0,8,4,0,10,5,0,30,0,0,0,0,0,0,0,0,0,6,0,0,3,8,15,31,45,48,22,178
UCL102004,3,11,8,32,9,3,6,0,0,75,0,32,18,114,67,49,46,26,9,354,0,3,9,46,20,58,121,125,100,478,4,13,15,35,5,4,10,0,0,90,0,20,36,158,37,21,4,3,0,282,0,7,0,8,9,9,12,0,0,45,0,7,47,124,52,56,47,15,6,368,0,0,0,5,0,11,30,17,0,67,0,0,0,12,4,5,6,0,0,30,0,3,4,16,7,5,0,5,0,32,0,8,66,294,15,3,0,0,0,381,0,8,5,32,30,26,105,89,36,317,11,96,140,558,393,349,249,93,31,1917,0,0,0,13,36,88,151,89,37,424,7,28,84,287,19,8,5,4,0,445,0,3,6,18,39,22,12,3,0,96,6,54,78,262,71,23,11,6,0,521,0,0,0,34,16,21,47,21,15,164,0,0,9,24,13,14,12,3,0,81,5,23,19,88,89,127,155,115,35,659
UCL102005,0,38,36,72,32,29,6,9,0,221,0,24,22,79,66,42,46,35,13,327,0,7,8,57,59,178,400,322,235,1269,3,10,17,24,10,0,3,0,0,66,0,5,20,67,29,21,4,5,0,162,3,7,10,101,67,83,66,42,9,378,3,11,32,63,25,33,21,10,4,191,0,0,3,6,11,48,128,86,34,320,0,0,0,8,0,11,6,4,0,26,0,3,5,65,24,11,5,4,0,124,0,4,26,154,3,4,0,0,0,193,0,3,3,17,21,41,162,141,42,431,8,66,126,451,301,271,159,63,22,1464,3,0,11,111,246,447,625,318,84,1851,8,28,44,231,20,12,9,0,0,352,0,0,0,13,14,6,6,0,0,47,3,50,56,231,94,43,32,16,0,521,0,0,0,30,17,29,68,27,9,180,0,0,5,12,5,0,0,3,0,33,0,6,17,53,86,228,229,168,41,836
UCL111001,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,3,4,3,0,28,0,0,0,10,3,4,10,8,4,47,0,3,0,0,0,0,0,0,0,10,0,0,0,16,0,0,0,0,0,19,0,0,0,6,8,0,0,0,0,13,0,0,8,7,9,3,0,0,0,19,0,0,0,0,0,0,3,3,0,9,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,56,89,5,0,0,0,0,177,0,0,0,4,0,6,37,31,5,83,0,10,11,87,48,51,46,18,3,285,0,0,0,0,0,0,0,0,0,4,0,3,5,27,0,0,0,0,0,44,0,0,0,0,5,5,3,0,0,19,0,8,33,65,27,10,3,4,0,151,0,0,0,0,0,4,5,0,0,10,0,0,0,0,3,0,0,0,0,7,0,0,0,3,10,14,28,18,7,82
UCL111002,3,77,28,59,3,3,4,0,0,183,0,4,0,16,12,8,5,0,0,47,0,0,0,9,3,0,19,15,8,53,0,6,0,4,3,0,0,3,0,22,0,0,0,6,4,0,0,0,0,6,0,0,0,0,3,0,0,0,0,5,8,36,5,27,10,10,5,0,0,105,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,39,106,28,8,9,0,0,212,0,0,3,31,0,0,0,0,0,38,0,0,0,0,4,4,26,19,12,65,0,3,13,70,53,64,63,34,18,321,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,16,0,0,0,4,7,9,0,0,0,17,0,13,20,43,11,0,0,0,0,86,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,3,7,12,22,22,12,11,93
UCL111003,0,0,0,7,4,3,0,0,0,15,0,5,0,11,8,3,3,8,6,54,0,0,0,8,0,6,13,10,7,48,5,0,0,5,0,0,0,0,0,9,0,0,4,30,6,0,3,0,0,49,0,0,0,4,0,5,0,0,0,7,0,0,5,37,13,4,0,0,0,64,0,0,0,0,0,3,10,5,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,30,0,0,0,0,0,53,0,4,0,6,0,7,18,19,9,64,0,22,41,152,105,89,51,29,3,496,0,0,0,0,0,0,0,0,0,5,0,10,9,35,9,12,4,0,0,72,0,0,0,4,5,4,0,0,0,14,3,21,30,75,29,10,7,0,0,170,0,0,0,3,4,0,5,6,5,21,0,0,0,7,6,9,0,0,0,26,0,3,6,19,22,30,29,23,3,141
UCL112001,13,79,84,65,19,9,5,0,0,270,0,0,0,6,6,0,3,4,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,3,0,0,6,5,3,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,12,102,3,0,0,0,0,124,0,4,0,0,0,0,5,5,0,15,0,7,13,22,15,25,17,9,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,4,5,4,0,6,0,0,10,0,12,3,36,6,4,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,4,3,12,3,8,0,34
