UCL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL101001,2483,36112,385,36493,..,16745,5563,22309,156,22459,..,17248,4159,21405,144,21553,..,74995,36526,111523,754,112277,..,164004,33505,197509,3928,201435,..,1572627,324868,1897501,16964,1914464,..,24263,6107,30369,221756,252123,2532072,1596891,330979,1927868,238718,4698656
UCL102001,0,62,0,62,..,68,5,81,0,79,..,33,4,31,0,31,..,62,15,76,0,76,..,714,80,789,12,798,..,5798,624,6422,54,6472,..,171,29,198,1655,1854,29186,5965,653,6616,1708,37511
UCL102002,10,194,6,192,..,606,141,750,5,749,..,128,15,144,0,146,..,370,96,465,3,469,..,3457,404,3858,125,3983,..,20527,2735,23265,309,23578,..,1036,114,1150,15702,16843,284832,21572,2842,24412,16014,325255
UCL102003,0,14,0,15,..,134,17,149,0,149,..,25,0,25,0,25,..,65,6,65,0,65,..,435,61,492,13,507,..,3139,305,3440,46,3492,..,200,18,219,3639,3864,56364,3340,328,3663,3692,63721
UCL102004,9,385,3,389,..,483,129,609,0,616,..,99,14,116,0,119,..,673,217,883,14,901,..,3903,623,4531,129,4658,..,23716,3404,27125,359,27482,..,1067,126,1188,13767,14953,306099,24784,3532,28315,14122,348539
UCL102005,3,216,0,218,..,574,149,723,8,728,..,1023,250,1276,8,1287,..,964,313,1274,5,1285,..,4028,761,4786,96,4879,..,34228,6202,40425,359,40790,..,981,150,1125,11661,12792,226576,35210,6347,41555,12023,280153
UCL111001,0,46,0,46,..,77,12,81,0,81,..,0,3,7,0,7,..,59,15,70,0,75,..,626,146,773,20,792,..,3927,757,4685,68,4750,..,156,33,186,2813,3002,45920,4080,787,4871,2885,53677
UCL111002,0,10,0,10,..,70,12,81,0,81,..,6,0,6,0,6,..,48,10,63,0,61,..,1313,653,1960,55,2017,..,3450,940,4389,73,4462,..,187,36,225,3029,3254,43355,3638,976,4621,3094,51069
UCL111003,4,54,0,54,..,116,32,144,0,144,..,15,4,20,0,20,..,100,59,157,0,157,..,850,137,986,39,1025,..,4323,716,5035,70,5107,..,217,12,229,3219,3451,81037,4540,726,5269,3291,89597
UCL112001,0,17,0,22,..,23,0,31,0,29,..,7,0,12,0,12,..,72,18,94,0,94,..,605,258,864,9,871,..,2337,389,2718,30,2746,..,97,31,136,2076,2212,16351,2433,421,2855,2105,21312
UCL112002,6,63,0,65,..,37,25,68,0,68,..,0,0,5,0,5,..,65,15,73,0,73,..,309,37,346,5,355,..,1966,231,2193,35,2227,..,67,4,73,2360,2437,31569,2033,239,2270,2396,36230
UCL112003,0,8,0,8,..,64,8,69,0,69,..,5,0,8,0,8,..,79,19,100,3,101,..,425,55,478,12,482,..,2137,190,2328,31,2357,..,76,5,86,1148,1231,26455,2215,197,2412,1177,30049
UCL112004,3,16,0,16,..,45,13,56,0,56,..,16,4,15,0,15,..,23,5,27,0,26,..,203,28,230,11,242,..,1841,158,2001,34,2035,..,64,9,71,1077,1147,20572,1902,167,2076,1110,23762
UCL112005,0,4,0,4,..,52,22,75,0,75,..,0,0,0,0,0,..,11,10,22,0,22,..,87,19,109,4,111,..,515,89,605,9,618,..,50,6,55,2606,2652,19940,562,94,660,2613,23211
