UCL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL112002,10,29,140,253,52,396,43,284,12,1215,79,193,322,547,143,246,86,210,26,1856,321,864,652,638,384,301,215,356,62,3784,453,764,482,419,437,213,211,256,67,3299,476,685,398,468,465,171,256,329,64,3303,309,551,275,313,400,156,228,315,18,2562,87,146,69,78,93,62,74,83,14,703,12,15,3,4,11,5,11,10,6,74,0,0,0,0,0,0,0,0,7,8,1741,3245,2340,2718,1984,1537,1116,1848,272,16804
UCL112003,7,16,85,135,29,141,24,110,7,563,40,97,181,182,64,122,31,112,12,833,203,507,357,301,185,163,72,180,25,1987,392,921,334,332,330,120,92,139,35,2701,529,1089,327,401,382,168,126,166,46,3231,414,926,273,303,373,140,137,184,34,2772,140,400,78,99,138,61,45,51,16,1018,13,45,8,4,17,12,5,5,9,117,3,0,0,0,0,0,0,0,5,11,1742,3996,1645,1758,1519,925,520,945,181,13231
UCL112004,8,17,93,135,21,179,27,129,11,614,27,61,146,156,52,84,33,101,8,664,155,368,346,202,132,132,62,126,22,1536,383,561,245,190,201,103,70,131,32,1914,465,680,265,235,268,143,80,165,33,2339,379,575,226,175,281,150,83,129,18,2021,187,288,71,50,138,89,39,50,18,944,38,64,18,5,25,20,4,8,10,190,6,4,0,6,3,0,0,0,0,19,1642,2611,1417,1151,1124,906,406,839,151,10240
UCL112005,0,14,101,112,13,172,25,144,11,594,33,51,190,202,65,113,57,149,15,876,147,212,433,345,163,178,187,263,26,1955,169,234,305,259,177,129,239,220,36,1765,206,182,240,239,205,125,266,250,34,1742,118,147,195,188,136,93,190,174,25,1272,25,44,27,43,36,29,43,44,15,301,4,4,4,4,5,0,5,0,0,27,5,0,0,0,0,0,0,0,4,5,708,884,1496,1390,801,846,1027,1248,161,8542
UCL112006,3,17,190,208,42,422,33,229,25,1170,90,226,356,360,157,186,59,183,39,1656,401,1174,818,885,527,405,251,528,98,5087,432,862,468,608,463,259,211,348,70,3723,451,617,349,455,480,218,217,258,60,3115,358,494,272,333,492,233,222,268,36,2718,114,159,93,78,130,79,75,77,6,820,34,11,7,10,17,7,8,12,13,121,4,0,0,0,0,0,0,0,0,13,1898,3568,2557,2940,2312,1808,1089,1913,343,18426
UCL112007,4,0,43,56,9,70,4,35,6,231,13,16,45,47,13,25,5,12,5,174,63,119,117,67,47,26,20,45,5,509,105,146,105,70,69,34,10,45,7,586,125,118,76,77,104,51,30,61,13,650,71,82,63,59,79,47,57,61,10,532,28,21,12,17,18,19,15,21,6,162,9,3,0,4,0,3,7,4,0,29,0,0,0,0,0,0,0,0,0,3,414,502,454,398,334,276,152,282,54,2873
UCL112008,4,4,68,83,18,185,9,100,11,484,32,38,86,118,29,73,16,67,8,468,93,242,181,206,92,89,30,97,9,1039,147,256,200,206,157,101,39,113,24,1254,161,254,191,252,171,148,70,167,32,1448,176,270,168,219,237,150,75,154,18,1477,62,125,45,57,70,47,34,55,12,502,15,9,9,9,14,3,3,8,10,70,3,0,0,0,0,0,0,0,0,9,692,1200,945,1161,787,796,271,763,128,6745
UCL112009,12,9,98,77,36,236,16,142,12,637,46,97,223,187,79,145,60,160,17,1007,218,448,458,401,241,189,170,280,54,2454,275,357,283,356,245,138,158,240,41,2102,241,291,233,355,286,118,198,228,46,1987,212,289,190,288,256,113,213,239,40,1834,68,104,42,54,61,36,60,45,7,479,14,17,6,8,7,4,0,6,3,60,0,0,0,0,0,0,0,0,0,4,1087,1605,1532,1719,1205,980,875,1342,220,10564
UCL112010,18,8,117,73,30,245,16,131,17,663,46,92,166,125,76,128,39,187,28,892,235,461,376,241,233,150,155,590,77,2521,298,365,284,214,206,123,153,463,64,2170,329,288,186,161,258,147,135,411,35,1939,288,197,196,137,235,111,149,312,29,1662,98,71,61,38,78,35,57,82,14,529,24,10,7,4,13,5,8,7,6,77,3,0,0,0,0,0,0,0,3,4,1334,1493,1396,1013,1129,941,707,2172,273,10459
UCL112011,7,4,91,81,12,160,37,136,14,549,40,77,206,193,67,130,73,135,18,933,173,279,526,335,323,188,264,311,42,2434,162,229,330,220,231,132,260,185,27,1783,134,167,270,229,235,107,262,232,28,1657,83,113,172,149,159,80,189,162,19,1135,13,26,22,32,20,13,26,39,3,194,0,0,0,0,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,615,907,1625,1238,1048,819,1107,1206,146,8714
UCL112012,8,9,104,117,28,316,32,237,4,862,49,95,166,217,111,167,40,221,18,1079,200,532,388,410,276,212,127,333,38,2513,277,647,329,345,267,173,126,237,36,2449,264,569,275,397,352,175,132,272,43,2476,239,451,238,330,339,148,164,295,21,2226,56,151,68,80,88,42,37,67,9,591,8,16,13,4,6,3,0,6,10,71,0,0,0,0,0,0,0,0,4,10,1092,2477,1586,1898,1467,1240,656,1683,180,12278
UCL112013,0,0,12,5,0,31,0,11,0,58,8,8,21,23,12,9,4,12,0,88,28,56,40,41,29,19,13,20,4,246,37,42,30,31,34,14,18,25,0,230,40,42,34,32,39,14,14,13,0,231,41,39,25,16,29,12,14,22,3,205,12,8,7,4,8,0,4,13,5,53,3,0,5,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,171,192,164,148,150,91,66,125,22,1128
UCL112014,13,10,85,72,24,150,22,144,14,537,32,109,187,159,54,114,55,120,11,835,170,391,386,290,232,127,127,195,50,1968,221,386,313,207,210,101,155,159,28,1784,236,392,259,232,255,112,179,145,36,1848,192,304,211,195,252,101,135,147,25,1562,68,113,41,31,69,25,36,36,10,431,12,15,5,0,8,4,3,3,4,54,0,0,0,0,0,0,0,0,0,0,951,1729,1484,1190,1108,728,706,943,175,9017
UCL112015,20,11,96,122,26,342,26,224,20,885,67,90,281,307,101,192,52,165,17,1286,257,631,649,569,321,306,170,300,43,3251,345,528,432,448,275,183,128,282,41,2663,297,406,299,457,311,170,186,294,47,2472,199,331,239,345,256,143,170,243,32,1953,36,76,53,70,59,41,49,59,6,452,13,12,5,7,7,4,8,3,11,63,0,0,0,0,0,0,0,0,3,6,1234,2082,2065,2319,1358,1376,788,1569,220,13026
UCL112016,23,23,180,234,49,400,39,255,17,1216,75,211,349,336,146,189,97,182,26,1617,400,1248,828,609,448,299,311,338,65,4549,501,1107,556,517,505,225,254,326,67,4060,506,849,418,419,563,204,271,332,58,3620,338,557,315,308,448,167,215,326,43,2710,88,189,68,61,142,64,92,95,11,812,28,24,8,5,18,8,11,9,0,102,0,0,0,0,0,0,0,0,0,8,1959,4209,2718,2495,2316,1546,1290,1867,290,18698
UCL112017,24,13,154,371,49,500,36,329,25,1506,77,187,291,460,157,261,57,161,42,1698,258,1012,570,561,319,272,107,253,54,3409,541,1216,551,513,470,259,119,258,67,3995,676,1170,518,604,678,295,168,345,66,4524,485,824,394,502,621,293,219,364,45,3747,143,268,101,115,172,94,61,84,15,1071,33,25,11,8,13,12,10,8,18,140,0,0,0,0,0,0,0,0,8,16,2239,4721,2595,3141,2485,1995,787,1804,335,20108
UCL112018,22,20,160,175,50,369,39,249,23,1110,77,175,274,243,113,177,61,268,16,1397,261,789,566,536,302,284,216,763,55,3772,343,592,406,396,301,197,195,543,39,3009,326,534,309,387,387,210,197,378,31,2762,283,458,241,288,406,176,223,347,35,2455,79,160,84,73,121,52,69,83,7,711,17,15,13,7,20,4,14,3,6,103,0,0,0,0,0,0,0,0,5,13,1409,2735,2059,2104,1692,1465,1013,2636,226,15329
UCL112019,29,35,302,323,83,607,39,288,31,1738,107,252,508,577,197,387,100,278,43,2449,473,1375,964,781,502,405,238,513,96,5357,622,1219,646,543,538,301,239,539,84,4715,656,1036,502,501,678,272,257,400,76,4385,470,775,409,451,622,251,307,378,61,3721,164,230,118,97,159,82,106,117,9,1076,30,22,17,8,18,13,4,23,9,133,3,0,0,0,0,0,3,0,0,14,2561,4936,3456,3278,2797,2315,1291,2546,404,23590
UCL113001,9,5,72,78,11,145,13,108,4,451,25,45,91,121,46,92,20,88,5,531,106,277,238,208,98,105,49,125,19,1227,182,351,234,230,146,114,50,130,25,1451,202,349,182,238,198,121,62,168,18,1539,178,310,176,214,208,117,90,174,17,1484,68,118,57,62,73,51,42,54,6,530,12,14,3,8,4,9,0,8,0,63,0,4,0,0,0,0,0,0,6,9,790,1479,1041,1150,795,742,328,858,100,7279
UCL113002,9,0,39,38,9,107,0,64,3,281,11,23,59,54,23,58,9,47,6,295,65,111,159,112,84,76,41,84,20,748,111,101,109,129,101,69,42,111,11,782,126,106,161,134,126,86,55,113,17,924,121,137,101,151,136,101,56,113,12,930,40,53,33,32,52,45,31,36,8,324,6,11,0,0,0,0,0,4,4,33,0,0,0,0,0,0,0,0,0,0,496,544,663,657,532,537,232,576,85,4320
UCL113003,3,5,68,62,8,189,15,110,13,473,23,77,129,130,53,65,47,74,10,606,85,347,268,293,165,104,167,113,28,1559,140,229,211,199,135,77,154,95,32,1274,169,220,200,232,151,77,134,116,26,1325,170,218,180,203,192,90,161,178,35,1435,57,64,53,47,39,22,49,39,4,381,3,8,0,0,10,4,0,3,5,36,5,0,0,0,0,0,0,0,0,5,658,1173,1102,1163,749,634,731,726,152,7100
UCL113004,4,0,15,46,5,78,3,44,3,201,22,29,46,110,32,43,16,43,12,352,198,306,313,285,80,93,37,185,36,1547,253,353,146,128,97,87,13,83,31,1198,226,320,109,79,77,44,20,44,24,942,149,201,78,74,65,67,35,56,14,739,65,96,24,18,29,24,8,26,9,295,8,14,0,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,928,1323,733,741,385,444,125,489,127,5300
UCL113005,17,6,64,52,20,166,15,107,3,442,25,45,115,144,62,114,37,90,14,637,76,237,217,252,120,115,82,162,21,1296,126,240,139,263,158,100,77,139,20,1259,143,213,125,246,180,89,95,142,24,1266,130,177,91,187,169,79,99,177,16,1123,33,42,27,27,38,19,35,41,7,276,13,3,0,3,0,5,7,3,0,38,0,0,0,0,0,0,0,0,0,5,558,968,786,1178,755,688,452,867,107,6345
UCL113006,10,4,31,28,9,97,7,63,0,262,22,20,49,74,32,48,12,42,8,298,52,94,88,138,62,65,39,105,16,656,59,110,66,124,57,49,35,76,11,597,49,91,67,151,76,54,35,98,8,632,42,87,52,126,62,43,63,86,11,575,18,28,14,32,22,16,16,24,7,179,10,5,0,4,4,0,0,3,0,23,0,0,0,0,0,0,0,0,0,5,258,452,369,677,319,368,219,492,62,3222
UCL113007,3,8,80,98,16,103,13,73,3,403,21,57,106,116,34,45,21,36,8,440,118,378,208,138,77,43,34,50,18,1063,238,496,187,142,135,54,64,46,21,1396,257,416,165,150,189,71,67,81,23,1421,220,357,151,116,206,74,60,67,12,1278,60,105,28,14,49,27,19,22,5,337,8,11,9,3,0,0,3,3,0,35,0,0,0,0,0,0,0,0,0,3,929,1838,935,775,705,426,286,382,95,6370
UCL113008,4,3,35,38,16,74,9,58,0,239,16,38,80,77,41,58,35,51,11,396,78,150,167,136,104,75,82,103,14,907,59,97,122,109,115,61,92,73,19,748,90,122,120,120,132,56,111,99,19,865,91,106,106,101,123,47,115,107,7,811,21,35,19,32,34,14,23,18,0,197,3,0,3,3,0,3,3,0,0,30,4,0,0,0,0,0,0,0,0,4,365,553,662,616,551,381,475,504,83,4188
UCL113009,8,4,47,64,10,116,11,106,4,374,15,23,114,81,39,60,22,46,5,413,82,168,222,145,115,56,60,78,20,944,153,239,202,143,166,58,71,70,29,1124,152,214,185,149,175,66,97,84,27,1152,88,103,125,77,146,62,83,74,8,762,19,34,18,19,23,14,19,8,0,160,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,4,512,788,911,679,675,432,364,471,98,4940
UCL113010,3,4,57,93,5,106,14,84,0,380,25,51,151,75,26,50,44,55,3,478,103,278,289,153,102,99,185,129,22,1362,115,215,204,145,107,79,171,97,14,1155,140,155,138,126,124,76,143,105,13,1019,90,106,117,82,117,54,116,106,6,795,26,37,29,15,20,22,30,24,0,203,16,4,0,0,5,4,6,3,6,41,0,0,0,0,0,0,0,0,0,4,521,847,994,693,514,491,706,606,78,5436
UCL113011,5,3,59,37,14,113,13,95,7,335,8,25,137,63,37,59,38,57,10,433,54,132,278,108,98,85,198,146,22,1117,63,112,214,99,83,61,218,113,24,984,90,109,148,108,105,50,216,129,17,979,61,81,127,83,86,39,148,83,16,720,12,32,20,20,22,5,22,23,3,170,0,0,0,0,3,5,6,0,3,15,0,0,0,0,0,0,0,0,0,0,301,497,978,519,459,409,861,647,96,4759
UCL113012,7,6,47,90,11,136,16,91,9,419,15,29,111,116,27,67,9,46,8,426,85,158,191,144,69,55,36,78,16,836,190,236,192,147,106,80,42,76,22,1092,221,278,194,175,191,98,76,128,25,1383,200,228,139,137,210,111,62,125,17,1229,54,85,27,33,57,32,13,34,8,346,13,24,0,0,12,0,6,0,0,62,0,0,0,0,0,0,0,0,4,4,781,1040,906,843,691,577,259,589,109,5784
UCL113013,9,9,64,51,9,123,15,96,11,393,23,39,122,93,44,100,47,103,15,590,87,153,266,176,168,115,130,162,37,1295,116,161,167,175,170,83,132,143,21,1166,108,122,147,187,150,81,159,168,18,1137,103,112,130,136,145,57,137,132,22,967,24,28,26,21,31,12,32,17,6,192,4,0,0,0,0,4,4,0,5,19,0,0,0,0,0,0,0,0,0,0,470,618,923,840,731,580,652,820,122,5755
UCL113014,4,6,73,64,19,157,19,106,7,460,31,46,137,126,72,86,54,99,14,670,128,278,375,196,173,111,287,156,19,1721,139,192,247,152,166,81,275,109,32,1392,137,166,231,137,184,77,298,131,31,1382,87,107,151,88,126,62,200,83,21,927,20,19,15,27,28,11,48,12,3,190,11,3,0,0,0,0,7,0,0,26,0,0,0,0,0,0,0,0,0,0,562,829,1230,792,756,586,1182,700,124,6766
UCL113015,5,9,55,37,7,62,3,39,3,219,13,25,89,55,27,50,15,60,7,343,78,132,170,141,76,55,46,74,13,787,93,120,146,136,95,64,42,89,18,794,109,117,125,139,121,72,58,112,14,862,81,83,81,151,102,61,46,99,16,717,21,29,19,27,26,10,9,20,3,174,4,0,0,3,0,4,0,4,0,15,0,0,0,0,0,0,0,0,0,0,396,515,689,690,458,377,222,499,79,3918
UCL113016,7,6,39,73,16,182,11,112,13,461,25,56,111,127,50,84,22,98,5,573,85,227,186,240,89,129,59,188,19,1224,121,197,140,219,116,112,60,132,23,1130,121,209,144,209,169,103,73,163,18,1211,112,182,119,189,138,101,103,174,19,1138,38,47,35,30,37,36,26,38,9,300,8,6,0,0,4,4,0,5,4,36,0,0,0,0,0,0,0,0,4,3,518,939,779,1093,615,761,365,902,103,6080
UCL113017,8,3,62,74,15,143,12,82,8,398,13,22,94,68,28,56,15,40,8,336,113,173,203,138,82,72,23,105,15,927,161,248,206,138,99,101,47,114,16,1128,174,213,193,165,123,114,46,143,12,1183,146,206,130,152,156,117,46,119,18,1086,56,51,45,41,48,37,13,40,10,330,4,9,0,7,7,3,0,0,4,39,0,0,0,0,0,0,0,0,0,0,669,924,939,783,551,645,202,634,88,5439
UCL113018,0,0,9,16,0,22,0,9,0,61,0,5,23,9,6,4,0,9,0,67,13,32,33,24,11,9,10,19,3,158,29,34,34,13,21,9,4,15,0,160,27,21,54,27,28,16,13,20,0,216,32,21,21,18,31,15,22,27,4,197,10,7,10,10,9,5,6,7,5,71,0,4,6,0,0,0,6,0,6,12,0,0,0,0,0,0,0,0,3,3,119,126,184,118,114,84,63,113,27,940
UCL114001,0,0,25,23,4,64,0,38,4,152,12,11,24,27,8,21,8,18,0,125,21,80,66,61,32,24,13,46,5,348,55,122,51,49,51,26,12,30,7,404,64,107,53,82,61,34,18,28,8,456,59,91,51,74,63,26,23,49,3,451,12,32,18,7,21,5,11,15,0,121,11,0,4,0,6,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,232,450,293,323,253,194,89,226,34,2083
UCL114002,3,5,36,32,3,26,5,25,0,135,0,10,37,36,3,13,7,15,0,131,22,41,67,47,29,15,13,35,9,270,50,76,61,56,30,22,15,25,3,351,57,86,71,81,52,37,39,60,6,484,68,100,85,87,69,79,54,73,11,624,25,33,16,12,25,3,11,29,5,162,0,8,0,3,0,0,0,3,7,25,0,0,0,0,0,0,0,0,4,4,227,355,368,358,221,201,139,277,35,2175
UCL114003,4,0,35,23,0,67,5,77,5,231,17,24,68,72,48,44,37,120,3,443,56,77,117,111,78,61,56,186,9,745,67,69,76,87,58,46,67,129,9,600,68,70,57,108,74,42,54,170,11,651,43,49,57,91,73,51,67,148,8,588,10,29,17,17,24,13,16,27,5,161,4,0,7,0,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,272,330,432,517,361,327,306,859,49,3448
UCL114004,0,4,19,39,7,66,6,35,5,181,11,26,39,45,23,43,16,28,4,228,59,148,116,71,65,50,37,47,12,611,82,116,79,82,59,30,34,45,10,531,91,102,65,67,75,45,40,48,11,552,75,90,57,70,101,41,64,46,9,555,21,33,21,19,13,20,12,23,3,173,9,4,4,3,5,5,0,5,0,32,0,0,0,0,0,0,0,0,0,0,346,526,394,390,361,295,214,283,60,2875
UCL114005,0,5,24,17,3,31,4,28,6,110,8,16,45,25,10,16,7,19,3,153,27,53,57,67,20,25,30,57,0,332,43,64,38,67,35,31,27,40,11,357,52,57,56,67,59,28,27,51,5,398,42,64,47,59,54,42,53,69,14,429,19,26,7,11,14,9,18,20,6,131,5,6,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,190,279,278,306,193,188,169,279,40,1931
