SA2_MAINCODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
101021007,37,455,544,208,144,1390,69,1453
101021008,180,954,1032,420,267,2859,102,2963
101021009,386,2175,1365,345,162,4437,184,4621
101021010,131,905,655,164,104,1958,76,2030
101021011,42,859,2228,1112,860,5097,146,5243
101021012,55,963,1919,704,423,4069,71,4145
101031013,48,307,333,143,80,904,46,949
101031014,229,1058,857,268,131,2545,163,2707
101031015,28,304,479,231,151,1188,32,1218
101031016,52,673,910,375,202,2212,170,2380
101041017,244,1240,989,289,120,2879,171,3055
101041018,152,1371,1184,331,133,3166,152,3314
101041019,186,1214,1199,327,158,3085,156,3239
101041020,55,957,1439,555,243,3243,144,3395
101041021,47,548,459,143,40,1236,48,1285
101041022,0,5,4,0,0,15,0,15
101041023,96,521,432,120,41,1209,77,1283
101041024,27,357,527,192,115,1222,61,1277
101041025,199,1777,1578,446,142,4138,203,4340
101041026,144,1298,1208,361,165,3184,149,3331
101041027,174,1646,1338,338,117,3616,169,3785
101051539,766,3139,2797,998,475,8185,390,8575
101051540,100,1079,1807,836,616,4431,174,4602
101061541,119,750,876,352,172,2267,88,2359
101061542,34,658,1594,849,627,3762,115,3872
101061543,262,1410,1375,487,221,3755,192,3944
101061544,118,880,1039,459,279,2775,154,2925
102011028,44,671,1135,371,182,2401,59,2457
102011029,128,1269,1606,545,298,3851,116,3965
102011030,57,369,585,275,241,1528,81,1607
102011031,433,1935,1685,615,333,5005,190,5190
102011032,945,3389,2277,569,241,7421,356,7778
102011033,48,509,874,321,175,1935,45,1977
102011034,245,1175,880,305,166,2768,123,2892
102011035,86,702,941,313,166,2201,60,2256
102011036,103,799,1100,360,247,2608,60,2669
102011037,149,919,871,255,113,2306,73,2373
102011038,106,800,1057,336,171,2475,71,2543
102011039,169,1457,2073,666,357,4721,108,4828
102011040,990,4184,2881,732,331,9113,404,9516
102011041,72,905,1407,510,273,3170,85,3258
102011042,818,2512,1496,407,196,5434,304,5730
102011043,356,1694,1333,413,209,3997,156,4153
102021044,574,2706,2924,959,450,7617,347,7964
102021045,127,1262,1435,491,243,3553,143,3694
102021046,197,1520,1230,381,199,3529,206,3739
102021047,205,1607,2109,761,455,5141,154,5298
102021048,656,3129,2621,885,454,7741,425,8170
102021049,8,160,363,204,216,956,34,986
102021050,185,1864,1323,458,254,4089,200,4282
102021051,38,474,696,232,176,1614,40,1649
102021052,57,717,900,268,151,2092,73,2167
102021053,672,2832,1831,460,224,6017,350,6371
102021054,347,1597,1171,358,195,3669,207,3881
102021055,70,606,681,209,138,1705,51,1757
102021056,151,1309,1988,689,391,4531,142,4674
102021057,348,1234,936,354,188,3055,173,3224
103011058,703,3298,2943,951,460,8360,325,8681
103011059,176,1022,1488,547,297,3528,119,3652
103011060,41,441,863,478,350,2175,99,2272
103011061,67,491,622,255,159,1592,78,1671
103021062,144,742,824,316,195,2215,146,2369
103021063,268,1376,1243,337,178,3398,169,3571
103021064,86,582,774,332,231,2009,90,2100
103021065,204,1172,1379,509,280,3543,186,3737
103021066,80,448,512,202,136,1381,67,1449
103021067,316,1416,1363,468,206,3762,197,3958
103021068,58,349,404,190,164,1170,69,1237
103021069,100,686,760,331,180,2056,110,2175
103031070,617,1908,1436,493,273,4719,267,4985
103031071,91,789,1106,462,304,2750,124,2871
103031072,278,1399,1638,504,205,4024,226,4244
103031073,64,492,461,180,103,1301,88,1393
103031074,106,974,1412,588,373,3452,174,3628
103031075,0,0,0,0,0,0,0,0
103041076,96,746,979,427,254,2511,154,2667
103041077,702,3057,2347,618,262,6984,403,7386
