SA2_MAINCODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
101021007,18,84,293,585,292,50,22,51,1381,0,0,11,10,0,0,0,0,18,0,0,0,3,0,0,0,0,4,0,0,16,11,0,0,0,0,26,0,0,5,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,7,8,6,3,0,0,0,0,22,3,0,3,8,0,0,3,0,24,20,91,319,601,292,54,21,50,1453
101021008,7,12,105,1209,807,150,48,51,2383,0,22,146,105,3,0,0,13,289,0,12,65,112,13,0,0,8,209,0,36,204,219,14,4,0,21,501,0,22,23,0,0,0,0,0,40,0,0,18,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,22,37,3,0,0,0,0,64,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,5,72,348,1430,821,150,51,79,2963
101021009,4,20,264,1024,486,107,30,52,1985,0,82,283,165,3,3,0,15,551,0,50,240,180,7,0,0,19,500,0,132,523,342,11,4,0,29,1049,12,253,254,19,3,0,0,10,554,4,67,215,17,3,0,0,6,316,0,152,484,29,0,0,0,13,685,0,3,3,0,0,0,0,0,9,14,471,966,69,6,3,0,33,1565,0,7,4,6,0,3,0,6,17,0,0,0,0,3,0,0,0,7,16,635,1750,1441,504,116,37,128,4621
101021010,0,6,45,300,337,68,18,20,799,0,10,148,61,3,0,0,14,230,0,13,204,110,6,0,0,5,335,0,23,350,170,12,0,0,15,570,6,117,111,19,4,0,0,12,269,0,59,80,0,0,0,0,0,145,0,58,168,9,0,0,0,3,237,0,0,0,0,0,0,0,0,0,6,236,360,32,4,0,3,13,651,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,13,268,755,503,350,68,23,51,2030
101021011,15,91,377,1403,2348,660,158,76,5124,0,0,0,7,0,0,0,0,13,0,0,3,3,0,0,0,0,9,0,0,6,10,0,0,0,0,24,0,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,20,0,18,17,14,3,0,0,0,55,0,3,3,3,4,3,0,0,26,20,117,416,1432,2357,666,159,81,5243
101021012,0,10,31,953,1895,413,71,36,3401,0,9,208,207,37,0,0,10,472,0,5,51,102,21,0,0,0,183,0,12,266,306,57,0,0,10,656,3,25,18,17,0,0,0,3,66,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,25,17,0,0,0,3,70,0,0,0,3,0,0,0,0,6,0,0,3,0,3,0,0,0,6,3,51,322,1279,1956,414,71,47,4145
101031013,8,23,154,454,205,34,17,22,907,0,4,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,11,0,3,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,13,0,0,0,3,0,0,0,0,9,0,0,0,0,5,0,0,0,8,5,34,169,462,206,34,16,26,949
101031014,0,30,320,1251,563,105,25,62,2363,0,24,46,17,0,0,0,9,90,0,12,0,0,0,0,0,3,18,0,34,46,19,0,0,0,8,112,3,59,73,12,0,0,0,10,157,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,73,12,0,0,0,7,163,0,10,4,3,4,0,0,3,30,0,0,3,6,0,0,3,24,40,3,135,453,1291,576,108,28,103,2707
101031015,10,42,138,462,370,84,17,15,1156,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,4,9,5,3,0,0,0,0,32,0,0,8,11,3,0,3,0,25,13,51,158,480,378,84,24,23,1218
101031016,13,51,200,762,468,135,42,44,1723,0,3,27,22,8,0,0,4,65,0,13,44,75,9,3,0,10,153,0,17,74,100,16,3,4,10,216,0,4,63,41,10,0,0,35,159,0,5,18,11,4,0,0,0,46,0,14,3,3,7,0,0,0,31,0,0,0,0,0,0,0,0,0,0,24,81,66,18,0,0,40,238,3,15,10,0,8,0,0,6,41,5,31,34,24,12,0,35,20,163,21,139,406,953,526,140,80,118,2380
101041017,3,22,228,1110,720,133,24,52,2291,3,11,74,76,7,0,0,9,182,0,30,25,51,9,0,0,4,121,0,40,103,128,10,0,0,13,300,3,39,208,71,8,3,0,18,353,0,0,15,0,0,0,0,3,21,0,0,15,4,0,0,0,0,28,0,0,0,0,0,0,0,0,3,3,38,243,81,8,3,0,16,398,3,16,16,11,0,0,0,7,46,0,4,5,4,0,0,0,0,19,11,122,599,1329,745,135,29,93,3055
101041018,5,25,260,1217,879,177,39,71,2677,0,0,65,85,5,0,0,6,161,0,0,83,90,13,3,3,3,200,0,0,146,175,21,3,4,13,357,0,20,116,59,3,0,3,6,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,118,59,4,0,3,6,218,0,15,23,0,0,0,0,0,44,0,0,8,7,8,0,0,3,22,10,68,556,1458,909,180,44,90,3314
101041019,6,61,375,1393,782,121,24,75,2833,3,29,113,22,0,0,0,16,182,0,6,34,13,0,0,0,0,54,3,29,156,38,0,0,0,15,239,0,22,53,22,0,0,0,10,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,53,22,0,0,0,10,115,0,17,13,6,0,0,0,0,34,0,0,0,10,3,0,0,0,19,12,127,593,1472,792,119,24,101,3239
101041020,39,168,569,1436,770,161,37,78,3262,0,3,3,7,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,6,3,7,0,0,0,0,10,0,10,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,5,0,0,21,9,16,11,17,8,0,0,3,63,0,8,11,11,9,4,0,0,35,52,198,596,1471,790,166,37,80,3395
101041021,0,17,162,403,321,59,8,22,991,0,0,85,79,0,0,0,4,164,0,0,6,16,0,0,0,3,20,0,0,90,97,0,0,0,4,186,0,0,32,13,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,0,0,0,0,44,3,16,25,6,0,0,0,0,48,0,3,3,3,0,0,0,3,10,3,30,308,520,323,59,8,32,1285
101041022,0,0,4,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,15
101041023,0,7,120,548,267,37,4,30,1017,0,6,44,17,4,0,0,3,75,0,0,3,8,3,0,0,3,20,0,9,49,26,6,0,0,7,96,0,5,71,17,0,0,0,4,96,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,71,17,0,0,0,4,94,0,20,14,6,0,0,0,5,51,0,0,12,3,4,0,3,3,23,3,42,273,591,274,42,11,44,1283
101041024,5,73,224,533,296,45,17,39,1230,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,10,9,0,0,0,0,31,0,0,3,3,3,0,0,0,15,12,79,243,549,297,45,14,46,1277
101041025,0,31,282,1603,836,155,35,66,3007,5,57,304,122,5,0,0,15,523,0,22,174,147,16,0,0,16,375,5,81,480,273,24,3,0,34,897,10,54,131,61,3,0,0,10,271,0,0,12,4,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,144,68,3,0,0,15,291,12,26,43,20,0,0,0,9,109,4,0,10,12,3,0,0,3,40,27,189,966,1975,872,156,37,126,4340
101041026,8,72,471,1456,758,137,30,68,2997,0,15,17,16,0,0,0,6,50,0,10,12,30,3,0,0,4,57,0,22,32,47,4,0,0,10,116,0,22,80,39,0,0,0,13,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,80,39,0,0,0,12,159,10,19,8,5,0,0,0,7,42,0,0,0,9,6,4,0,3,21,14,136,587,1559,770,140,35,89,3331
101041027,13,82,579,1537,691,141,27,70,3138,6,23,102,77,3,0,0,11,231,0,4,49,34,3,0,0,3,95,6,31,152,105,6,0,0,20,320,0,37,67,24,3,0,3,7,141,0,13,10,6,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,78,29,7,0,3,7,173,10,29,66,12,3,0,4,4,121,0,4,12,6,3,0,0,3,28,29,186,888,1690,713,139,32,99,3785
101051539,14,72,850,3539,2223,305,87,163,7248,3,97,311,250,26,9,0,37,731,0,0,70,40,9,3,3,4,124,3,102,377,288,39,9,3,40,852,0,75,180,15,3,0,0,11,283,0,26,37,0,0,0,0,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,104,218,14,10,0,0,9,353,12,28,24,11,3,0,0,12,87,0,6,6,7,4,0,3,3,37,28,309,1471,3853,2272,316,92,235,8575
101051540,23,133,521,1801,1406,341,90,108,4418,0,8,28,13,0,0,3,8,66,0,0,3,3,0,0,0,0,10,0,15,29,12,0,0,3,5,67,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,6,5,13,13,10,10,3,0,9,56,0,0,9,18,9,3,0,5,42,30,158,575,1840,1432,348,89,123,4602
101061541,3,21,212,972,720,121,21,36,2107,3,22,121,42,0,0,0,7,194,0,0,3,0,3,0,0,4,9,5,22,126,47,3,0,0,10,206,0,0,9,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,20,3,5,4,3,0,0,0,0,14,0,0,0,3,0,0,0,0,7,12,44,351,1028,730,122,27,46,2359
101061542,16,92,339,1244,1430,454,122,56,3757,0,3,3,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,14,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,11,14,12,3,0,0,3,43,0,0,15,17,14,0,0,4,50,20,105,373,1275,1451,458,128,63,3872
