SA2_MAINCODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
101021007,9,0,14,15,42,8,89,0,0,0,0,3,0,3,4,0,4,5,22,0,38,0,0,5,3,8,0,10,0,0,3,6,80,10,92,0,0,0,0,8,0,7,0,0,5,0,13,0,21,0,0,3,0,11,0,16,0,0,6,4,16,3,29,0,0,3,0,0,0,3,0,0,0,3,0,0,10,0,0,0,0,4,0,11,14,0,20,3,4,4,45,0,0,0,3,5,0,15,11,4,20,19,20,4,78,7,4,20,3,4,0,35,3,0,3,3,3,0,16,0,0,3,4,4,0,14,0,0,6,0,22,0,29,0,0,3,8,23,6,46,50,12,120,79,303,40,602,4,5,17,3,14,5,47,0,0,0,0,0,0,0,0,0,3,3,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,3,4,0,7,5,15,4,30,0,0,8,0
101021008,0,0,0,0,6,0,6,0,0,0,0,0,0,0,5,0,4,4,62,3,83,0,0,3,0,27,0,31,3,0,3,19,227,13,262,0,0,0,0,30,3,35,0,0,3,10,46,0,70,0,0,0,6,22,3,31,3,0,0,5,35,4,48,3,0,5,6,13,0,22,3,0,0,3,0,0,9,0,0,3,3,16,0,20,12,5,31,17,26,0,90,0,0,4,4,20,0,32,54,21,71,70,87,3,300,4,7,21,7,16,0,65,3,0,9,7,18,3,44,0,0,3,3,5,0,14,0,0,5,9,56,0,69,0,0,0,3,47,16,67,88,40,178,171,754,49,1294,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,5,3,0,11,0,0,0,0,0,0,4,0,0,0,5,8,0,21,0,0,0,3,0,0,8,0,0,18,11,46,7,81,0,0,9,5
101021009,0,0,3,0,5,0,11,0,0,0,0,5,0,7,3,3,15,23,84,3,132,0,0,6,3,16,0,31,4,0,15,22,214,8,267,0,0,8,4,18,0,30,18,0,34,24,54,4,143,8,0,20,31,52,4,111,4,0,18,10,49,3,85,0,0,11,16,12,0,39,0,0,8,3,3,0,16,0,0,3,5,12,0,14,20,7,56,22,10,0,126,3,0,13,4,21,3,42,86,30,154,81,119,9,477,22,3,35,10,16,3,93,9,0,45,21,24,3,104,0,0,4,4,11,0,21,3,0,8,16,57,3,82,4,0,12,8,48,10,79,198,61,463,303,825,58,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,3,22,0,0,3,3,10,0,15,5,0,8,9,10,0,29,0,0,0,4,6,0,11,9,0,23,26,65,7,125,4,3,17,16
101021010,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,3,3,33,0,47,0,0,0,3,3,0,9,4,0,3,13,114,3,135,0,0,0,3,9,0,19,10,0,16,14,29,0,70,3,0,13,13,19,0,49,6,0,12,16,17,0,52,0,3,3,8,11,0,22,0,0,0,4,3,0,11,0,0,0,3,5,0,13,14,5,33,18,6,3,72,0,0,5,0,9,0,19,42,17,65,32,50,3,217,16,0,22,4,8,4,58,6,0,16,9,8,0,48,0,0,3,0,3,0,13,4,0,4,3,38,3,43,7,0,0,0,19,9,38,121,24,209,150,402,30,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,3,0,0,3,3,0,3,11,0,0,0,0,5,0,6,8,0,18,9,28,0,62,3,0,11,6
101021011,5,6,20,20,50,8,101,0,0,0,3,11,0,14,5,0,18,14,98,3,131,4,0,7,3,37,0,49,3,3,25,62,511,15,614,3,0,10,7,33,0,54,3,0,15,17,51,6,98,0,0,14,20,34,6,72,4,3,18,13,86,9,121,4,0,15,17,23,0,62,3,0,14,9,5,0,30,0,3,7,11,14,3,33,74,18,135,63,41,15,338,6,0,10,20,30,0,71,191,55,253,183,172,14,878,39,13,42,24,33,11,163,26,11,43,20,16,3,116,0,0,14,8,12,0,33,3,5,19,7,116,4,153,7,3,15,8,72,14,124,389,128,678,509,1433,118,3264,0,3,15,11,11,4,49,0,0,0,3,0,0,5,3,0,7,8,13,3,38,0,0,3,3,6,0,15,0,3,3,22,32,5,66,0,3,7,7,6,0,25,7,3,35,29,57,11,136,3,0,3,18
101021012,0,0,0,0,3,0,5,3,0,0,0,4,0,7,9,0,9,13,50,3,82,6,0,3,7,23,0,33,0,0,18,30,312,17,387,5,0,10,7,21,0,41,3,0,31,19,41,6,99,0,0,10,8,39,0,62,12,0,11,10,34,4,65,8,3,13,13,19,3,48,3,0,4,12,4,0,24,3,3,16,9,16,3,44,53,13,68,45,34,3,212,0,0,0,9,29,0,39,276,68,262,187,164,17,975,25,13,28,9,11,0,98,13,0,25,18,17,3,79,3,0,7,4,12,0,27,3,0,11,14,56,0,80,6,3,12,6,39,7,81,425,115,538,420,936,62,2494,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,13,0,18,0,0,4,0,5,0,7,0,0,10,9,17,0,41,0,0,3,0,7,0,8,3,3,21,23,42,6,95,3,0,16,14
101031013,7,0,20,13,86,12,133,0,0,0,0,0,0,0,0,0,9,0,27,3,39,0,0,0,0,7,0,6,0,0,0,0,24,3,30,0,0,0,0,3,0,3,0,0,0,3,10,0,8,0,0,0,0,3,0,8,0,0,0,0,11,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,0,12,0,0,0,0,3,0,4,3,0,0,7,10,4,25,0,3,3,0,0,0,6,0,0,3,0,3,0,6,0,0,0,0,3,0,3,0,0,0,0,15,0,11,0,0,0,0,10,3,13,8,5,40,29,217,34,333,0,0,11,14,16,8,44,0,0,0,0,0,0,0,0,0,3,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,6,0,21,3,29,0,0,0,0
101031014,0,0,0,4,20,4,34,0,0,0,0,3,0,3,0,0,0,0,42,3,46,17,0,44,18,27,0,104,0,0,0,4,151,8,162,0,0,0,3,13,3,19,3,0,11,8,58,3,81,0,3,0,5,29,6,46,0,0,3,3,35,3,41,0,0,0,3,11,0,12,0,0,0,0,3,0,6,0,0,5,3,9,3,21,3,3,12,5,9,0,31,0,0,0,0,21,0,25,3,3,19,25,61,5,123,6,8,18,6,11,0,39,3,0,18,12,17,0,50,0,0,3,3,3,0,9,0,0,7,0,48,3,57,3,0,0,3,11,11,27,42,16,139,103,575,55,936,0,0,3,0,8,0,10,0,0,0,0,0,0,0,0,3,3,0,6,4,14,0,0,7,3,16,0,32,0,0,0,3,3,0,6,0,0,3,4,0,0,10,3,0,18,18,50,9,92,3,0,9,11
101031015,7,3,12,18,83,8,135,0,0,0,0,0,0,3,0,0,0,0,16,0,20,3,0,7,5,9,0,27,0,0,4,0,52,7,68,0,0,3,4,10,0,14,0,0,4,0,28,0,31,0,0,0,0,12,3,16,0,0,0,0,19,0,24,0,0,0,3,0,0,3,0,0,3,0,0,0,4,0,0,0,3,0,0,7,5,3,9,3,4,0,23,0,0,0,0,4,0,5,5,5,19,11,25,3,64,4,0,16,3,4,0,26,0,0,4,0,7,0,11,0,0,0,0,3,0,7,0,0,7,0,24,0,30,0,0,3,0,8,9,22,27,14,91,59,302,37,528,0,0,20,15,15,5,55,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,4,0,7,0,0,0,6,6,0,6,0,0,0,0,6,0,8,0,0,11,5,18,3,32,0,0,3,4
101031016,3,0,14,9,38,6,73,0,0,3,0,5,0,9,0,0,3,0,29,0,37,0,0,10,14,47,3,78,0,0,4,16,170,3,192,0,0,0,3,13,0,16,3,0,7,8,36,3,58,8,0,33,36,162,16,264,0,0,5,8,31,7,46,0,0,4,3,7,0,10,3,0,3,0,0,0,8,0,0,11,4,17,0,32,6,0,25,6,13,4,59,3,0,5,4,30,4,45,3,6,27,19,45,3,105,8,7,24,5,21,3,71,5,0,7,9,3,3,33,8,7,36,25,127,13,211,0,0,3,0,41,0,47,0,0,3,3,41,5,51,55,26,236,180,880,72,1450,3,0,14,7,21,3,46,0,0,0,0,0,0,3,0,0,3,6,15,0,24,0,0,7,0,0,0,8,0,0,3,3,12,3,24,0,0,3,4,6,0,14,3,0,18,20,33,4,81,0,3,52,51
