SA2_MAINCODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
101021007,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,9,11,16,4,3,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,37,54,16,3,7,0,0,0,3,120,0,0,0,0,0,0,0,0,0,0,14,10,6,4,3,0,3,6,3,47,10,4,9,4,3,0,3,0,0,32,63,10,100,8,9,7,37,29,12,271,0,0,0,0,0,0,0,5,0,11,6,0,4,3,0,3,3,0,0,20,0,6,0,0,0,0,0,0,0,9,8,3,7,0,0,0,4,9,3,35,163,113,138,27,31,20,50,52,23,602,0,4,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,21,10,24,3,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3
101021008,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,13,26,33,0,3,7,3,0,0,0,74,0,5,0,0,0,0,0,0,0,6,3,12,0,0,0,0,0,0,0,26,0,4,0,3,0,0,0,0,0,8,39,96,10,12,25,6,3,4,0,178,0,0,0,0,0,0,0,0,0,3,14,15,8,4,12,0,0,3,0,56,17,14,30,18,10,6,3,9,0,112,60,28,377,36,30,27,70,71,14,711,0,6,3,3,0,3,3,6,0,22,4,4,3,3,5,0,3,3,0,28,0,0,4,0,5,0,0,3,0,14,0,0,8,0,0,0,11,7,10,42,175,224,443,87,108,51,90,94,27,1294,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,12,10,30,0,3,12,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
101021009,0,3,0,0,0,0,0,0,0,3,4,28,0,0,0,0,0,0,0,34,46,52,8,14,22,5,10,3,6,160,0,6,0,0,0,0,0,0,0,9,7,12,0,3,7,0,0,0,0,30,8,4,0,3,5,0,0,0,0,19,71,190,33,38,37,38,21,24,12,463,0,0,0,0,0,0,0,0,0,3,25,24,17,16,18,11,7,3,0,116,25,33,44,27,24,11,8,10,0,181,61,30,350,62,56,30,65,66,23,749,0,0,4,6,3,3,3,9,0,31,13,4,3,4,5,5,4,10,0,47,3,9,4,3,0,3,3,3,0,23,3,3,0,5,3,0,10,4,6,35,266,398,465,170,186,109,122,144,43,1910,0,0,0,0,0,0,0,0,0,3,0,10,0,0,3,0,0,0,0,18,25,80,5,19,21,0,0,3,0,159,0,6,0,3,0,0,0,0,0,13
101021010,0,0,0,0,0,0,0,0,0,0,5,16,3,0,0,0,0,0,0,27,15,35,7,3,13,11,5,3,0,91,0,0,0,0,0,0,0,0,0,0,3,8,0,0,4,0,0,0,0,22,3,0,0,0,0,0,0,0,0,10,33,94,11,22,20,6,3,10,0,209,0,0,0,0,0,0,0,0,0,0,6,11,10,10,5,4,5,0,0,52,12,21,17,6,8,8,10,8,0,96,37,21,178,28,31,21,21,31,7,371,3,0,3,4,0,0,0,4,0,17,0,3,0,0,3,3,3,0,0,9,0,3,3,0,0,3,0,0,0,8,4,0,6,0,4,0,0,3,3,21,123,205,246,78,94,56,53,65,10,930,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,12,19,42,0,6,5,10,0,3,4,84,0,0,0,0,0,0,0,0,0,0
101021011,0,0,0,0,0,0,0,0,0,3,24,60,0,0,0,0,0,0,3,86,124,112,9,13,30,5,0,3,7,300,0,3,0,0,0,0,0,0,0,11,27,34,5,6,8,0,3,0,3,89,13,12,0,3,0,0,0,0,0,35,210,303,33,37,48,13,3,9,21,678,0,0,0,0,0,0,0,0,0,3,54,58,31,25,24,9,3,9,3,214,85,67,45,27,36,17,7,14,3,295,226,62,652,58,64,34,113,104,21,1343,3,4,3,4,0,3,5,10,0,32,13,9,9,8,11,9,9,3,0,65,6,9,3,9,3,0,0,0,0,28,11,15,18,0,5,9,8,7,7,88,805,751,803,184,238,88,151,160,68,3264,0,4,0,0,0,0,0,0,0,4,23,41,0,0,12,0,0,0,0,82,95,122,0,9,24,0,0,0,7,259,7,6,0,0,0,0,0,0,0,16
101021012,0,0,0,0,0,0,0,0,0,6,17,36,0,0,5,0,0,0,0,53,174,133,5,10,28,0,0,0,15,368,3,4,0,0,3,0,0,0,0,11,29,25,3,3,5,0,0,0,4,75,13,7,4,0,5,0,0,0,0,27,177,220,20,27,60,16,0,8,8,538,0,0,0,0,0,0,0,0,0,0,55,41,22,16,15,4,3,6,3,173,61,52,31,35,33,12,8,4,12,245,152,41,399,64,60,40,57,61,7,872,3,3,5,4,3,0,3,3,0,21,12,11,0,7,3,0,3,5,0,38,7,9,0,0,0,0,0,0,0,22,3,3,8,4,5,0,3,10,4,44,703,587,495,171,227,85,76,100,53,2494,0,0,0,0,0,0,0,0,0,5,9,16,0,0,3,0,0,0,0,24,73,115,0,12,20,0,0,0,9,232,4,10,0,0,3,0,0,0,0,15
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,19,0,0,0,0,4,0,0,40,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,14,48,14,53,0,7,3,46,24,4,196,3,0,3,0,0,0,0,3,0,8,9,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,9,6,3,33,109,34,68,6,4,4,63,32,7,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,10,19,0,0,4,0,0,0,0,31,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,26,85,9,12,5,0,0,4,0,139,0,0,0,0,0,0,0,0,0,0,13,12,7,8,6,3,0,0,0,43,12,8,11,7,3,6,3,3,0,57,76,10,231,32,22,31,57,69,8,534,0,0,0,0,3,0,3,5,0,12,6,3,5,3,0,3,5,3,0,32,0,0,3,0,0,3,0,0,0,11,9,0,6,4,0,11,3,9,6,46,151,154,266,73,49,56,72,96,12,936,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,25,0,0,8,0,0,0,0,51,0,0,0,0,0,0,0,0,0,5
101031015,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,9,9,0,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,33,35,7,3,4,3,0,3,0,91,0,0,0,0,0,0,0,0,0,0,11,3,3,4,0,0,0,4,0,24,14,0,8,7,0,3,0,0,0,35,85,4,89,12,6,10,25,29,3,276,3,0,0,0,0,0,0,4,0,8,7,0,3,0,0,0,3,3,0,16,3,0,0,0,0,0,0,0,0,3,11,0,7,0,0,0,8,7,0,34,179,60,126,26,22,21,32,57,4,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
101031016,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,7,13,18,0,3,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,3,11,0,3,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,7,73,86,16,23,13,6,6,10,4,236,0,0,0,0,0,0,0,0,0,3,20,8,8,9,8,6,3,7,0,78,25,13,19,16,3,4,3,11,3,101,150,10,368,57,15,46,68,87,15,824,4,3,6,3,0,0,4,6,0,24,9,3,3,3,3,3,0,3,0,28,3,3,3,5,0,6,0,3,0,21,8,0,4,8,0,6,10,3,3,51,316,174,430,129,46,77,99,146,35,1450,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,14,37,0,4,3,0,0,3,0,60,0,0,0,0,3,0,0,0,0,3
