SA2_MAINCODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
101021007,291,37,19,5,0,0,7,353
101021008,831,89,67,13,0,0,10,1005
101021009,832,59,54,10,0,0,10,963
101021010,473,24,24,3,0,0,7,525
101021011,2113,170,91,21,3,0,9,2416
101021012,1758,136,79,10,0,4,3,1994
101031013,203,16,12,3,0,0,3,235
101031014,493,43,37,4,0,0,4,576
101031015,298,27,18,0,0,0,3,348
101031016,637,33,22,0,0,0,0,700
101041017,472,37,42,9,0,0,8,571
101041018,495,58,20,11,0,0,3,598
101041019,702,59,45,8,0,0,13,831
101041020,700,46,49,18,6,0,10,834
101041021,246,18,9,6,0,0,0,284
101041022,0,0,0,0,0,0,0,0
101041023,197,30,15,3,0,0,3,244
101041024,257,33,14,3,0,0,3,312
101041025,690,96,33,10,0,0,13,833
101041026,513,71,36,3,0,0,6,634
101041027,480,51,33,9,0,0,9,583
101051539,1859,190,144,18,5,3,12,2239
101051540,1163,81,57,21,3,0,12,1336
101061541,649,59,36,7,0,0,6,757
101061542,1342,99,66,14,0,0,8,1528
101061543,869,77,63,11,0,0,4,1029
101061544,612,45,32,3,0,0,10,701
102011028,917,62,21,7,0,0,4,1014
102011029,1158,81,52,11,0,3,13,1306
102011030,473,39,17,7,0,0,3,537
102011031,1418,118,51,12,0,3,16,1610
102011032,1540,134,81,20,3,0,6,1783
102011033,823,54,43,8,4,0,5,936
102011034,714,64,33,7,0,0,0,822
102011035,766,55,35,9,0,0,4,875
102011036,989,83,49,12,0,0,10,1142
102011037,676,39,18,3,0,0,7,744
102011038,773,57,38,10,0,0,4,883
102011039,1467,120,57,6,0,0,4,1656
102011040,1858,195,123,17,3,0,21,2210
102011041,1179,93,37,13,5,0,3,1331
102011042,1069,114,73,16,0,3,15,1294
102011043,1023,95,81,13,0,0,11,1222
102021044,2046,178,147,25,3,0,18,2411
102021045,965,117,108,21,7,3,15,1242
102021046,701,76,67,13,4,0,7,880
102021047,1658,181,107,22,3,0,14,1987
102021048,1682,211,140,45,8,3,31,2108
102021049,384,23,16,5,0,0,3,439
102021050,820,94,60,15,0,0,6,1001
102021051,544,41,24,11,0,3,3,631
102021052,525,61,46,6,3,0,6,641
102021053,975,126,62,11,9,0,6,1177
102021054,672,73,42,15,0,4,12,819
102021055,554,80,29,0,0,3,3,669
102021056,1722,181,146,29,6,5,15,2100
102021057,667,92,67,9,3,0,3,841
103011058,1899,164,121,18,0,0,11,2223
103011059,1156,108,77,12,5,3,5,1365
103011060,687,61,34,8,3,0,5,805
103011061,365,24,21,5,0,0,5,422
103021062,563,20,28,17,0,3,10,640
103021063,698,65,41,12,0,0,6,827
103021064,457,39,21,0,3,0,4,528
103021065,836,48,41,11,5,0,14,946
103021066,281,13,20,0,0,0,0,319
103021067,940,66,74,13,3,0,13,1105
103021068,293,16,22,3,0,0,4,332
103021069,483,27,27,3,0,0,6,556
103031070,941,82,73,12,0,0,16,1130
103031071,680,56,42,10,0,4,12,808
103031072,1099,87,67,8,0,0,13,1275
103031073,237,24,14,3,0,0,4,285
103031074,884,69,49,17,0,0,14,1037
103031075,0,0,0,0,0,0,0,0
103041076,684,66,36,13,0,0,9,808
103041077,1401,113,92,18,3,0,14,1634
103041078,2103,184,120,17,3,3,17,2453
103041079,1319,84,71,9,0,0,14,1493
104011080,1319,125,116,38,7,3,23,1620
104011081,1171,106,84,37,3,4,10,1420
104011082,1067,91,72,14,0,0,12,1265
104021083,499,43,36,3,0,0,6,590
104021084,1286,133,79,20,0,3,16,1541
