SA2_MAINCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
101021007,16,15,34,360,373,731,0,0,0,7,3,11,0,0,0,395,419,821,0,5,3,5,12,21,3,9,10,0,0,0,4,4,6,3,0,3,3,6,7,10,8,18,38,43,77,5,0,3,3,3,6,49,59,109,27,25,53,4,0,3,921,962,1879,0,3,0,0,0,0,0,0,0,0,0,0,7,3,11,3,12,15,7,12,21,702,626,1334,12,15,21,3,5,10,713,647,1365,291,275,566,1955,1916,3872
101021008,39,46,80,674,793,1467,0,0,0,26,26,56,23,13,37,1197,1324,2523,0,3,0,192,172,367,8,12,20,12,12,26,15,20,30,6,0,9,14,16,33,25,32,57,87,117,208,10,8,22,5,8,15,116,123,244,89,108,195,0,0,3,2499,2802,5299,32,25,54,28,27,54,0,0,3,5,3,9,15,7,30,5,27,31,22,40,62,1099,893,1992,10,10,17,7,4,14,1117,907,2024,335,324,665,4073,4172,8247
101021009,50,81,135,661,821,1480,0,0,0,39,43,81,14,11,27,1249,1399,2644,5,0,8,221,203,422,14,11,23,8,8,18,20,24,42,3,0,4,26,32,65,51,50,102,88,103,194,6,16,25,4,8,11,93,131,226,135,145,280,6,3,11,2649,3012,5658,171,161,331,152,111,261,3,3,10,0,0,3,97,79,178,19,22,38,116,111,223,1645,1383,3023,26,19,40,9,9,20,1684,1411,3088,610,524,1133,5430,5403,10842
101021010,16,27,50,292,334,625,0,0,0,24,17,36,15,15,33,586,617,1197,0,0,0,60,46,110,0,3,6,10,0,17,16,25,42,0,6,3,9,7,16,28,21,48,40,74,118,7,10,14,0,0,3,44,57,106,78,68,144,0,0,0,1213,1298,2511,84,68,153,100,84,186,6,3,8,0,0,0,63,56,117,8,8,16,70,64,126,725,568,1290,11,7,18,6,3,10,736,579,1313,240,199,440,2459,2325,4786
101021011,45,53,95,1414,1542,2954,0,0,0,90,92,178,0,0,0,2136,2145,4281,3,6,5,99,82,177,12,15,24,8,4,9,55,56,118,4,0,4,21,23,47,34,52,85,159,150,308,21,16,32,14,5,17,203,234,435,196,188,378,4,4,13,4463,4618,9085,27,24,51,22,21,38,5,0,4,0,0,0,23,20,43,25,36,54,49,52,99,2855,2577,5429,30,21,54,7,14,24,2892,2617,5503,1123,948,2073,8619,8331,16946
101021012,49,43,93,1021,1149,2168,0,0,0,51,56,107,29,37,69,1899,2018,3922,0,3,5,183,178,359,16,21,40,10,10,20,40,48,89,0,0,0,25,20,42,52,75,127,142,136,281,11,11,18,11,7,22,150,217,371,141,156,298,6,7,14,3788,4158,7946,46,45,93,42,56,99,9,7,13,0,0,0,22,30,53,14,15,29,40,44,84,1860,1562,3417,24,10,36,7,9,20,1895,1580,3475,435,419,854,6291,6350,12643
101031013,3,7,9,370,398,766,0,0,0,9,7,12,0,0,0,278,275,551,0,0,0,11,18,24,0,0,0,0,0,0,3,3,10,0,0,0,3,0,4,10,4,14,73,82,153,5,6,14,3,6,14,28,27,58,12,16,24,0,0,0,805,833,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,3,7,9,279,223,504,3,4,3,0,4,5,285,228,518,107,107,208,1207,1188,2390
101031014,26,45,70,575,688,1266,0,0,0,84,75,165,0,0,0,864,910,1772,0,3,6,30,33,65,18,31,50,3,0,3,29,46,74,3,0,3,11,4,16,24,29,56,72,77,142,12,9,18,0,0,3,62,90,151,52,75,132,0,3,3,1843,2073,3920,3,3,5,24,19,42,0,0,3,0,0,0,0,3,6,6,9,14,7,17,24,929,836,1765,11,11,22,4,3,10,941,850,1795,540,345,888,3388,3346,6742
101031015,9,6,18,356,365,716,0,0,0,41,43,86,0,0,0,425,412,831,0,0,0,10,6,19,3,12,16,0,9,6,23,11,33,0,0,0,0,0,4,3,3,3,40,37,85,3,0,3,0,0,3,46,56,102,23,30,54,0,0,0,979,976,1958,0,0,3,10,4,14,0,0,3,0,3,3,0,0,0,8,8,15,9,10,18,462,375,842,8,5,12,3,7,11,470,389,864,210,204,412,1691,1596,3280
101031016,33,50,88,617,584,1201,0,0,0,43,33,76,0,0,0,727,669,1396,0,0,3,19,11,32,3,4,10,0,0,0,15,12,29,0,0,0,3,3,6,18,15,26,75,70,145,8,7,11,4,7,9,123,120,237,39,43,89,3,0,3,1695,1576,3274,5,4,5,4,7,18,6,6,10,3,0,3,0,0,0,5,12,23,9,12,29,1451,1197,2651,15,16,33,3,12,12,1474,1219,2694,497,349,848,3725,3228,6951
101041017,20,36,53,840,987,1830,0,0,0,43,41,82,0,0,0,818,906,1719,3,3,9,39,31,74,28,31,61,4,3,9,21,16,38,4,3,7,11,13,29,32,28,59,107,109,220,26,16,38,0,7,10,113,149,263,69,79,142,0,0,6,2154,2434,4587,4,12,17,12,8,18,0,4,4,0,3,3,6,6,13,6,11,13,10,16,31,1153,1024,2171,6,9,10,13,12,20,1169,1035,2207,407,371,772,3778,3915,7692
101041018,25,41,62,851,1084,1938,0,0,0,40,49,88,0,0,0,937,1059,1999,0,0,3,26,15,43,27,48,75,3,5,11,16,25,40,0,0,3,9,16,24,37,43,79,115,132,245,6,15,23,5,4,12,122,174,301,69,77,154,3,0,5,2275,2749,5024,10,12,14,7,3,7,0,0,3,4,0,4,0,3,3,14,18,32,14,23,38,1186,1083,2264,17,7,26,10,13,23,1211,1104,2309,443,441,886,3991,4368,8358
101041019,33,53,84,848,952,1802,0,0,0,38,40,80,0,0,0,776,863,1645,0,3,3,10,9,14,20,38,56,12,9,29,5,12,19,0,0,0,15,14,24,11,17,34,76,107,189,12,22,36,8,14,26,154,186,333,63,62,126,5,8,22,2052,2367,4419,13,13,20,5,7,13,0,3,4,0,9,6,0,0,0,7,10,17,6,13,20,1500,1429,2928,20,12,25,4,12,22,1519,1457,2972,456,416,871,4085,4321,8405
101041020,36,69,103,875,908,1781,0,0,0,37,35,71,0,0,0,656,669,1317,0,0,0,10,5,16,21,29,54,9,3,14,10,15,32,0,0,0,12,15,25,7,10,17,101,101,199,4,11,13,27,35,62,124,152,274,107,137,246,3,3,13,2002,2126,4126,4,8,11,3,3,7,0,12,10,0,0,0,0,0,0,15,41,55,15,41,55,1829,1615,3446,18,17,37,11,23,35,1866,1661,3519,507,448,958,4433,4360,8793
101041021,12,21,30,315,367,683,0,0,0,13,16,27,0,0,0,302,351,652,0,4,4,3,8,13,13,14,23,0,0,0,5,9,17,0,0,0,3,0,3,12,8,23,35,57,90,5,9,13,0,7,7,45,72,119,27,30,56,0,0,0,781,944,1728,0,0,0,3,3,3,0,3,3,0,0,0,0,0,0,0,3,11,0,3,11,607,532,1138,3,9,15,3,3,11,609,541,1159,196,162,359,1607,1682,3285
101041022,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,0,0,0,0,0,0,7,4,9,9,3,11,15,10,25
101041023,9,11,19,372,427,793,0,0,0,14,9,24,0,0,0,286,321,607,3,9,13,8,11,16,3,15,21,4,0,8,4,8,9,0,0,0,0,8,10,0,0,0,59,53,108,6,0,7,0,0,0,48,56,99,26,38,63,0,3,3,833,956,1786,0,3,5,3,0,3,3,0,3,7,0,7,0,0,0,4,3,7,9,3,10,523,484,1008,6,5,8,3,4,7,533,493,1022,191,174,360,1582,1640,3216
101041024,14,21,29,353,393,745,0,0,0,13,14,28,0,0,0,301,282,584,0,0,0,10,6,14,4,0,12,0,0,0,8,3,17,0,0,0,0,0,4,13,10,17,46,45,87,5,5,11,3,3,5,49,54,98,23,28,55,3,0,4,834,848,1687,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21,10,12,25,613,551,1171,8,0,8,4,4,9,627,560,1184,188,182,363,1674,1625,3301
101041025,38,66,104,1085,1343,2431,0,0,0,71,83,146,0,0,0,1025,1031,2062,0,0,0,19,24,40,28,49,82,4,6,13,14,19,38,0,0,0,12,11,17,12,15,27,180,204,388,6,16,22,4,4,13,175,275,445,83,109,194,0,0,5,2715,3211,5923,11,4,15,4,5,4,0,5,6,0,0,0,0,0,0,18,17,38,14,17,39,1769,1664,3440,22,15,35,9,16,20,1802,1693,3490,486,545,1033,5074,5541,10618
101041026,24,43,62,760,883,1642,0,0,0,40,39,81,0,0,0,946,964,1905,3,0,3,12,9,23,12,18,26,3,6,10,15,20,31,0,0,0,10,13,20,21,40,65,135,158,298,9,10,20,4,11,12,81,118,204,60,70,128,4,3,9,2122,2349,4469,7,6,16,3,0,4,0,0,4,0,0,0,0,0,0,11,20,32,14,20,29,1387,1211,2603,17,9,27,5,13,14,1411,1235,2645,377,354,731,3959,4007,7968
101041027,39,75,115,946,1072,2015,0,0,0,39,44,81,0,0,0,699,761,1461,0,0,0,28,19,46,26,30,63,5,15,21,15,27,47,0,0,0,10,16,25,10,4,12,138,171,315,4,6,8,7,18,31,143,205,342,61,75,131,0,3,6,2126,2478,4605,9,7,21,3,3,8,6,5,12,5,9,13,3,3,3,6,18,24,12,28,47,1672,1446,3117,16,14,30,13,10,23,1705,1469,3174,507,497,1004,4412,4561,8978
101051539,77,100,183,2693,3091,5788,0,0,0,130,154,285,64,61,123,3090,3472,6568,0,4,4,75,61,136,14,39,53,16,17,27,22,23,40,3,5,10,23,16,42,47,48,101,223,249,475,26,44,65,34,42,73,411,473,889,163,168,332,6,7,17,7051,7973,15029,54,48,110,41,41,87,3,0,4,0,0,0,23,22,41,29,31,61,51,52,102,2532,2215,4742,29,31,64,16,21,30,2573,2265,4835,1584,958,2542,11447,11441,22890
101051540,19,45,58,1761,1760,3518,0,0,0,46,52,101,0,3,3,1911,1815,3722,0,0,5,45,28,78,17,17,31,7,16,24,16,23,43,4,0,4,8,11,17,6,20,31,195,145,339,13,18,31,9,14,20,314,305,619,87,88,177,13,6,18,4455,4324,8780,8,6,13,16,9,31,6,3,11,0,0,0,6,3,5,10,11,26,13,20,29,1312,1094,2401,17,14,38,7,12,21,1336,1126,2456,695,599,1288,6543,6127,12670
101061541,14,23,36,724,889,1615,0,0,0,54,50,105,0,0,0,893,942,1831,0,0,4,9,9,25,3,8,6,0,0,3,17,13,24,0,0,0,3,5,12,19,14,32,62,93,153,4,4,14,3,0,7,154,181,332,58,67,132,3,0,3,2018,2276,4292,3,7,5,13,19,32,3,9,11,0,0,0,0,3,4,5,7,11,6,8,19,768,736,1502,10,9,24,0,13,9,783,757,1538,278,293,571,3118,3385,6506
