SA2_MAINCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
101021007,0,0,0,0,0,0,3,0,4,35,34,4,74,3,0,7,78,45,0,127
101021008,0,3,0,0,0,3,3,3,12,166,82,15,256,7,12,23,285,173,6,469
101021009,0,3,0,0,0,3,3,3,8,209,90,15,311,10,8,17,331,161,0,492
101021010,0,0,0,0,0,0,3,0,3,78,24,9,117,4,8,5,122,49,4,176
101021011,0,3,0,0,0,3,3,0,5,176,77,17,268,3,0,8,272,84,0,363
101021012,0,0,0,0,0,0,0,3,9,247,74,17,334,5,7,8,345,107,3,451
101031013,0,0,0,0,0,0,0,0,0,14,11,0,28,8,0,8,33,43,0,77
101031014,0,8,0,0,0,7,3,3,10,100,91,8,191,11,9,19,206,126,10,339
101031015,0,0,0,0,0,0,0,0,0,14,20,0,41,0,0,3,41,23,0,66
101031016,0,0,0,0,0,0,0,0,4,89,44,3,135,8,4,4,143,55,0,200
101041017,0,3,0,0,0,4,6,0,15,70,83,17,172,12,11,29,201,176,0,377
101041018,3,9,0,0,0,9,5,5,20,86,105,17,207,9,6,20,228,170,3,397
101041019,0,0,0,0,0,0,3,4,5,87,99,9,190,5,11,19,212,144,5,362
101041020,0,3,0,0,0,0,0,0,3,68,69,9,146,5,5,13,162,131,3,297
101041021,0,0,0,0,0,0,0,0,0,40,42,7,82,3,0,3,90,45,0,133
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,3,0,0,0,3,3,0,3,27,37,3,74,5,3,11,83,72,3,159
101041024,0,0,0,0,0,0,0,0,3,27,39,6,73,8,0,7,81,44,0,131
101041025,0,0,0,0,0,0,6,3,8,100,130,13,237,5,12,20,262,136,8,403
101041026,0,0,0,0,0,0,6,3,10,68,90,15,171,9,3,13,184,153,5,341
101041027,0,0,0,0,0,4,4,3,11,48,98,11,154,8,8,15,163,159,3,330
101051539,3,6,0,0,0,6,18,11,32,315,264,38,621,37,46,82,703,452,18,1171
101051540,0,0,0,0,3,5,8,3,11,84,88,10,183,11,7,17,199,176,4,384
101061541,0,4,0,0,0,4,0,0,5,92,63,12,167,4,5,8,175,79,0,258
101061542,3,4,0,0,0,4,0,0,9,108,66,9,184,3,8,8,192,87,7,286
101061543,0,0,0,0,0,0,7,4,9,105,144,15,263,28,15,44,303,218,15,533
101061544,0,5,0,0,0,5,5,3,9,52,59,4,117,11,7,17,135,132,10,273
102011028,0,0,0,0,0,0,0,0,3,118,84,13,214,7,6,18,231,86,4,319
102011029,0,3,0,0,0,3,6,0,11,89,122,13,222,5,11,17,238,147,4,390
102011030,0,0,0,0,0,0,0,0,0,30,29,4,62,4,5,7,67,63,0,129
102011031,0,5,0,0,0,5,4,0,11,163,132,11,307,7,17,23,328,195,8,528
102011032,3,11,0,0,0,11,10,3,22,314,256,24,593,29,32,60,649,400,9,1056
102011033,0,0,0,0,0,0,3,0,4,107,64,3,177,4,3,8,184,92,0,276
102011034,0,0,0,0,0,0,4,0,4,113,80,4,201,10,10,17,218,133,5,359
102011035,0,0,0,0,0,0,3,0,6,112,82,13,212,9,7,21,233,118,0,354
102011036,0,0,0,0,0,0,0,0,0,104,75,8,192,4,8,12,203,126,0,328
102011037,0,0,0,0,0,0,6,0,6,72,60,10,136,6,10,15,152,114,4,266
102011038,0,0,0,0,0,0,0,0,0,101,77,13,189,11,7,15,201,77,0,280
102011039,3,3,0,0,0,5,0,0,4,192,139,15,338,12,17,22,365,160,3,526
102011040,3,6,0,0,0,10,13,9,32,304,334,32,666,44,36,73,743,613,19,1372
102011041,0,0,0,0,0,0,0,3,3,109,92,13,214,3,10,17,230,111,5,341
102011042,0,3,0,0,3,3,3,5,18,168,165,16,342,30,12,44,388,380,12,780
