SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
101041018,38,91,33,36,5,214,16,13,100,62,139,15,359,0,0,10,4,14,3,34,3,0,9,12,67,0,92,3,0,11,10,27,22,78,76,80,375,279,942,95,1842
101041019,41,109,21,31,0,240,45,24,182,95,151,23,513,3,0,4,3,14,0,28,3,0,6,9,70,5,89,3,0,8,10,18,11,47,119,96,521,315,1043,114,2209
101041020,33,103,35,44,9,244,35,30,121,110,137,12,447,3,4,14,7,19,0,41,0,0,3,9,70,0,84,5,0,6,15,53,18,92,105,107,523,379,1219,141,2480
101041021,23,59,17,12,6,121,11,21,61,34,44,3,176,3,0,0,0,10,0,17,0,0,0,6,26,0,33,0,0,4,3,15,3,27,36,55,205,154,384,29,864
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,10
101041023,9,22,9,9,0,57,3,5,27,22,33,0,87,0,0,0,0,3,0,11,0,0,0,0,37,3,44,0,0,5,0,12,17,32,17,14,94,104,349,53,634
101041024,12,24,14,26,0,82,5,8,44,28,56,3,138,0,0,5,3,11,3,19,0,0,0,8,36,0,45,0,0,0,3,18,5,26,36,29,157,157,502,42,926
101041025,40,105,49,31,3,254,36,33,167,97,148,19,500,3,3,9,6,22,0,49,0,0,9,11,77,3,112,0,0,5,8,38,10,66,110,107,570,421,1330,138,2679
101041026,25,85,32,35,3,215,29,15,116,85,137,22,394,0,0,8,3,18,0,31,0,0,6,10,58,0,70,4,0,13,7,33,10,66,100,75,373,311,967,89,1909
101041027,23,93,33,31,6,222,22,16,96,51,121,10,313,6,4,15,9,23,0,50,7,0,10,3,70,3,88,0,0,3,6,26,12,54,100,74,394,296,970,105,1937
101051539,56,246,112,112,15,613,88,36,310,289,474,46,1245,0,3,9,11,27,0,59,4,5,20,35,227,11,297,5,3,18,29,101,26,179,288,175,1060,1092,3055,284,5958
101051540,41,150,66,72,3,366,27,22,120,111,190,20,487,3,3,15,3,17,3,42,3,5,6,24,121,4,166,3,0,22,3,73,19,123,156,119,687,642,1844,218,3661
101061541,17,101,37,40,3,217,15,17,83,67,104,17,304,0,0,12,4,9,0,22,3,0,12,12,62,0,88,0,0,6,10,43,9,66,103,68,479,309,870,80,1908
101061542,52,171,55,59,6,424,39,27,138,73,108,11,401,3,5,15,12,13,6,62,7,4,14,11,79,9,130,10,5,23,21,40,16,124,478,241,1182,702,1373,177,4157
101061543,30,138,30,56,3,275,15,8,110,85,168,18,409,0,0,4,3,20,0,26,0,0,13,22,102,5,135,3,0,3,10,55,19,96,69,66,475,346,1389,153,2491
101061544,12,96,31,30,11,194,14,11,51,60,96,12,245,0,0,3,0,5,0,16,0,0,3,6,61,0,69,0,0,11,5,23,14,55,64,37,384,327,903,145,1864
102011028,32,195,43,42,9,383,60,38,234,106,76,12,536,3,3,11,8,11,3,42,3,0,14,13,53,0,80,12,0,28,16,38,8,95,217,116,822,515,907,93,2673
102011029,41,154,55,62,8,377,53,42,167,118,141,22,533,5,0,13,12,16,3,51,5,0,19,19,84,7,129,3,0,28,21,53,10,113,210,132,870,609,1341,159,3323
102011030,9,53,29,20,7,129,18,4,55,40,46,4,163,0,0,10,5,9,4,28,5,0,6,4,36,3,58,4,0,14,7,31,15,82,79,38,321,257,654,88,1436
102011031,31,231,56,53,4,454,84,48,277,146,180,33,772,3,0,14,12,24,3,52,8,0,15,32,115,3,175,9,6,35,24,59,12,141,307,134,1089,734,1407,130,3805
102011032,38,269,79,92,14,594,128,57,604,226,354,42,1414,4,0,27,22,35,3,94,8,3,40,49,160,11,282,16,0,29,30,66,36,171,440,174,1754,1091,2225,250,5941
102011033,8,66,27,28,3,157,17,17,106,97,134,10,387,0,0,5,10,6,0,19,0,0,8,13,90,9,121,5,0,9,8,40,9,71,92,55,422,433,978,83,2065
102011034,25,106,30,48,9,250,35,17,129,81,101,14,375,0,0,8,9,12,0,24,6,0,9,17,67,3,98,0,0,8,14,41,11,81,114,63,436,347,914,87,1960
102011035,16,76,35,30,3,206,24,26,152,86,152,16,468,0,0,9,3,13,0,20,3,3,10,15,82,3,117,4,0,15,17,32,14,86,124,70,509,393,1022,87,2205
102011036,21,147,39,45,5,303,31,34,165,95,149,12,481,0,0,8,12,12,0,29,3,0,12,18,101,5,137,0,0,7,15,39,13,76,144,89,642,487,1149,99,2599
102011037,18,98,38,26,3,228,37,24,125,96,95,10,393,0,3,17,3,13,0,37,7,3,11,10,38,3,71,0,0,12,10,26,17,63,151,76,535,401,723,75,1962
102011038,21,130,39,34,3,270,33,20,117,78,113,13,373,3,0,5,13,11,0,26,0,0,12,23,79,4,114,3,0,13,11,40,10,73,106,69,510,418,1035,78,2208
102011039,47,340,68,48,7,617,125,44,459,143,159,23,956,3,3,27,9,14,4,65,7,8,28,30,131,3,206,11,0,26,30,60,16,140,399,176,1542,842,1572,168,4700
102011040,43,224,78,94,12,541,73,30,252,237,427,57,1075,3,3,20,13,45,7,83,11,5,22,48,203,19,296,3,5,33,37,119,49,246,348,130,1142,1065,2821,339,5843
102011041,38,238,51,50,10,457,75,43,291,115,131,28,679,3,0,5,3,12,5,35,5,3,15,19,72,4,126,3,0,12,13,53,10,92,250,120,1003,598,1234,139,3340
102011042,32,114,43,47,9,304,36,17,162,128,242,28,609,4,0,11,3,25,3,43,6,3,10,29,107,0,160,10,5,20,5,60,23,131,225,112,739,597,1558,176,3409
102011043,23,127,56,59,9,308,32,24,219,141,238,19,665,3,3,7,8,22,0,43,3,3,23,18,96,10,153,0,3,13,15,58,19,104,148,78,695,576,1404,150,3061
102021044,48,355,91,100,18,665,53,29,290,240,417,43,1068,3,3,13,17,33,0,68,3,0,16,46,239,3,312,4,0,22,27,103,38,195,200,125,1172,1034,3119,278,5919
102021045,11,67,27,48,0,156,13,12,80,139,269,28,529,0,0,9,3,7,3,22,3,0,5,14,113,0,134,0,0,0,3,74,26,103,31,36,281,397,1601,148,2497
102021046,11,83,32,62,3,210,7,14,93,87,184,13,400,0,0,8,4,20,0,31,0,0,5,12,97,0,118,0,0,4,14,52,19,87,53,41,305,392,1328,117,2229
102021047,31,233,53,69,7,465,42,31,195,166,308,41,776,0,0,16,17,22,0,55,7,0,14,29,195,5,251,3,0,18,28,105,25,182,174,116,856,850,2399,186,4583
102021048,26,168,67,96,3,405,31,36,217,218,421,51,980,0,0,3,14,48,6,63,0,0,14,30,214,11,269,3,0,16,16,123,42,213,117,98,696,819,2803,276,4809
102021049,9,52,14,13,3,110,17,14,56,40,32,3,157,3,0,3,9,18,0,28,0,0,6,3,50,3,63,0,0,8,13,21,5,51,69,40,263,209,484,53,1108
102021050,17,94,45,41,8,222,15,12,92,103,197,20,431,0,0,3,3,20,4,30,0,0,9,3,119,12,140,0,0,3,9,52,32,97,52,42,336,394,1450,138,2411
102021051,21,88,25,29,4,197,29,13,123,60,85,17,332,0,0,6,7,13,0,26,0,0,4,9,55,3,75,0,0,12,6,24,7,49,107,46,435,323,680,84,1669
102021052,10,54,15,33,3,126,5,3,53,60,122,12,258,0,0,0,6,7,0,12,3,0,0,3,61,0,69,0,0,7,4,38,6,55,32,22,178,223,898,59,1413
102021053,46,195,41,49,8,397,37,28,188,135,270,30,685,0,0,8,10,24,4,53,0,3,9,36,119,5,178,0,0,11,25,88,28,158,167,108,722,661,1819,213,3690
102021054,25,118,20,44,3,230,14,16,95,102,191,19,439,0,0,0,3,15,0,18,0,0,3,12,60,8,84,0,0,11,7,51,14,80,62,63,360,387,1211,111,2196
102021055,11,80,18,27,0,159,27,8,99,42,81,9,272,0,0,3,3,15,0,24,0,0,9,13,40,3,65,5,0,6,8,24,3,50,85,37,385,281,691,56,1524
102021056,15,142,52,55,9,322,42,29,231,190,299,31,813,0,0,7,9,24,0,43,7,0,11,36,166,3,224,3,0,20,9,70,11,120,170,94,741,840,2138,168,4159
102021057,10,61,24,43,7,146,16,15,83,77,171,21,374,0,0,6,3,19,0,29,0,3,10,21,69,5,108,3,0,9,5,45,12,77,68,39,319,331,1071,130,1952
103011058,96,532,138,174,22,1154,115,63,398,238,339,36,1181,7,0,20,20,29,6,79,8,3,32,34,197,6,285,7,3,23,20,104,29,196,468,268,1857,1044,3049,263,6950
103011059,47,205,64,82,13,479,31,33,169,114,179,18,543,7,0,3,5,15,0,35,3,0,12,9,110,7,135,0,3,11,14,51,10,91,134,120,704,503,1671,140,3280
103011060,39,115,44,46,7,278,22,22,95,50,89,13,298,0,3,8,10,13,6,29,0,0,11,17,74,6,99,0,3,7,16,46,14,89,113,114,472,333,1025,137,2188
103011061,11,44,16,24,3,103,5,5,24,41,36,5,113,0,0,3,0,8,0,16,0,0,6,3,24,0,37,0,0,0,5,48,8,63,34,29,175,156,633,68,1084
103021062,26,115,30,31,6,216,9,6,46,52,86,11,208,0,0,0,0,8,0,7,0,0,0,3,43,4,58,0,0,14,10,25,13,62,34,46,299,227,728,134,1463
103021063,25,116,48,56,6,267,5,8,93,71,165,21,363,0,0,0,3,17,0,21,0,0,9,11,86,0,116,0,0,5,3,41,16,64,42,48,360,277,1126,135,1991
103021064,23,77,27,28,7,162,12,3,53,57,61,9,200,0,0,3,0,8,0,13,0,0,8,12,32,0,45,0,0,11,4,20,9,37,35,36,300,243,703,88,1410
103021065,12,162,50,77,9,347,13,20,90,81,146,19,370,0,0,3,3,13,0,23,0,0,9,11,97,4,116,0,0,8,12,62,26,109,76,63,501,385,1333,181,2541
103021066,5,46,17,15,0,97,0,3,31,22,37,9,104,0,0,0,0,3,0,5,0,0,0,3,31,0,34,0,0,0,3,14,10,27,22,22,185,146,420,57,843
103021067,28,157,39,72,5,316,20,17,94,78,185,22,423,0,0,0,0,8,5,16,3,3,8,11,124,4,152,0,0,3,7,46,17,81,84,82,518,371,1554,153,2764
103021068,8,33,19,22,3,97,10,3,34,26,48,5,121,0,0,0,0,5,0,5,0,0,3,3,23,0,29,0,0,3,5,11,4,22,25,21,152,129,444,55,834
103021069,17,92,22,22,5,162,4,3,35,33,68,7,154,0,0,0,0,3,0,4,0,0,6,4,62,0,80,0,0,4,3,25,15,45,32,25,269,178,799,125,1432
103031070,21,93,46,62,3,253,14,19,122,85,167,16,430,0,0,6,3,18,0,34,0,3,8,13,99,3,126,0,0,6,13,61,27,106,82,76,433,414,1613,137,2755
103031071,13,66,21,41,6,166,13,16,56,62,112,16,270,3,0,7,8,13,0,27,0,0,3,10,63,3,77,3,0,3,14,47,10,74,74,45,318,358,1204,137,2129
103031072,40,172,38,65,4,342,23,13,141,89,139,19,425,4,0,3,4,20,0,35,4,0,11,22,167,11,210,0,0,15,11,26,18,68,111,92,685,477,1746,185,3291
103031073,3,39,12,17,0,87,0,5,8,21,34,3,76,0,0,0,3,0,0,9,0,0,0,3,24,0,33,0,0,7,0,14,0,28,15,9,114,109,383,27,665
103031074,22,112,39,55,6,249,12,15,80,84,118,20,331,3,0,3,3,13,0,26,0,3,9,11,114,4,138,4,0,4,9,42,17,75,67,65,443,377,1444,179,2577
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,20,99,31,36,7,222,23,16,106,60,111,11,325,0,0,8,0,9,0,13,0,0,6,21,65,3,97,3,0,11,12,29,20,66,87,65,431,305,1053,110,2050
103041077,51,285,88,122,14,641,110,54,420,230,352,45,1209,3,0,12,3,16,0,38,3,0,14,24,153,5,201,7,0,18,6,81,35,151,332,174,1342,778,2182,232,5053
103041078,64,371,91,121,4,760,135,87,534,282,372,55,1454,0,0,10,13,19,8,53,3,7,25,31,218,5,297,4,0,21,16,69,15,125,426,245,1663,1001,2820,248,6404
103041079,27,219,73,70,4,444,60,32,211,134,146,25,611,0,0,3,8,10,0,20,3,0,10,27,123,3,159,3,3,13,17,67,29,132,225,108,925,642,1709,186,3792
104011080,34,205,66,93,22,453,37,30,229,166,404,32,908,3,0,5,7,30,3,51,7,3,18,27,171,3,221,3,4,0,10,65,21,103,129,99,756,609,2231,216,4045
104011081,37,155,67,70,9,363,28,28,143,135,318,29,686,3,0,8,6,22,3,41,3,0,7,20,124,10,161,0,0,8,8,73,30,118,122,100,591,524,1937,241,3518
104011082,34,164,67,75,9,385,46,22,196,137,208,34,642,0,0,4,13,20,6,41,4,3,17,17,118,4,159,0,3,11,18,70,22,120,146,110,704,543,1798,228,3532
104021083,31,114,48,23,3,255,34,21,147,78,92,15,379,0,0,19,5,3,0,32,3,0,9,6,37,0,54,0,3,10,6,30,10,58,124,82,518,297,560,81,1661
104021084,42,218,70,89,16,479,73,31,329,206,312,34,989,6,0,12,16,26,0,56,0,0,26,25,159,12,226,3,0,16,31,78,28,152,182,129,1006,855,2064,178,4422
104021085,20,132,45,47,3,279,56,13,240,110,183,20,620,3,0,4,4,20,0,34,0,3,6,23,86,6,125,3,0,9,9,41,16,76,141,74,673,445,1157,126,2613
104021086,14,54,30,27,3,144,16,11,62,60,74,10,227,3,0,3,0,8,0,23,0,0,0,6,35,3,41,0,0,4,6,27,5,39,59,42,231,204,564,68,1167
104021087,7,26,11,9,0,74,0,8,35,29,44,0,118,0,3,3,0,8,0,15,0,0,0,0,21,0,30,0,5,6,0,13,3,28,22,35,163,104,344,42,701
104021088,14,202,57,44,10,371,57,44,250,112,139,15,621,3,0,3,6,12,0,35,0,3,18,22,84,3,129,6,0,16,13,41,6,85,174,104,838,506,1182,95,2910
104021089,67,312,105,117,18,682,80,61,384,231,386,47,1191,3,4,11,16,38,3,72,9,3,19,24,163,12,231,3,0,20,16,118,23,176,235,189,1247,855,2577,211,5323
104021090,21,88,30,25,9,190,16,12,74,55,91,12,250,0,0,4,0,8,0,12,0,0,0,0,47,3,55,0,0,4,3,15,12,31,45,40,272,202,576,67,1205
104021091,36,204,54,60,4,391,23,21,166,126,183,15,535,0,0,8,4,16,3,31,0,0,11,15,94,3,129,3,0,13,15,56,22,111,106,94,766,542,1384,174,3070
105011092,4,80,13,36,9,164,9,3,42,35,44,16,140,0,0,3,3,3,0,8,0,0,3,6,20,0,30,0,0,0,3,13,6,20,31,15,202,168,340,65,824
105011093,10,49,12,17,0,95,11,6,34,27,31,3,110,0,0,0,0,0,3,7,0,0,3,0,45,0,43,0,0,0,3,22,5,30,47,32,215,138,689,70,1180
105011094,12,50,14,34,6,126,5,3,31,35,45,8,133,0,0,0,0,0,0,3,0,0,0,0,24,6,29,0,0,7,3,17,13,36,28,21,188,142,432,76,887
105011095,15,71,26,23,3,141,3,3,38,38,42,8,126,0,0,0,0,3,0,6,0,0,7,9,34,3,52,0,0,3,0,19,8,35,30,25,253,185,578,83,1160
105011096,14,96,32,35,12,213,7,9,64,34,50,8,182,0,0,0,3,11,0,17,0,0,3,0,28,7,38,0,0,4,3,16,15,36,46,29,291,235,483,99,1185
105021097,40,221,66,106,10,491,71,61,261,201,355,40,995,0,0,4,5,25,0,38,0,3,7,18,159,7,193,3,6,6,11,59,25,106,162,151,718,594,2268,239,4133
105021098,3,22,5,12,5,62,0,0,12,11,13,4,40,0,0,0,0,4,0,5,0,0,3,0,5,3,12,0,0,4,4,8,8,22,12,9,73,87,230,43,459
105031099,28,119,38,46,9,259,10,3,83,62,105,19,278,0,0,6,0,4,0,11,0,0,3,4,47,0,63,0,3,3,3,38,22,68,64,51,378,275,877,152,1803
105031100,36,181,39,77,9,380,36,41,202,132,186,19,621,0,0,0,3,25,0,32,3,3,9,12,126,10,161,6,0,4,8,56,20,88,152,124,672,435,1529,145,3057
105031101,69,342,84,111,8,691,96,60,369,213,325,25,1095,3,6,25,13,51,0,93,7,0,24,32,223,7,288,0,0,16,13,67,24,121,324,211,1418,805,2462,193,5408
105031102,27,135,32,48,6,277,29,13,155,96,140,19,446,0,3,8,6,26,0,41,3,0,6,19,91,0,121,0,0,0,3,46,12,71,112,59,517,384,1179,124,2380
105031103,23,104,28,46,4,212,12,15,91,69,79,13,277,0,3,13,0,16,3,33,0,0,7,11,72,6,91,4,0,8,6,45,9,75,49,52,422,261,927,122,1841
105031104,5,75,23,24,3,139,7,5,35,45,75,10,173,0,0,4,0,5,0,9,0,0,3,0,41,0,51,0,0,7,3,22,0,33,32,11,212,155,549,80,1038
105031105,19,95,30,39,8,208,3,9,60,50,87,12,222,0,0,0,0,7,0,10,0,0,7,11,66,6,93,0,0,3,6,31,12,56,36,41,328,249,820,85,1553
105031106,16,96,29,53,5,217,10,5,72,74,121,12,292,0,0,3,0,12,3,20,0,0,7,3,58,4,76,0,0,11,12,28,9,66,53,43,305,289,941,118,1745
106011107,18,105,34,54,9,255,24,26,105,83,133,16,382,0,0,5,9,7,0,23,0,3,10,20,168,3,198,3,0,6,14,66,12,103,116,80,537,487,1752,150,3124
106011108,30,142,48,97,6,344,29,20,166,175,358,44,791,4,0,3,13,36,5,56,3,3,17,32,220,7,276,0,0,7,15,98,26,146,99,85,617,662,2950,231,4644
106011109,16,77,23,47,9,206,10,18,74,77,101,22,306,4,0,7,0,12,4,25,3,0,0,9,110,0,122,0,0,17,16,50,14,103,105,62,366,358,1167,126,2184
106011110,32,93,46,68,8,263,15,13,100,98,118,14,363,0,0,5,3,9,0,20,0,0,3,14,107,5,138,0,0,13,11,56,10,86,102,78,458,440,1370,127,2562
106011111,20,104,45,101,9,302,16,14,127,164,339,25,681,0,0,0,0,26,0,33,3,0,7,21,222,10,262,3,0,7,12,119,28,170,68,57,424,535,2688,195,3978
106011112,36,164,56,83,4,385,26,15,121,100,203,20,486,0,0,0,3,19,3,33,0,5,10,21,205,8,255,0,0,16,13,70,17,124,165,111,776,650,2827,176,4700
106011113,8,30,14,30,6,100,5,0,35,25,42,5,115,0,0,0,0,0,0,9,0,0,3,8,51,0,64,0,0,0,7,42,11,62,39,20,198,209,825,82,1389
106021114,22,72,23,23,5,159,30,9,130,88,112,19,386,0,0,0,0,7,3,16,3,0,6,21,59,3,94,0,0,4,10,34,11,61,92,45,405,344,987,85,1956
106021115,79,414,130,137,15,893,98,64,444,265,479,58,1404,3,3,10,13,36,9,67,7,7,27,69,283,14,407,13,0,29,30,130,26,225,416,251,1744,1423,3759,292,7882
106021116,27,192,48,43,4,377,32,21,159,81,95,17,413,0,0,3,5,5,4,16,0,0,12,19,94,0,124,0,0,8,10,42,5,72,178,86,726,482,1108,74,2651
106021117,45,186,72,115,12,473,47,28,264,234,387,39,1006,0,0,6,11,25,3,45,9,3,24,41,309,12,393,0,0,7,31,139,36,220,195,121,942,944,3702,255,6154
106021118,38,141,35,50,3,309,24,16,130,113,192,12,481,0,0,0,0,18,3,24,0,0,5,23,120,3,154,0,0,8,19,48,14,97,119,93,552,571,1784,89,3210
106031119,18,73,28,28,0,166,11,8,78,48,86,13,247,0,0,3,3,8,0,12,0,3,9,21,43,5,79,0,0,8,11,40,7,60,63,43,325,272,852,72,1617
106031120,12,26,25,22,3,98,5,4,47,58,112,15,246,0,0,3,3,8,0,21,0,0,6,7,66,4,80,0,0,3,5,35,9,56,33,23,162,251,886,95,1458
106031121,34,224,84,79,4,507,48,29,224,205,292,22,815,0,0,16,18,36,4,85,3,3,14,40,156,3,219,7,3,14,21,96,31,182,304,131,1054,986,2507,208,5183
106031122,15,99,44,72,6,254,19,12,122,96,239,27,516,0,0,8,0,21,3,29,3,0,6,22,163,0,191,3,0,3,7,57,24,100,79,42,403,452,1925,126,3031
106031123,12,82,27,30,9,188,18,14,96,66,72,8,280,0,0,4,3,6,0,12,0,0,8,15,90,3,119,3,0,5,16,41,11,76,78,41,388,313,974,92,1882
106031124,9,30,13,16,3,77,13,7,41,49,61,6,175,0,0,3,3,9,0,13,0,3,3,10,25,3,39,0,0,3,3,11,7,32,33,25,164,171,488,59,941
106031125,25,127,56,67,9,311,30,13,140,132,234,39,583,0,0,3,10,21,3,32,0,0,7,16,163,6,200,4,0,23,15,64,23,127,126,85,609,744,2231,192,3991
106041126,18,120,34,49,0,250,19,11,102,72,130,16,346,0,3,0,0,8,3,18,0,0,3,22,114,0,141,0,0,9,8,46,15,81,105,61,457,397,1771,124,2912
106041127,8,29,13,16,3,68,0,8,11,18,44,6,91,0,0,0,0,9,0,12,0,0,0,3,32,0,40,0,0,3,5,25,17,48,15,18,149,183,698,71,1132
106041128,17,110,22,27,5,202,6,3,57,45,47,6,169,0,0,9,9,12,0,32,0,0,0,6,62,0,73,0,0,6,9,28,12,56,58,41,355,264,865,93,1687
106041129,14,94,38,52,11,215,11,9,45,55,83,8,206,0,0,10,5,18,0,34,0,0,6,7,71,3,91,0,0,8,14,44,11,77,54,46,373,333,1238,141,2180
107011131,54,200,88,173,19,617,52,47,260,312,526,33,1225,0,0,11,6,32,0,61,4,3,27,37,271,4,347,9,3,16,21,133,32,206,214,143,940,1027,3484,246,6057
107011132,27,109,46,56,3,289,30,11,148,131,205,23,548,0,0,6,4,17,0,24,3,0,7,21,100,3,133,3,3,8,11,50,5,82,149,69,522,556,1462,112,2871
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011134,90,317,85,95,15,732,94,46,266,165,239,39,850,0,0,8,0,24,0,39,9,4,23,26,147,8,222,12,0,27,18,86,16,154,406,195,1280,854,2038,168,4935
107011545,28,94,40,41,9,247,17,11,101,121,219,24,498,5,0,9,6,11,0,31,3,0,11,27,141,11,195,3,0,28,17,88,30,162,113,53,492,525,1583,207,2975
107011546,22,70,23,32,3,176,35,11,89,81,134,10,364,0,0,3,7,8,0,18,0,0,10,15,74,4,99,0,0,9,10,46,19,85,111,43,356,333,974,100,1918
107011547,15,54,20,23,5,135,18,13,18,39,63,13,156,0,0,3,6,0,0,10,0,0,0,3,29,0,39,0,0,4,5,24,14,44,52,27,163,179,519,63,1016
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
107031136,47,201,70,90,5,465,30,29,164,183,339,29,770,3,0,4,12,22,3,45,7,0,16,29,206,0,261,3,0,11,22,76,29,149,158,108,703,781,2561,165,4482
107031137,15,44,27,60,5,154,6,4,67,88,167,17,359,0,0,4,5,5,0,15,0,0,5,6,83,8,106,0,0,6,7,44,16,73,33,25,216,277,1144,111,1806
107031138,32,153,47,39,4,347,63,30,153,88,82,17,425,4,0,8,9,12,0,40,6,4,11,9,64,3,95,0,0,23,9,33,4,68,214,105,659,430,852,71,2332
107031139,51,160,41,42,3,351,49,15,122,70,72,13,343,0,0,12,3,9,0,30,0,0,10,7,41,0,62,0,0,4,8,27,5,51,146,107,549,361,822,52,2033
107031140,69,203,54,41,10,431,54,32,163,74,89,16,429,4,3,16,12,17,0,45,4,3,15,11,44,0,77,5,0,23,9,40,13,80,217,139,786,448,923,104,2621
107031141,66,295,96,96,10,657,95,42,286,196,270,40,922,0,0,11,11,27,8,51,7,3,30,36,180,9,256,3,4,15,23,110,18,174,308,167,1225,1045,2516,223,5481
107031142,35,114,50,51,5,286,28,18,123,145,225,17,556,0,0,3,9,12,0,23,0,0,12,17,120,4,158,0,0,6,11,56,17,91,106,72,452,558,1551,128,2870
107031143,50,121,58,91,5,358,39,31,163,210,406,31,873,0,0,6,5,20,6,36,0,3,9,22,175,11,228,0,0,10,25,97,45,184,141,110,629,765,2534,272,4451
107041144,94,410,100,115,20,1013,135,55,389,212,247,41,1083,8,7,28,16,29,3,80,13,3,40,39,161,5,274,10,4,36,31,94,22,206,717,251,1846,1060,2288,238,6400
107041145,55,274,78,96,13,639,63,29,228,182,253,24,786,3,3,14,10,16,7,49,4,3,20,32,156,6,226,8,0,24,12,69,25,135,326,146,1083,806,1970,169,4506
