SA2_MAINCODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
101021007,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,4,8,3,0,3,0,3,0,0,29,22,0,0,0,0,0,0,3,0,0,26,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,26,3,3,0,0,0,0,3,0,0,40,66,3,0,0,3,0,0,0,0,3,72,6,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,68,3,7,0,3,0,0,0,0,3,84,77,4,0,0,0,0,0,0,0,3,90,11,0,0,0
101021008,28,5,5,3,4,3,0,0,99,0,0,0,0,0,0,0,0,0,0,0,45,21,37,10,8,3,4,6,0,3,150,40,12,4,0,0,3,0,0,0,4,62,37,16,25,5,7,10,4,0,0,0,100,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,34,21,28,10,7,10,4,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,74,32,29,10,7,9,4,3,0,3,174,86,8,0,0,3,0,0,0,0,3,109,65,13,14,3,0,0,0,3,0,3,101,9,3,9,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,77,14,17,3,0,0,0,3,0,3,123,0,0,0,0,0,0,0,0,0,0,0,168,21,21,4,3,0,3,3,0,12,225,122,3,0,0,0,3,0,0,0,0,137,105,6,3,0
101021009,229,34,34,51,57,52,25,9,557,0,0,0,0,0,0,0,0,0,0,0,69,32,257,40,39,53,66,57,34,14,675,50,17,23,3,5,3,0,3,0,0,107,38,46,120,17,19,15,16,24,10,7,311,3,0,4,0,0,4,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,41,47,129,17,24,20,20,23,6,7,336,0,0,0,0,0,0,0,0,0,0,0,95,67,150,24,31,23,19,28,11,9,444,114,14,10,0,3,0,3,0,0,3,139,57,18,29,3,3,3,3,0,0,0,121,12,3,7,0,0,0,3,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,72,22,33,3,3,3,3,3,0,4,154,0,0,0,0,0,0,0,0,0,0,0,184,29,41,3,6,3,10,3,0,6,289,130,10,0,0,0,0,0,0,0,3,140,95,9,8,0
101021010,109,17,12,24,41,34,10,3,279,0,0,0,0,0,0,0,0,0,0,0,30,21,126,15,14,24,42,35,15,3,329,27,7,5,0,4,0,0,3,0,0,42,21,15,57,3,5,0,7,5,0,0,126,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,15,61,3,5,0,7,5,0,0,125,0,0,0,0,0,0,0,0,0,0,0,44,25,64,7,10,0,7,10,0,0,171,64,5,13,0,3,0,0,0,0,3,91,26,18,11,4,0,5,0,3,0,0,64,5,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,31,17,9,4,0,7,0,3,3,0,81,0,0,0,0,0,0,0,0,0,0,0,94,23,30,4,0,7,0,4,4,7,167,72,0,3,0,3,0,0,0,0,3,83,31,3,0,0
101021011,25,10,9,9,3,3,5,0,74,0,0,0,0,0,0,0,0,0,0,0,56,9,37,14,12,13,7,3,3,4,153,130,27,20,0,3,4,3,3,0,3,200,26,24,29,8,7,8,6,0,0,0,103,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,24,33,8,7,8,6,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,162,53,50,11,7,8,9,4,3,3,310,314,25,18,3,9,0,0,3,0,16,397,65,13,19,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,64,13,23,0,0,0,0,0,4,0,107,3,0,0,0,0,0,0,0,0,0,3,383,44,39,4,14,0,3,3,3,13,507,328,14,4,0,0,0,0,0,0,14,362,85,3,0,0
101021012,35,6,0,8,4,3,0,0,102,0,0,0,0,0,0,0,0,0,0,0,67,18,52,18,7,14,11,9,4,0,197,114,37,25,0,4,3,10,6,3,8,210,55,45,40,4,4,0,4,5,0,3,162,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,58,45,38,4,4,0,4,5,0,3,167,0,0,0,0,0,0,0,0,0,0,0,165,78,61,10,13,8,17,11,3,7,376,244,26,18,8,3,4,5,5,0,0,316,115,18,17,3,0,0,0,0,0,3,154,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,5,116,18,16,3,0,0,0,0,0,5,165,0,0,0,0,0,0,0,0,0,0,0,367,46,29,9,3,4,6,5,0,8,482,188,11,6,0,0,0,0,0,0,8,208,124,0,3,0
101031013,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,9,4,0,0,0,0,0,0,0,3,21,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,3,5,0,0,0,3,0,0,5,27,19,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,3,0,0,32,36,0,0,0,0,0,0,0,0,0,32,4,3,0,0
101031014,6,0,4,0,8,3,0,3,31,0,0,0,0,0,0,0,0,0,23,23,15,6,13,0,3,0,8,3,3,22,75,28,5,0,0,0,0,0,0,0,3,47,6,6,10,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,25,25,36,9,17,0,0,0,0,0,0,26,98,78,6,7,0,0,0,0,0,0,3,94,28,9,3,0,0,0,0,0,0,0,44,0,3,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,28,7,3,0,0,0,0,4,0,3,53,0,0,0,0,0,0,0,0,0,11,11,109,18,8,0,3,0,0,4,0,17,159,100,3,3,0,0,0,0,0,0,3,109,31,3,5,0
101031015,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,3,20,17,3,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,3,0,0,0,0,0,0,0,25,40,5,3,0,0,0,0,0,0,4,52,3,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,46,4,3,0,0,0,0,0,0,4,61,72,0,0,0,0,0,0,0,0,8,80,13,0,0,0
101031016,3,3,5,4,21,15,4,17,79,0,0,0,0,0,0,0,0,0,0,3,25,4,21,8,8,15,25,22,13,26,152,41,23,6,0,4,0,0,0,0,3,83,10,4,8,0,0,0,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,7,8,0,0,0,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,50,32,15,4,3,3,3,0,0,3,118,102,5,4,0,0,0,0,0,0,8,126,27,3,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,135,9,4,3,0,0,0,0,0,8,161,95,0,0,0,0,0,0,0,0,5,106,14,0,0,0
