SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
101041020,2578,7,13,45,32,2677,595,0,6,15,3,624,82,0,0,3,4,88,3262,10,21,63,35,3395
101041021,843,139,30,27,3,1055,120,42,14,16,0,196,23,5,0,0,3,35,991,186,44,48,10,1285
101041022,10,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,15
101041023,743,60,54,22,15,901,237,30,41,21,3,333,36,4,6,5,3,49,1017,96,94,51,23,1283
101041024,967,3,4,18,15,1011,217,0,0,6,0,225,42,0,0,0,0,47,1230,5,3,31,15,1277
101041025,2574,628,197,60,31,3496,354,237,84,35,3,712,84,30,11,12,3,140,3007,897,291,109,40,4340
101041026,2350,73,86,22,18,2546,564,36,56,22,4,681,83,9,13,4,3,107,2997,116,159,42,21,3331
101041027,2488,197,101,66,26,2880,567,101,64,51,3,780,87,23,11,4,4,118,3138,320,173,121,28,3785
101051539,5505,497,192,36,19,6253,1527,310,148,41,8,2038,216,48,16,11,3,286,7248,852,353,87,37,8575
101051540,3327,22,3,37,28,3422,982,40,3,11,15,1046,111,8,3,3,5,132,4418,67,6,56,42,4602
101061541,1696,113,20,7,3,1836,364,85,3,4,0,454,50,12,0,0,0,62,2107,206,20,14,7,2359
101061542,3282,10,5,28,41,3362,418,6,0,11,13,441,61,0,0,3,4,64,3757,14,5,43,50,3872
101061543,2592,103,114,5,5,2818,780,85,124,4,0,992,99,12,18,0,0,135,3472,199,260,12,10,3944
101061544,1897,66,14,20,20,2019,687,41,34,14,11,785,98,9,0,0,8,120,2687,118,47,40,40,2925
102011028,1998,110,79,53,5,2242,118,7,9,34,3,167,32,3,3,6,0,46,2145,121,93,95,8,2457
102011029,3229,73,62,10,15,3396,449,17,25,0,0,488,69,6,4,0,0,81,3745,96,93,12,17,3965
102011030,1240,12,14,21,5,1299,223,0,3,16,4,255,44,0,0,4,7,54,1512,12,20,40,16,1607
102011031,3551,464,154,4,12,4184,580,231,47,0,0,862,107,31,7,0,5,144,4239,719,212,3,20,5190
102011032,2996,1034,2181,3,35,6252,386,264,607,4,19,1280,88,47,110,0,11,250,3467,1343,2899,4,56,7778
102011033,1652,120,5,0,3,1785,133,20,0,0,5,158,29,7,0,0,0,41,1819,144,5,0,11,1977
102011034,1653,584,38,0,4,2282,197,313,6,0,0,520,41,46,0,0,0,86,1895,946,45,0,3,2892
102011035,1805,190,8,0,11,2009,151,51,0,0,0,200,39,10,0,0,0,45,1999,247,8,0,8,2256
102011036,1973,261,75,66,11,2379,165,47,34,9,3,250,16,4,9,3,0,39,2161,310,113,72,15,2669
102011037,1811,104,81,7,3,2005,226,39,44,0,4,312,38,3,4,0,13,58,2072,143,134,9,16,2373
102011038,1926,110,104,9,3,2156,229,60,42,0,0,332,45,6,9,0,0,63,2200,180,148,7,3,2543
102011039,3264,299,710,0,17,4291,318,31,92,0,3,452,67,9,12,0,5,89,3649,339,811,0,27,4828
102011040,5384,1365,339,175,32,7298,1092,480,211,122,19,1915,172,73,39,8,6,296,6648,1919,590,301,54,9516
102011041,2496,236,132,8,4,2878,217,56,27,0,0,300,58,9,9,0,0,81,2768,301,171,10,8,3258
102011042,3015,947,200,60,14,4243,671,401,177,23,8,1283,105,57,38,3,11,207,3800,1400,412,94,27,5730
102011043,2735,523,55,20,0,3336,350,301,22,18,0,691,65,58,3,0,3,127,3145,880,78,37,4,4153
102021044,5615,524,162,9,13,6324,932,394,46,3,14,1389,170,67,10,3,3,246,6707,993,217,12,29,7964
102021045,2969,52,5,4,3,3028,544,14,5,4,0,568,93,4,0,0,0,104,3609,70,6,6,4,3694
102021046,2639,51,70,24,5,2795,705,18,55,26,0,805,116,0,7,3,3,134,3468,69,135,52,12,3739
102021047,4131,228,108,0,0,4473,500,91,105,0,0,703,91,7,11,0,3,117,4719,329,230,3,9,5298
102021048,5188,332,492,48,15,6070,1182,172,332,55,7,1748,188,28,68,18,49,342,6552,527,888,126,67,8170
102021049,862,5,3,6,7,880,89,0,0,0,0,89,14,0,0,0,3,18,961,5,3,3,7,986
102021050,3213,17,29,17,4,3279,833,7,14,11,0,868,139,3,0,0,0,137,4182,22,44,28,7,4282
102021051,1180,273,6,0,3,1468,113,56,0,0,0,168,19,3,0,0,0,18,1309,325,9,3,3,1649
102021052,1738,20,19,7,0,1786,310,3,5,0,0,321,48,0,0,0,0,53,2104,26,24,16,0,2167
102021053,2341,1288,930,54,23,4639,555,514,340,37,19,1468,120,82,52,3,4,263,3020,1890,1317,99,44,6371
102021054,2232,354,179,26,10,2796,518,262,126,21,5,939,87,45,12,8,0,146,2837,660,314,54,18,3881
102021055,1237,270,21,0,3,1527,132,38,4,0,6,187,32,12,0,0,4,45,1397,317,23,0,10,1757
102021056,3841,217,3,0,10,4066,452,55,0,0,0,503,93,4,0,0,0,102,4380,278,7,3,12,4674
102021057,2028,263,117,24,12,2441,465,115,86,21,3,684,64,16,7,6,3,102,2550,392,209,50,18,3224
103011058,5521,863,336,17,32,6769,1084,347,192,8,35,1663,150,45,21,0,42,249,6752,1248,550,20,112,8681
103011059,2854,101,6,14,14,2995,443,88,20,4,5,564,71,5,3,0,8,94,3368,201,37,21,26,3652
103011060,1780,0,4,4,13,1813,391,8,0,0,0,401,56,0,0,0,0,57,2233,6,8,9,18,2272
103011061,1112,3,17,7,45,1184,385,4,23,0,14,434,53,0,8,0,0,56,1548,8,41,9,60,1671
103021062,1422,4,34,7,43,1513,692,3,22,8,29,757,78,0,5,3,3,98,2196,13,68,20,71,2369
103021063,2302,51,99,12,9,2471,772,67,115,3,5,964,109,10,10,3,0,127,3173,128,229,22,15,3571
103021064,1422,36,8,15,21,1505,477,11,19,9,13,528,59,0,3,3,4,65,1953,48,32,24,37,2100
103021065,2424,61,62,38,11,2598,861,51,65,17,6,1004,113,5,16,6,0,138,3396,119,141,68,15,3737
103021066,977,21,4,7,3,1020,330,31,3,3,0,367,54,4,0,0,0,61,1360,53,7,9,11,1449
103021067,2613,80,132,14,19,2855,765,56,127,13,9,972,115,0,17,0,0,135,3491,138,273,26,30,3958
103021068,797,3,9,10,13,832,343,3,6,0,0,358,44,0,0,3,0,45,1182,5,15,17,13,1237
103021069,1451,4,20,10,25,1510,516,3,29,4,3,561,87,0,3,0,7,97,2056,9,56,13,36,2175
103031070,3144,258,66,21,10,3491,1025,217,55,13,6,1322,126,31,8,0,3,172,4300,507,126,35,12,4985
103031071,1860,15,6,239,37,2153,523,13,9,65,16,626,85,0,0,9,0,98,2463,27,12,312,54,2871
103031072,2940,153,96,24,12,3230,646,115,78,23,5,870,98,27,10,9,4,147,3683,290,187,62,21,4244
103031073,907,0,17,3,10,941,375,7,5,3,13,411,43,0,0,0,0,43,1326,11,24,10,23,1393
103031074,2593,13,8,31,26,2669,783,23,5,15,9,837,102,3,0,10,4,119,3474,44,21,61,38,3628
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,1936,18,26,22,4,2006,500,11,25,5,0,546,82,0,3,3,26,113,2517,34,58,27,29,2667
103041077,4451,611,177,12,34,5284,1309,333,136,5,20,1801,181,40,22,3,52,299,5937,988,336,20,107,7386
103041078,5181,279,123,3,15,5602,806,118,84,3,0,1020,152,15,3,3,6,178,6139,409,211,14,20,6792
103041079,3047,6,14,14,24,3112,654,7,27,13,3,701,87,3,3,0,0,99,3794,23,51,30,28,3916
104011080,4384,337,259,56,36,5072,1294,251,251,34,4,1829,167,26,37,3,6,237,5848,609,549,93,48,7143
104011081,4058,12,11,116,36,4230,1090,16,12,62,11,1184,145,3,0,5,5,161,5293,32,20,182,54,5577
104011082,4293,290,260,172,39,5049,1075,137,106,136,6,1462,156,21,19,19,0,218,5522,446,383,324,44,6727
104021083,1736,40,16,9,12,1807,271,15,3,4,0,292,55,4,0,0,4,59,2060,53,22,6,15,2154
104021084,3675,845,632,88,72,5314,556,280,257,67,17,1174,84,46,43,13,18,197,4314,1168,928,166,109,6681
104021085,1835,448,746,11,34,3068,294,127,264,3,8,692,49,26,42,0,11,129,2179,599,1051,11,51,3890
104021086,1045,4,7,3,11,1076,158,0,0,7,0,166,24,0,0,0,0,30,1230,4,8,10,9,1272
104021087,912,6,7,0,16,941,306,3,13,3,3,328,32,0,0,0,3,36,1247,5,13,6,18,1302
104021088,2331,263,79,42,15,2734,196,37,17,9,6,258,48,9,0,6,3,68,2578,307,99,52,21,3056
104021089,4905,574,359,88,28,5954,718,266,172,53,3,1213,111,41,31,13,9,205,5735,886,561,149,43,7369
104021090,1253,111,54,30,14,1458,255,53,45,35,3,390,32,7,3,9,0,52,1543,166,101,78,13,1899
104021091,3150,233,37,128,20,3572,555,99,32,90,8,791,125,16,14,20,9,178,3835,350,86,241,36,4543
105011092,700,8,30,18,13,771,382,5,32,7,0,432,65,0,5,3,4,80,1146,17,67,32,21,1280
105011093,1058,17,54,21,3,1149,361,5,42,10,0,419,60,0,8,0,0,73,1482,22,105,33,0,1646
105011094,835,5,24,10,4,881,440,9,26,3,3,477,64,0,8,3,7,73,1333,14,58,15,16,1428
105011095,1099,31,28,8,14,1179,515,8,30,6,3,571,66,0,3,3,0,74,1676,42,67,22,19,1828
105011096,1189,0,63,95,49,1388,707,0,50,75,32,873,103,0,5,23,7,140,1995,5,116,190,91,2399
105021097,4781,89,70,13,13,4969,1754,70,98,3,5,1931,255,6,18,0,8,286,6792,164,184,18,23,7184
105021098,462,13,3,3,12,489,252,3,4,10,0,271,35,3,4,11,0,48,740,19,16,20,17,806
105031099,1936,20,34,22,31,2037,807,23,31,12,12,881,90,3,3,4,6,105,2824,50,65,38,50,3031
105031100,2387,293,45,5,5,2740,475,161,46,7,0,690,76,14,11,0,0,101,2939,464,102,13,11,3527
105031101,4099,264,431,10,29,4830,835,134,303,4,5,1281,119,5,43,0,4,176,5048,405,774,19,34,6283
105031102,2091,57,184,40,4,2381,445,30,105,9,0,595,68,5,10,6,0,90,2608,92,301,51,6,3063
105031103,1467,0,0,3,11,1475,303,0,0,4,0,302,42,0,0,0,0,46,1802,0,0,8,9,1824
105031104,1044,0,17,3,10,1066,487,3,30,0,3,520,39,0,0,0,0,43,1566,4,43,9,16,1633
105031105,1547,14,38,0,9,1610,558,19,55,4,7,645,78,0,3,6,3,89,2185,30,90,10,22,2346
105031106,1739,24,15,174,17,1972,748,52,17,54,4,879,86,0,3,12,0,103,2573,81,39,239,20,2954
106011107,2753,76,20,5,22,2878,419,21,13,5,11,470,86,3,3,0,0,94,3255,105,36,12,26,3437
106011108,5017,506,57,8,15,5609,1456,308,78,8,7,1850,174,66,3,3,6,255,6643,887,135,22,29,7717
106011109,2053,0,3,12,31,2099,386,0,3,9,3,403,53,0,0,0,8,64,2498,3,6,20,40,2562
106011110,2445,8,18,32,18,2516,627,17,18,12,3,665,66,0,3,3,3,74,3133,23,39,43,22,3257
106011111,4335,293,60,12,19,4716,1192,171,53,4,4,1430,157,23,8,0,3,186,5685,489,116,14,20,6329
106011112,3931,394,145,29,15,4511,666,148,106,28,5,954,97,19,12,3,5,134,4691,558,262,57,32,5596
106011113,1224,0,4,9,16,1252,235,0,0,0,3,242,32,0,0,0,0,32,1492,0,4,8,17,1527
106021114,1579,117,45,38,72,1853,254,50,23,17,64,400,50,0,3,0,16,66,1884,171,70,57,147,2329
106021115,7030,918,225,20,57,8247,1102,340,152,9,57,1657,157,43,14,3,8,222,8289,1292,395,27,116,10125
106021116,2134,77,8,3,3,2232,241,38,0,4,5,291,31,5,0,5,0,41,2414,122,3,17,8,2560
106021117,5810,457,68,4,10,6354,1018,227,48,0,0,1291,170,25,3,0,85,286,6997,713,120,7,91,7926
106021118,2847,78,4,0,15,2937,303,25,6,0,0,334,41,0,3,0,0,44,3189,104,15,0,15,3321
106031119,1373,182,3,85,13,1652,233,30,0,38,9,311,48,4,0,9,3,63,1652,209,4,131,26,2020
106031120,1924,96,32,14,5,2071,386,58,8,4,0,452,72,0,0,0,0,77,2377,155,43,17,5,2596
106031121,4287,1717,520,41,37,6602,674,491,208,22,14,1409,109,83,29,4,9,232,5068,2292,757,65,58,8241
106031122,3171,474,19,66,15,3741,744,248,13,49,3,1059,96,23,26,110,6,267,4013,745,54,232,23,5063
106031123,1510,0,6,4,3,1524,159,0,0,0,0,155,26,0,0,0,0,27,1699,0,5,4,3,1711
106031124,1539,108,72,19,3,1741,307,32,25,5,0,369,60,3,4,0,3,77,1907,144,101,23,11,2192
106031125,3621,41,27,76,7,3765,499,15,7,66,0,581,104,0,0,6,3,112,4222,53,36,148,12,4468
106041126,3011,333,20,12,11,3382,702,164,10,3,3,883,101,25,0,0,5,130,3811,517,28,14,21,4395
106041127,971,14,5,6,22,1021,233,40,5,0,0,282,38,3,16,0,5,62,1244,55,26,9,28,1368
106041128,1476,47,80,9,14,1623,393,20,69,5,0,491,53,3,9,0,0,73,1925,74,157,16,15,2189
106041129,2062,16,41,33,28,2185,633,0,48,23,4,711,75,0,3,3,0,82,2774,16,88,61,38,2977
107011131,6127,555,131,19,19,6845,1071,258,116,0,8,1450,182,45,26,3,4,259,7375,854,274,20,26,8554
107011132,2387,72,0,3,4,2463,171,16,0,0,0,183,36,3,0,0,0,38,2592,90,5,3,4,2685
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011134,3947,233,81,21,9,4294,572,121,70,3,3,769,98,11,16,0,3,126,4616,369,166,28,11,5181
107011545,3095,115,191,9,13,3431,1047,41,171,3,3,1259,156,12,21,0,0,197,4298,166,388,6,21,4884
107011546,1731,213,329,11,6,2290,777,129,317,0,4,1224,71,15,50,0,0,145,2577,362,695,17,5,3660
107011547,961,186,50,10,7,1215,358,122,35,11,0,532,38,16,3,17,0,72,1360,325,87,44,15,1820
107021135,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
107031136,3510,400,13,3,9,3928,424,121,3,3,0,548,63,17,0,0,3,82,4000,528,14,3,14,4562
107031137,1599,312,13,3,33,1958,260,103,4,0,24,391,51,17,0,0,3,74,1911,429,17,3,57,2424
107031138,1655,569,291,26,18,2550,166,86,148,5,0,412,32,12,19,3,4,63,1855,663,457,32,15,3027
107031139,1694,115,31,0,0,1838,119,16,10,0,0,147,33,3,0,0,0,35,1843,128,41,0,0,2018
107031140,2054,82,81,14,38,2271,234,8,59,6,0,312,42,3,3,0,5,60,2333,98,152,19,44,2639
107031141,3861,721,116,37,17,4757,343,185,26,30,4,595,63,30,5,3,0,100,4260,943,155,75,15,5450
107031142,2353,441,39,5,8,2852,403,190,23,7,0,617,65,24,3,0,0,90,2817,658,64,9,8,3563
107031143,4616,453,397,115,15,5597,1168,244,254,123,0,1784,172,41,29,19,3,261,5955,737,680,258,17,7649
107041144,4361,1106,619,45,15,6138,869,458,125,15,0,1478,128,54,17,0,0,208,5359,1621,765,57,18,7822
107041145,2837,1287,541,29,5,4705,579,476,182,18,3,1263,71,51,24,0,0,145,3492,1814,754,45,13,6117
107041146,4894,561,497,98,21,6073,673,110,148,73,0,1004,105,27,25,13,10,177,5668,697,673,184,30,7255
107041147,2163,82,236,12,6,2505,155,17,27,3,0,203,42,0,3,0,5,51,2364,97,271,19,11,2756
107041148,2832,306,261,19,12,3441,258,69,49,0,4,379,46,9,13,0,4,67,3140,386,316,20,22,3889
107041150,4264,807,754,24,32,5884,518,203,280,6,3,1010,88,32,28,0,4,156,4864,1043,1065,30,38,7042
107041548,539,262,3896,19,91,4799,113,53,778,4,38,989,26,4,158,0,91,285,678,315,4837,25,220,6073
107041549,2485,867,1659,15,15,5041,437,118,437,6,6,999,71,25,79,0,4,178,2990,1012,2175,17,23,6219
108011151,1246,6,13,19,10,1294,400,3,3,14,4,427,57,0,0,3,0,62,1706,15,18,35,14,1787
108011152,3233,627,476,56,38,4431,737,337,249,45,9,1376,115,36,42,8,3,207,4087,1007,769,104,48,6014
108011153,1729,32,20,82,3,1870,332,3,3,50,3,397,68,0,0,10,0,79,2127,38,25,147,9,2338
108011154,1071,375,321,32,13,1811,348,290,189,10,11,854,50,33,32,8,0,115,1462,703,539,50,25,2784
108021155,3158,72,85,26,26,3366,1207,99,110,23,5,1443,160,11,14,10,14,204,4520,185,205,52,44,5015
