SA2_MAINCODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
101021007,3,0,3,6,0,11,0,0,0,0,0,0,0,0,0,521,409,932,31,42,70,44,0,45,5,0,5,5,0,5,15,6,16,57,58,114,681,522,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,6,3,10,7,10,8,9,20,3,0,4,0,0,0,0,0,0,3,0,4,104,120,223,61,105,161,22,14,37,888,765,1646
101021008,0,0,0,16,17,37,4,0,4,0,0,3,3,4,7,1659,1469,3126,121,163,290,38,0,38,33,5,45,14,3,19,8,6,16,28,34,62,1929,1705,3637,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,8,9,0,0,0,0,0,0,6,11,14,5,5,8,0,0,0,11,16,24,17,17,34,35,34,65,0,0,0,0,0,0,0,0,3,0,0,3,25,52,75,146,216,355,27,20,51,2154,2029,4184
101021009,3,0,3,49,64,112,0,0,3,0,0,0,9,9,20,2217,1794,4007,141,217,360,41,0,41,64,0,67,40,13,54,12,6,18,96,142,239,2673,2249,4918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,11,9,3,4,7,0,6,3,7,19,24,26,19,43,29,37,68,0,0,0,0,0,0,0,0,0,0,0,0,36,60,101,177,285,466,27,27,60,2947,2659,5612
101021010,0,3,0,15,21,41,0,0,0,0,0,0,3,4,8,1045,829,1878,62,99,160,22,0,26,20,7,22,23,3,20,13,12,26,59,44,101,1256,1029,2281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,0,3,5,0,0,0,3,4,10,20,12,30,21,20,40,0,0,0,0,0,0,0,0,0,0,0,0,24,39,68,91,144,232,9,7,19,1407,1240,2647
101021011,0,3,4,25,19,37,0,0,0,0,0,0,5,0,4,3388,2912,6293,145,304,448,141,7,140,49,8,56,16,7,24,34,16,50,81,72,153,3875,3346,7222,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,13,8,18,3,5,7,0,0,0,13,19,33,43,33,71,58,49,105,0,0,0,3,0,3,3,0,3,6,0,8,205,298,508,354,536,889,44,48,89,4541,4269,8814
101021012,3,0,3,14,23,40,0,0,3,0,0,0,6,7,10,2851,2621,5469,169,236,407,37,3,44,65,13,77,34,3,42,23,9,32,36,28,69,3249,2943,6195,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,8,12,0,0,6,0,0,3,10,12,17,34,20,49,41,30,70,0,0,0,0,0,3,5,0,5,7,0,6,61,112,172,261,381,641,22,18,39,3641,3487,7125
101031013,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,385,289,674,17,23,46,26,0,29,4,0,4,0,0,0,14,5,16,31,31,61,478,357,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,53,42,96,41,64,107,12,10,19,591,470,1067
101031014,0,3,3,3,3,8,0,0,0,0,0,0,3,8,9,988,912,1899,86,104,193,32,0,34,10,0,13,19,3,22,9,12,27,103,105,203,1262,1151,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,11,3,21,15,3,24,0,0,0,0,0,0,0,0,0,3,0,3,45,67,115,127,180,304,26,17,41,1476,1424,2901
101031015,0,0,0,0,11,7,0,0,3,0,0,0,0,0,0,512,421,938,29,44,79,28,0,28,6,0,6,0,0,0,14,4,14,39,36,77,632,513,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,7,4,11,0,0,0,0,0,0,0,3,0,3,3,3,132,108,243,41,91,138,14,13,25,831,736,1570
101031016,10,11,21,15,9,30,0,0,0,0,0,0,0,0,3,1151,1001,2155,128,102,226,29,0,29,3,0,5,17,8,29,51,20,68,224,171,399,1631,1332,2966,3,0,3,0,0,0,0,0,0,26,14,40,5,10,18,0,0,0,31,23,56,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,17,12,28,53,37,91,14,8,24,0,0,0,0,0,0,15,8,23,157,165,328,209,240,446,20,25,47,2093,1806,3899
