SUA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
1000,410062,411518,821578,158621,84991,243615,46936,96693,143626,13149,13572,26717,14411,11661,26075,233115,206913,440031,138788,168346,307139,6.2,5.6,5.9,56.8,50.3,53.6,53.3,47.4,50.4,7652,8951,16599,3755,7897,11654,28497,47576,76076,23950,40540,64487,111320,49369,160690,3897,8060,11962,7101,12970,20070,122319,70400,192717,385202,383634,768834,60622,63776,124395,274206,268547,542750,150901,159158,310061
1001,34428,37215,71651,15898,8477,24370,3971,9809,13781,960,1234,2191,1456,1366,2826,22288,20885,43168,9683,13809,23499,6.5,6.5,6.5,64.7,56.1,60.2,60.5,52.5,56.3,725,893,1623,498,931,1437,2774,4655,7428,2597,3850,6444,9584,5289,14872,375,749,1122,534,968,1497,10488,7006,17495,31714,33620,65335,7120,7581,14698,20238,21377,41614,16769,18145,34913
1002,9078,10141,19225,3256,2225,5483,1293,2273,3564,249,344,597,470,406,876,5275,5243,10515,3097,4105,7205,8.9,7.7,8.3,58.1,51.7,54.7,52.9,47.7,50.2,853,751,1607,180,331,517,1095,1731,2830,510,881,1391,1729,936,2660,110,159,264,128,258,382,1963,1349,3314,7875,8468,16345,2061,2467,4535,4882,5310,10189,4729,5290,10016
1003,9878,11165,21046,3292,2068,5357,1483,2747,4228,262,289,549,391,257,650,5427,5354,10785,3650,4868,8520,7.2,4.8,6,54.9,48,51.2,51,45.7,48.2,304,327,629,170,257,426,1131,1676,2801,719,1221,1942,2546,1188,3729,87,187,277,210,350,558,2836,1723,4561,8879,9655,18530,1824,2114,3939,5681,6243,11923,4665,5195,9863
1004,6555,7065,13615,1674,1046,2723,863,1463,2330,154,192,346,287,211,495,2982,2912,5897,2961,3529,6491,9.6,7.2,8.4,45.5,41.2,43.3,41.1,38.2,39.7,148,124,267,92,145,240,439,677,1113,407,659,1063,1839,829,2666,83,112,187,148,259,400,2067,1191,3261,5777,6272,12048,1139,1179,2316,3810,4099,7913,2938,3119,6062
1005,13713,14279,27995,5907,3550,9455,1495,3505,4999,384,508,895,574,454,1033,8357,8023,16382,4437,5242,9671,6.9,5.7,6.3,60.9,56.2,58.5,56.8,53,54.8,390,424,812,178,344,519,1199,2048,3243,847,1370,2221,3658,1762,5420,145,305,447,212,460,676,4018,2530,6544,12374,12927,25300,2758,2939,5700,7743,7980,15721,6671,7225,13894
1006,14557,16515,31077,6097,3335,9437,1871,4032,5906,370,402,768,316,333,651,8660,8104,16761,4932,7349,12282,3.6,4.1,3.9,59.5,49.1,53.9,57.3,47,51.8,692,647,1340,239,415,661,1752,2314,4064,1159,1983,3145,3805,1732,5540,94,274,372,296,642,936,4200,2649,6842,13662,15161,28824,2565,2824,5385,8790,9665,18452,6924,7832,14751
1007,7134,7629,14767,2553,1680,4229,707,1471,2178,249,247,496,405,269,668,3908,3661,7572,2674,3406,6078,10.4,7.3,8.8,54.8,48,51.3,49.2,44.5,46.7,66,124,192,63,112,178,300,595,893,299,506,804,1976,907,2881,70,159,224,81,208,292,2123,1277,3399,6781,7126,13905,915,1024,1938,5223,5447,10669,2117,2414,4535
1008,6952,7412,14367,1845,1052,2899,755,1489,2249,159,183,345,247,205,453,3006,2937,5945,3473,3984,7457,8.2,7,7.6,43.2,39.6,41.4,39.7,36.8,38.2,110,124,234,55,133,187,480,708,1186,461,761,1220,2277,892,3170,63,152,219,132,299,434,2479,1343,3819,6359,6690,13052,1046,1147,2193,4351,4584,8933,2871,3087,5963
1009,124152,136480,260630,51899,28498,80401,14758,33189,47941,3334,4024,7356,5180,4783,9956,75167,70495,145662,41682,57694,99381,6.9,6.8,6.8,60.5,51.7,55.9,56.4,48.1,52.1,3060,3140,6198,1221,2285,3504,10741,15894,26634,9336,14667,23998,35327,17960,53288,1175,2430,3603,2367,4313,6681,38869,24699,63568,120399,128186,248591,20410,22331,42742,79713,84582,164295,55573,60817,116390
