SUA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1024,25,59,130,119,108,79,25,7,0,548,39,44,95,94,95,73,27,4,0,472,942,1406,2906,2670,2872,2260,483,57,9,13603
1025,52,78,194,135,136,76,26,3,0,696,40,45,87,112,117,78,33,13,0,520,1025,1511,3885,3714,3503,2573,652,78,9,16944
1026,11,40,41,34,32,28,3,0,0,198,14,24,35,27,32,28,9,3,0,165,316,412,891,866,965,731,162,25,3,4376
1027,31,65,148,152,146,99,33,3,0,684,33,39,80,110,116,84,31,16,3,502,1155,1258,3157,3749,4267,3204,746,83,7,17633
1028,20,44,77,77,81,30,3,0,0,337,15,31,47,47,58,26,6,0,0,241,602,834,1649,1626,1683,972,171,20,0,7570
1029,12,26,50,41,42,31,8,0,0,220,18,18,36,43,59,60,15,7,4,256,371,493,1026,1304,1471,1223,241,24,11,6170
1030,2966,7548,18257,16621,15307,10184,2779,316,34,74011,4029,11102,28525,24317,22371,13911,4075,839,218,109393,85823,199955,540644,492722,428851,280863,71557,7959,1057,2109429
1031,29,93,174,148,158,120,36,5,0,760,58,66,163,124,134,104,34,14,6,707,1139,1681,4045,3462,3686,2891,684,97,11,17701
1032,14,46,69,78,97,62,19,3,0,392,23,35,52,52,83,68,25,5,3,345,561,766,1481,1551,2006,1708,364,50,7,8499
1033,4,9,38,49,49,39,5,4,0,205,13,23,32,29,38,44,13,7,5,206,350,331,832,1087,1272,1162,264,38,8,5336
1034,44,127,225,202,191,149,41,0,0,998,57,103,199,156,160,123,42,6,3,846,1821,3010,5766,5127,5045,3925,885,106,7,25687
1035,294,636,1186,1089,1032,652,141,15,0,5035,267,551,934,937,1045,658,167,65,20,4638,7336,13266,25791,27514,27804,18533,3214,344,51,123844
