SUA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
1000,7464,16584,13278,17069,36267,42591,23365,56392,5685,218699,582,2249,1756,2014,1154,2211,792,3952,331,15057,77,52,64,113,109,134,175,355,9,1090,260,939,846,1020,1390,1105,513,524,87,6679,40,51,72,116,233,155,48,69,3,784,186,870,629,632,564,662,231,367,45,4188,90,307,363,424,513,428,233,249,22,2627,985,5587,4036,4283,3489,1742,1133,1436,291,22973,718,6043,3032,2899,1641,1142,709,1750,300,18240,173,685,691,616,599,500,222,390,50,3938,74,241,184,207,340,163,107,128,15,1457,244,311,541,680,979,603,217,247,32,3865,102,338,340,386,677,486,223,303,24,2880,374,1460,1422,1648,1840,1298,565,862,84,9543,294,1957,1263,1163,1043,795,264,469,121,7365,819,670,1208,1471,4116,1747,894,827,110,11861,1194,3662,3843,4765,4095,3352,1947,3354,253,26465,2368,4211,7694,9456,7101,5402,1693,2324,471,40717,118,583,334,388,333,245,126,251,41,2418,246,1317,1030,1027,1096,729,376,440,102,6356
1001,574,1452,1006,1513,4142,4695,2970,4091,382,20830,6,32,16,25,16,20,4,18,3,133,3,0,3,3,0,0,0,3,0,10,40,124,88,89,174,174,70,68,5,823,0,5,10,10,15,9,3,0,0,45,15,84,52,71,87,69,23,34,3,444,14,21,22,46,49,40,20,16,0,228,127,716,467,527,432,188,111,114,21,2700,70,651,325,293,166,134,80,129,32,1873,17,44,40,59,99,41,34,30,6,367,3,26,22,23,43,35,14,5,3,173,23,34,57,82,127,68,48,26,0,463,4,24,28,39,84,46,25,22,5,277,25,106,97,146,179,106,62,45,0,772,21,160,123,102,119,64,25,34,9,660,97,92,166,259,469,268,187,113,20,1668,115,332,363,425,475,296,224,294,20,2555,295,494,870,1211,917,605,234,247,40,4917,8,66,24,28,28,15,6,15,0,190,16,134,117,127,123,88,41,39,12,713
1002,151,567,333,392,1045,805,506,897,97,4801,0,20,24,12,35,18,6,11,3,126,0,0,0,0,0,0,3,0,0,7,0,12,3,4,4,3,3,4,0,41,0,0,0,0,3,3,0,0,0,6,3,4,11,9,9,14,0,3,0,56,0,4,3,3,5,6,6,6,0,37,36,181,95,103,95,32,22,25,5,606,28,172,62,72,31,23,9,38,16,449,0,9,3,8,4,4,3,4,0,33,3,6,11,6,15,3,0,3,0,44,6,9,14,23,41,20,9,3,0,115,3,6,3,7,20,4,4,6,0,49,15,32,29,39,73,29,18,17,3,263,6,42,24,20,28,19,6,11,0,163,12,13,18,20,69,13,11,9,0,173,61,162,132,149,360,182,96,178,7,1326,62,123,170,250,204,148,44,57,9,1067,0,14,0,4,3,0,0,3,0,28,9,28,24,19,33,11,11,7,3,145
1003,147,490,419,566,983,941,452,915,120,5041,3,4,4,14,11,3,0,3,0,41,0,0,0,0,0,0,0,4,0,4,4,34,28,19,31,19,9,13,0,150,0,3,0,0,3,0,0,0,0,11,3,16,8,8,17,13,0,12,0,81,0,7,3,5,8,12,7,0,0,40,30,190,123,129,98,51,25,40,6,694,19,183,90,113,60,28,22,47,0,572,3,8,11,10,9,11,0,10,0,65,0,6,3,6,10,8,3,8,0,49,3,16,12,13,33,14,11,7,0,106,3,15,14,19,31,12,8,9,0,114,9,39,40,44,47,31,16,37,4,265,4,60,24,30,22,15,6,9,4,179,14,5,33,32,89,28,14,14,0,236,28,98,102,155,140,106,67,95,8,798,55,120,262,352,252,146,45,54,20,1305,5,23,11,12,4,0,5,4,0,66,3,32,26,26,30,22,3,9,4,161
1004,92,317,238,309,516,483,249,424,59,2694,0,4,7,0,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,16,6,10,5,3,4,0,0,59,0,0,0,0,0,0,0,0,0,0,3,10,7,8,7,5,3,6,0,53,3,7,5,7,0,0,0,0,0,24,25,136,71,82,83,26,17,25,8,486,24,116,60,62,37,24,4,24,3,362,0,4,0,5,9,3,3,7,0,26,4,3,0,3,4,5,0,0,0,25,3,0,6,3,7,7,0,3,0,36,3,7,6,5,25,12,5,9,0,66,3,8,14,14,26,16,4,12,0,100,6,31,19,24,20,8,0,8,0,122,16,7,17,32,57,25,17,13,0,195,11,50,43,46,38,34,19,42,4,282,38,68,129,145,109,71,23,34,6,616,0,12,4,3,3,0,0,3,0,33,6,31,21,20,11,10,5,10,3,114
1005,233,649,376,468,1734,1586,898,1685,155,7787,3,21,11,13,14,12,0,9,0,81,0,5,0,0,0,0,0,3,0,15,13,54,42,50,62,77,32,25,3,351,0,3,7,9,13,19,3,0,0,53,7,29,23,25,25,19,18,13,0,164,0,5,5,16,19,8,3,3,0,56,55,276,170,172,179,60,42,56,16,1016,26,253,94,92,95,44,24,51,20,699,3,15,9,12,27,14,11,10,3,101,9,15,16,6,30,11,11,13,3,114,4,11,22,25,41,19,11,12,0,137,4,9,10,13,22,19,10,13,0,95,16,43,36,55,67,36,26,25,0,309,14,67,38,34,56,36,9,11,0,258,44,18,56,74,209,93,40,37,8,580,61,160,168,173,272,195,118,163,22,1337,89,158,292,361,327,260,70,99,16,1674,4,44,16,12,12,6,0,7,0,102,0,48,37,41,47,30,14,13,0,242
1006,223,729,504,640,1385,1734,1001,1984,149,8345,0,25,8,13,13,8,11,12,0,91,0,0,0,3,3,3,3,7,0,21,9,46,35,42,36,68,29,30,6,298,0,0,3,4,8,0,0,3,0,23,3,55,28,26,26,42,11,13,0,205,4,24,13,26,32,40,10,8,0,165,25,224,173,173,152,93,44,80,17,979,32,281,141,146,80,82,41,47,15,865,8,20,17,30,26,26,10,17,0,149,3,12,8,12,15,10,3,7,0,70,10,24,23,30,41,38,8,14,0,176,6,11,29,20,44,32,17,25,0,184,10,103,64,108,78,83,20,35,4,507,6,93,63,40,45,35,14,21,3,332,20,21,29,35,82,46,23,17,0,272,32,159,168,145,174,126,92,166,11,1076,76,213,332,346,298,200,75,85,14,1642,4,33,19,12,11,13,12,14,0,107,11,68,53,72,63,42,16,22,3,343
1007,151,276,183,249,696,585,393,881,99,3507,0,3,6,3,4,6,0,5,0,28,3,6,3,3,9,6,12,21,0,59,0,7,7,6,4,0,0,3,0,32,0,0,0,0,18,4,0,3,0,27,0,6,0,8,8,4,3,5,0,36,0,3,3,4,7,6,3,0,0,27,21,124,85,84,98,37,15,19,8,491,18,125,77,73,53,17,13,34,4,415,0,6,3,5,8,3,0,7,0,35,0,0,3,0,12,0,4,4,0,27,8,4,9,11,19,8,3,5,0,63,0,8,8,0,16,3,4,0,0,33,0,15,6,9,27,14,4,4,0,76,5,20,23,30,32,13,0,6,3,139,10,17,19,28,103,25,15,10,0,228,20,36,36,89,92,49,42,58,3,420,70,72,93,174,197,274,42,71,11,1001,0,13,0,8,6,5,3,0,0,33,8,22,23,24,28,16,15,6,0,136
1008,102,265,227,268,511,550,267,515,58,2762,0,5,3,5,4,0,3,8,0,28,0,0,0,0,0,0,0,0,0,0,0,12,6,11,8,8,0,6,0,49,0,0,6,3,13,6,3,4,0,36,3,10,12,20,10,4,4,0,0,71,0,4,0,6,0,0,4,0,0,21,22,95,68,81,51,29,11,26,4,389,8,109,40,51,28,15,14,26,7,299,0,4,9,7,4,3,0,0,0,30,0,3,4,0,5,4,0,0,0,13,0,5,7,13,10,7,4,8,0,45,3,7,16,7,17,8,0,4,0,65,3,19,19,25,20,15,8,4,0,116,6,38,25,13,6,13,3,5,0,109,4,3,8,17,38,15,8,9,0,112,20,47,53,76,79,62,34,42,9,412,38,69,159,182,100,95,29,38,6,712,3,11,0,3,0,3,0,3,0,23,3,27,22,37,7,9,0,9,3,120
1009,1956,5271,4242,5243,13832,16798,7967,13300,1372,69988,15,37,60,48,45,18,6,16,10,253,3,7,7,7,13,19,6,14,0,68,65,284,262,341,605,385,188,155,15,2298,6,13,35,13,70,50,12,6,0,207,45,347,255,246,215,317,81,96,25,1627,48,109,140,143,301,219,93,94,6,1161,391,2329,1682,1575,1403,735,390,342,102,8946,183,2161,1105,1050,603,378,210,280,75,6052,47,152,139,180,192,182,73,66,9,1040,41,115,103,90,237,152,59,75,0,876,157,120,322,332,678,488,159,145,20,2418,50,147,159,153,310,288,97,100,8,1313,129,541,528,491,646,547,224,270,22,3401,100,666,397,360,396,341,99,113,29,2514,255,241,443,490,1235,536,254,212,28,3701,348,1075,1108,1185,1195,1075,515,928,54,7482,853,1597,3263,3658,3132,2395,695,872,172,16636,41,301,154,145,110,104,32,45,0,938,94,579,432,461,558,320,142,120,35,2735
