SUA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1010,7488,868,481,382,62,9276,6371,449,263,21,40,7153,2344,1061,1241,14,51,4715,511,310,267,0,3,1097,1053,262,222,29,33,1594,74,83,37,3,3,202,120,37,30,111,15,320,78,16,15,9,7,126,4188,1768,1819,163,115,8049,167,80,33,8,5,296,424,141,122,50,44,775,18638,3310,2714,621,266,25549
1011,3261,142,166,21,8,3600,4148,92,51,20,4,4323,1697,487,522,18,12,2739,399,93,185,3,3,676,653,69,50,6,8,787,32,26,20,0,0,79,56,10,5,14,6,86,33,5,9,0,3,52,2878,688,789,36,28,4421,43,20,109,0,5,182,268,24,62,4,7,363,10597,964,1172,88,52,12879
1012,2898,882,291,86,24,4186,1428,149,104,3,13,1689,629,280,609,26,16,1551,33,123,89,3,0,244,249,104,96,4,3,455,44,47,31,0,0,125,21,14,13,17,7,69,27,5,3,4,0,47,1001,567,834,54,28,2480,44,45,6,0,7,103,175,72,64,17,5,336,5549,1710,1304,153,73,8794
1013,2601,186,19,23,5,2838,2497,92,19,6,0,2610,1022,326,213,15,7,1579,407,54,50,0,0,513,378,64,31,5,3,475,41,48,10,0,0,92,47,6,5,28,9,87,24,9,3,0,0,40,1916,504,309,49,18,2790,34,33,3,0,3,80,194,40,14,12,3,260,7248,852,353,87,37,8575
1014,2304,165,92,38,16,2623,1821,39,20,3,9,1897,778,160,243,6,3,1195,199,61,61,0,3,318,428,74,86,3,10,599,34,53,6,0,0,95,36,17,12,30,0,90,34,16,4,3,0,55,1504,377,402,41,20,2346,39,6,3,0,0,46,176,16,26,3,7,231,5848,609,549,93,48,7143
1015,1918,95,62,26,7,2111,1661,39,43,0,7,1746,744,151,472,13,11,1390,228,22,46,0,0,298,287,25,56,3,3,371,21,3,16,0,3,44,56,14,31,21,3,130,23,6,8,0,0,37,1358,222,632,35,18,2270,27,16,0,0,0,46,165,19,64,8,0,253,5129,397,805,76,36,6436
1016,1754,27,17,12,12,1827,1407,11,4,0,10,1429,522,72,95,15,0,711,226,22,50,0,0,303,307,16,9,3,6,349,52,12,17,0,0,87,29,9,3,16,0,63,33,3,0,0,0,38,1176,137,176,31,14,1541,17,0,0,0,0,17,161,10,7,6,15,201,4520,185,205,52,44,5015
1017,3075,285,60,86,13,3519,2976,161,49,4,3,3201,1092,562,366,4,11,2032,230,155,67,0,0,455,630,144,84,7,10,871,49,100,29,0,3,173,52,18,9,59,3,142,24,17,4,0,0,52,2074,987,563,74,29,3726,34,29,5,3,0,70,226,61,44,13,6,352,8390,1525,726,175,53,10869
1018,1844,104,3,12,7,1970,1250,27,3,0,4,1285,523,209,56,3,4,789,231,88,27,0,0,349,242,15,15,3,0,279,6,8,3,0,0,23,13,0,4,11,0,33,22,3,3,0,0,29,1038,324,113,19,7,1504,38,19,0,0,0,52,124,33,6,0,3,167,4300,507,126,35,12,4985
1019,3056,284,18,90,5,3453,2725,24,7,3,3,2760,967,94,61,3,3,1133,28,20,0,0,0,47,436,21,18,7,3,492,40,45,15,0,0,100,59,23,0,24,4,117,33,4,0,0,0,37,1566,202,101,36,15,1922,66,159,0,3,0,231,198,40,3,16,9,268,7614,714,124,152,36,8632
1020,1130,43,45,23,6,1255,1304,24,13,3,7,1353,720,133,70,5,0,924,147,28,28,0,0,202,220,19,13,0,0,263,9,6,10,0,0,26,23,3,0,8,0,34,20,3,0,3,3,29,1142,194,117,17,4,1479,14,3,0,0,0,20,94,22,11,9,4,146,3683,290,187,62,21,4244
1021,982,29,7,11,3,1033,1324,27,6,0,0,1358,966,309,10,0,6,1297,184,87,3,0,0,268,191,20,3,0,0,212,20,16,0,0,0,37,27,3,0,0,0,33,24,6,0,0,0,35,1409,442,15,0,5,1879,7,3,0,0,0,9,87,16,0,0,5,113,3811,517,28,14,21,4395
1022,3182,946,224,141,30,4525,2103,377,61,15,12,2572,810,669,294,4,8,1789,17,60,62,0,0,139,295,145,62,3,11,513,6,58,4,0,0,79,106,60,9,10,8,196,24,6,6,6,0,46,1265,1003,436,23,27,2754,18,93,15,0,3,133,145,85,23,14,7,274,6715,2503,764,192,78,10257
1023,49597,4988,1450,366,210,56604,54942,2776,1115,80,90,59002,18364,6509,4453,188,160,29669,4157,2760,2193,19,23,9147,6620,1378,965,62,57,9086,260,393,235,5,20,900,860,189,105,170,26,1354,446,104,70,9,4,636,30706,11324,8019,445,294,50787,672,470,181,9,67,1392,2945,682,467,162,186,4444,138858,20232,11230,1059,857,172235
1024,3846,223,28,100,47,4232,3719,88,34,6,10,3855,1389,494,158,3,7,2055,675,263,54,0,3,997,541,64,29,3,15,656,93,63,13,0,8,174,242,9,3,36,10,299,44,13,3,0,0,61,2982,899,269,48,43,4239,58,26,5,0,14,100,282,52,15,15,11,376,10881,1292,350,170,126,12808
1025,3974,226,60,13,8,4276,4413,97,31,3,13,4554,2162,651,266,4,13,3096,489,212,104,0,0,804,548,82,28,0,3,669,27,37,13,0,11,96,55,3,6,3,5,75,32,15,3,0,3,54,3323,1004,415,7,40,4787,39,19,7,3,7,78,336,59,28,9,56,482,12074,1401,545,33,126,14179
1026,1251,27,24,8,6,1322,1203,7,5,0,3,1224,398,58,133,6,3,595,138,14,45,0,0,197,309,11,27,0,4,353,9,5,16,0,3,34,26,3,7,7,3,50,24,0,0,0,0,30,906,101,223,12,11,1250,19,0,9,0,3,32,116,4,14,0,4,134,3491,138,273,26,30,3958
1027,5218,1019,679,184,26,7120,3864,446,259,11,18,4599,1648,814,1039,9,12,3520,218,267,267,0,3,754,478,192,220,10,14,908,41,64,32,0,0,136,59,33,39,35,3,165,36,12,36,0,3,88,2478,1382,1628,54,29,5573,97,142,166,5,0,412,240,139,148,16,14,555,11906,3125,2881,269,79,18260
1028,1424,74,31,25,6,1557,1929,82,23,0,5,2046,721,301,143,0,8,1167,239,39,38,0,0,312,148,24,8,0,4,191,3,4,0,0,0,10,90,7,3,22,3,126,19,5,3,0,0,25,1219,380,196,24,16,1838,26,5,3,0,0,37,94,15,8,3,5,126,4691,558,262,57,32,5596
1029,3025,108,41,31,3,3207,1865,31,13,0,3,1910,948,97,75,3,0,1128,19,17,11,0,0,50,311,22,22,4,0,362,17,4,0,0,0,21,85,0,0,22,0,104,30,3,0,0,0,36,1409,152,113,28,6,1705,75,65,3,0,0,141,214,13,40,5,3,268,6585,372,201,63,15,7236
1030,308040,50888,64071,1437,778,425214,331697,68744,88850,1058,1023,491363,91677,47858,204882,3078,1725,349223,19403,18622,25908,39,125,64088,30901,11270,33899,1058,795,77920,1790,2581,5012,40,117,9548,4671,2013,3490,495,249,10907,2992,939,2266,95,99,6381,151426,83279,275458,4812,3100,518068,4119,2730,5168,57,167,12236,18750,5897,13311,486,1342,39795,814030,211538,446851,7848,6403,1486674
1031,4226,224,23,66,15,4561,4216,91,10,41,17,4381,2237,937,202,74,22,3469,374,182,78,100,5,746,770,116,17,10,8,929,43,37,6,3,0,87,113,20,4,17,7,161,67,16,0,3,0,96,3606,1315,306,207,48,5479,79,18,3,0,3,102,347,108,19,16,7,498,12468,1761,363,332,100,15027
1032,3518,249,68,17,18,3866,2503,50,25,7,10,2594,1183,281,340,5,9,1816,362,69,131,3,3,568,419,51,48,4,10,531,51,59,41,0,0,149,31,17,8,26,6,84,37,6,9,3,0,50,2082,477,568,46,22,3194,38,30,4,0,3,76,238,49,33,13,13,347,8377,867,692,82,67,10084
1033,2695,163,30,120,9,3009,1382,32,9,9,11,1441,557,143,54,3,3,759,93,65,23,0,0,186,314,48,12,3,0,383,27,25,6,0,0,57,19,0,0,15,3,36,27,6,0,0,0,35,1035,283,105,21,11,1451,29,15,3,0,0,48,161,25,0,15,3,200,5293,520,144,159,27,6154
1034,5220,194,239,39,8,5697,6201,76,126,32,16,6449,2577,385,1224,50,12,4248,790,36,191,0,0,1013,909,65,118,11,7,1112,41,22,60,0,0,123,272,18,18,15,3,319,67,4,22,3,0,92,4650,534,1626,84,22,6904,86,65,45,3,3,199,414,46,89,9,6,573,16576,913,2125,161,49,19823
1035,29963,3236,2336,447,151,36138,28567,2527,1869,67,84,33109,6811,3522,5795,127,85,16329,3268,2002,1685,9,7,6972,2868,867,1053,63,38,4885,123,183,159,10,7,480,241,88,120,90,13,547,221,70,105,10,6,423,13532,6728,8912,303,155,29632,282,308,265,13,67,934,1675,446,502,66,144,2828,74022,13245,13881,898,601,102649
