SUA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1000,2149,2495,4644,1547,1636,3181,2216,6762,8982,2184,11168,13355,9382,24021,33402,8648,10661,19309,25826,9044,34874,18962,9363,28325,24400,7796,32197,22656,4680,27331,15815,3323,19135,16113,2522,18634,27344,3227,30569,16722,365,17088,9974,156,10126,6273,1544,7813,12491,181,12669,27343,1610,28954,5404,6999,12407,255448,107559,363003
1001,119,215,327,93,133,228,163,642,801,208,1015,1224,678,1949,2626,740,1110,1850,1819,1013,2827,1542,1107,2645,2014,955,2968,2112,679,2786,1616,418,2035,1597,292,1888,2941,411,3348,1834,91,1931,1059,28,1084,538,135,680,877,18,901,2036,203,2240,396,547,939,22385,10957,33337
1002,37,61,98,13,39,49,53,180,232,37,241,284,153,491,642,189,287,479,401,278,679,386,238,629,437,249,686,460,144,606,360,129,495,366,102,467,636,144,778,390,17,409,256,9,264,166,43,205,288,8,290,496,78,579,77,140,211,5196,2892,8089
1003,29,63,93,23,37,62,36,148,182,49,356,399,206,759,971,212,429,635,694,331,1032,514,294,807,701,261,967,615,154,763,395,120,515,425,113,531,731,116,850,422,19,442,270,11,278,153,60,214,333,12,340,579,88,665,123,236,356,6495,3605,10102
1004,44,45,87,24,23,48,51,115,163,36,202,237,184,481,662,173,260,433,570,194,770,384,202,588,536,149,683,479,89,568,243,48,288,262,28,288,377,44,419,200,7,207,99,6,101,47,30,76,95,0,95,360,34,391,104,150,258,4256,2118,6371
1005,44,83,127,33,41,83,67,221,292,72,305,378,224,730,951,279,385,670,610,336,945,525,355,888,683,348,1025,728,244,980,566,194,763,549,170,721,1055,157,1212,778,22,799,537,16,547,277,48,322,431,8,436,769,106,871,136,189,325,8368,3962,12333
1006,83,89,173,54,58,113,68,168,232,58,362,418,260,772,1035,235,431,665,730,333,1063,638,371,1005,854,331,1185,821,196,1015,665,159,818,630,141,774,1254,173,1429,784,18,798,485,9,495,365,97,459,771,10,784,1072,60,1129,149,235,382,9969,4004,13977
1007,22,43,60,19,27,47,45,185,228,53,325,378,207,650,861,203,244,446,503,198,702,355,169,526,406,172,578,328,117,443,235,102,337,269,94,363,426,95,520,300,7,308,183,8,185,100,39,139,188,0,185,474,32,508,148,207,354,4461,2716,7184
1008,34,55,95,33,33,58,37,107,141,36,218,255,186,589,773,202,249,449,724,177,901,484,171,654,505,124,636,428,55,488,258,38,298,236,30,268,410,36,449,248,4,252,139,3,141,71,20,88,111,5,117,465,16,478,103,184,285,4713,2106,6814
1009,586,821,1413,359,424,784,521,1728,2244,572,3228,3800,2277,7609,9884,2416,3905,6323,7327,2805,10133,5661,2961,8624,7114,2614,9724,7073,1696,8772,5505,1249,6758,5543,943,6484,10294,1185,11479,6877,200,7078,4178,96,4281,2758,483,3243,4849,72,4920,8130,616,8745,1380,2384,3762,83419,35032,118450
