SUA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1000,85167,6727,4783,1235,154,93,1048,99210
1001,7826,693,482,71,9,6,51,9128
1002,1778,131,86,23,0,4,21,2039
1003,1934,157,84,20,3,3,8,2205
1004,972,97,63,14,3,3,15,1167
1005,3051,273,201,33,6,8,23,3585
1006,3437,282,177,37,0,4,28,3965
1007,1211,122,108,12,8,0,14,1484
1008,1204,106,59,20,4,0,15,1411
1009,29901,2858,1843,371,62,36,258,35334
1010,5622,531,323,96,8,4,49,6642
1011,3142,247,198,45,6,4,38,3692
1012,1103,133,65,12,4,0,24,1344
1013,1859,190,144,18,5,3,12,2239
1014,1319,125,116,38,7,3,23,1620
1015,1914,102,65,26,0,3,23,2138
1016,904,100,76,24,5,4,21,1130
1017,2054,196,130,28,3,3,21,2435
1018,941,82,73,12,0,0,16,1130
1019,2060,226,137,30,5,3,24,2495
1020,1099,87,67,8,0,0,13,1275
1021,1067,99,79,13,0,0,18,1275
1022,2121,196,117,33,0,0,19,2483
1023,44298,3951,2442,560,103,44,382,51775
1024,2765,340,205,54,5,9,46,3430
1025,3501,295,214,32,6,7,35,4084
1026,940,66,74,13,3,0,13,1105
1027,3464,346,202,47,4,4,28,4093
1028,1675,155,102,18,3,0,8,1951
1029,1272,138,86,18,3,3,26,1545
1030,523725,26673,14207,7278,610,326,1784,574604
1031,3253,321,217,49,11,3,28,3882
1032,1774,188,141,40,4,5,34,2193
1033,1095,110,73,20,4,3,14,1309
1034,4948,360,290,49,12,7,34,5693
1035,29586,2249,1401,329,53,20,204,33842
