SUA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
1018,2064,1378,1437,1338,1523,1627,1475,922,360,12133,3,3,6,4,4,0,0,3,0,32,48,76,67,41,43,60,30,17,11,390,3,0,0,3,0,5,0,0,0,13,3,3,3,4,3,3,9,0,0,26,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,81,78,51,50,70,38,16,10,441,60,81,83,55,53,67,38,18,10,469,2125,1460,1520,1397,1576,1698,1520,941,372,12605
1019,3884,2612,2210,2355,2843,2994,2727,1887,859,22365,3,6,7,3,3,4,3,3,0,40,59,160,104,61,60,70,78,40,20,650,0,8,3,0,0,0,3,0,0,19,5,29,0,3,6,3,5,3,0,60,0,3,3,0,0,0,0,0,0,3,0,7,0,0,0,0,4,4,0,17,0,4,0,0,0,0,3,0,0,8,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,58,220,119,62,71,84,91,49,20,774,68,228,125,69,75,90,97,52,22,811,3948,2840,2334,2422,2914,3081,2828,1934,881,23184
1020,2519,1186,1520,1375,1431,1183,945,658,287,11093,0,0,3,3,0,0,3,3,0,18,48,90,97,87,113,91,91,33,10,659,0,0,0,3,0,5,5,0,0,18,0,0,4,5,9,11,0,4,0,38,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,51,96,104,104,127,114,104,33,10,745,53,96,109,102,128,117,104,33,13,757,2569,1284,1623,1479,1560,1294,1048,692,300,11850
1021,2696,1380,1759,1488,1583,1216,805,417,130,11483,3,9,3,3,3,5,0,0,0,23,48,85,136,78,74,84,34,6,0,551,0,0,0,0,3,3,0,0,0,9,10,3,12,7,8,9,3,0,0,53,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100,145,82,90,101,41,11,0,626,64,107,153,84,95,98,41,12,0,652,2758,1482,1911,1574,1674,1319,848,428,133,12135
1022,3976,2422,1836,2558,3171,3538,4062,2356,947,24867,5,12,3,4,6,6,3,10,0,53,119,132,159,115,157,257,279,154,33,1409,7,4,16,7,8,35,76,25,0,183,5,15,7,10,11,29,14,3,0,95,0,3,0,0,0,8,15,3,0,30,0,0,0,3,0,3,13,0,0,17,0,0,0,0,0,9,5,0,0,19,0,0,0,0,0,0,0,0,0,3,4,7,3,9,3,14,3,9,0,52,0,0,0,0,0,0,0,0,0,0,131,158,193,146,193,360,403,199,36,1809,142,166,198,149,196,361,402,212,37,1862,4112,2586,2030,2710,3366,3902,4466,2565,984,26731
1023,84157,56214,57271,55320,56767,53726,41710,23394,10884,439430,77,96,61,63,56,59,55,51,22,547,1787,2973,2627,1850,1770,1708,1282,817,484,15291,14,33,67,77,87,82,55,19,3,439,53,77,113,119,148,158,103,31,5,801,7,10,19,16,16,40,34,9,0,141,13,15,21,30,33,35,23,7,3,182,0,3,4,0,4,17,23,7,0,62,0,8,13,8,3,7,7,0,0,36,5,14,16,7,8,29,21,3,0,109,0,0,0,0,0,0,0,0,0,0,1878,3138,2865,2105,2077,2071,1549,891,492,17076,1961,3236,2931,2164,2136,2126,1599,939,522,17615,86115,59447,60207,57487,58905,55853,43310,24333,11402,457047
1024,6660,4133,4103,3800,4139,4301,3661,2024,870,33683,14,18,9,0,6,4,4,3,0,61,161,270,257,182,189,181,118,90,55,1497,0,6,11,7,16,16,6,3,0,72,12,13,12,11,16,6,6,0,0,77,3,3,3,5,5,0,0,0,0,15,0,0,12,13,4,3,0,0,0,37,0,0,0,0,3,7,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,5,9,10,13,21,0,3,0,65,0,0,0,0,0,0,0,0,0,0,172,299,298,225,252,235,138,98,63,1781,187,315,305,231,259,238,140,101,63,1840,6847,4451,4416,4025,4397,4547,3797,2130,930,35524
1025,8024,4408,4919,4628,4494,4118,3125,2009,855,36570,18,12,4,3,6,3,8,3,3,58,210,461,351,280,290,247,138,83,36,2103,6,16,12,10,21,13,14,3,0,92,3,23,18,18,26,13,23,0,0,118,0,0,0,3,0,0,0,0,0,7,3,3,8,9,5,3,0,0,0,27,0,0,5,0,0,5,0,0,0,10,0,0,0,0,3,3,0,0,0,5,0,20,4,0,3,6,5,0,0,41,0,0,0,0,0,0,0,0,0,0,220,515,401,323,350,293,184,88,36,2409,238,530,403,327,358,296,191,84,44,2467,8262,4936,5320,4955,4844,4415,3313,2090,902,39042
1026,2217,1285,1198,1118,1275,1237,934,679,333,10269,5,3,0,3,0,0,3,0,0,24,53,72,68,57,51,53,42,22,9,418,0,3,3,3,7,22,30,6,3,79,4,3,10,6,11,12,8,4,0,52,0,0,0,0,0,4,4,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,55,76,78,66,71,96,83,31,13,573,59,80,79,73,75,93,88,31,13,593,2274,1365,1276,1186,1347,1332,1017,710,341,10864
1027,7385,4142,4021,4606,5374,5540,5933,3943,1892,42839,7,6,5,4,0,10,6,9,0,52,172,270,294,218,323,360,451,251,83,2413,22,16,16,29,31,75,156,75,16,419,27,24,44,31,43,49,38,13,7,267,0,0,3,3,3,3,24,12,0,47,0,3,6,0,8,10,3,8,0,35,0,0,0,0,4,23,24,3,0,55,0,4,5,0,0,0,0,0,0,18,3,0,10,3,3,19,37,6,0,81,0,0,0,0,0,0,0,0,0,0,224,326,372,287,410,531,735,360,110,3344,227,329,374,286,413,534,743,372,110,3393,7613,4474,4396,4896,5790,6075,6675,4312,2004,46238
1028,3372,2214,2088,2060,2106,1606,971,570,274,15267,4,10,5,3,7,3,3,0,0,32,45,164,121,84,81,70,32,16,8,618,0,26,7,0,4,3,3,3,0,55,3,72,31,10,25,15,13,3,0,165,0,13,4,3,3,0,0,0,0,25,0,5,3,0,3,3,0,0,0,19,0,3,0,0,0,4,0,0,0,9,0,3,3,0,0,0,0,0,0,12,0,9,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,54,300,176,94,114,90,51,22,8,908,60,305,181,97,123,95,55,22,8,943,3429,2518,2270,2155,2227,1698,1027,593,289,16204
1029,2796,1561,1378,1717,2019,2505,2761,1563,591,16891,9,7,6,7,4,4,4,3,0,43,53,84,90,83,82,119,97,30,16,659,5,3,3,7,0,3,4,3,0,25,3,4,3,5,3,5,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,8,10,0,0,30,0,0,0,0,0,0,0,0,0,0,67,93,101,101,96,145,118,37,16,761,71,100,108,102,93,149,121,39,18,797,2868,1665,1482,1825,2117,2647,2885,1601,605,17693
1030,815065,565353,704387,629989,558845,457598,315986,172072,80643,4299931,687,834,775,532,515,431,399,288,186,4647,11539,17122,22543,14259,12808,11698,9387,6087,3823,109262,272,732,2010,2335,2479,1414,684,216,55,10197,348,990,1623,1625,1924,1459,934,258,61,9223,70,237,416,403,544,437,302,91,8,2503,209,337,714,616,684,514,253,93,15,3439,20,74,116,126,170,215,183,56,6,964,24,105,109,88,71,51,21,5,0,478,79,385,463,416,383,330,218,77,21,2366,0,7,0,3,8,8,3,4,0,27,12561,19993,27993,19868,19074,16116,11977,6877,3994,138450,13248,20825,28768,20394,19593,16546,12381,7167,4185,143092,828317,586174,733151,650389,578435,474142,328363,179237,84825,4443026
1031,8104,4800,5170,4463,4721,4524,3489,2276,997,38551,16,19,12,3,3,3,3,7,0,58,363,395,337,239,237,252,216,110,31,2178,4,9,25,6,11,35,37,9,0,128,21,16,23,24,32,29,26,6,0,187,0,0,10,3,10,12,9,0,0,48,0,5,0,4,0,3,4,0,0,20,0,0,0,0,0,7,5,0,0,10,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,383,427,402,277,297,341,303,124,31,2582,397,441,411,285,296,338,305,128,32,2639,8508,5244,5584,4742,5017,4863,3789,2406,1035,41186
1032,4502,2698,2275,2380,3052,3388,3154,2059,991,24507,13,12,10,6,6,5,7,4,4,56,113,207,176,118,141,169,151,81,53,1221,11,3,5,3,8,13,13,3,0,54,9,6,16,13,8,14,9,9,0,80,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,134,218,205,134,162,199,180,97,58,1387,144,226,206,140,170,210,185,105,62,1444,4650,2920,2486,2519,3229,3593,3334,2163,1057,25947
1033,2275,1150,1085,1365,1713,2263,2341,1442,569,14209,5,5,3,0,7,3,4,3,0,31,60,68,71,65,81,93,108,34,17,598,0,0,6,0,10,7,26,15,0,65,0,7,0,0,4,0,12,0,0,23,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,10,3,0,14,0,0,0,0,0,0,0,0,0,3,4,3,0,3,3,21,15,0,0,53,0,0,0,0,0,0,0,0,0,0,62,81,90,69,102,132,168,52,17,768,72,85,93,68,105,134,173,58,14,797,2341,1238,1174,1437,1818,2397,2518,1501,582,15009
1034,10669,7622,7082,6233,6100,5742,3985,2487,1215,51140,15,15,14,3,4,9,3,8,5,82,213,1133,421,267,241,239,192,109,80,2897,9,225,76,43,49,31,26,8,0,465,3,177,57,19,15,24,16,7,0,315,0,42,18,9,4,4,4,0,0,89,5,30,10,8,3,0,4,0,0,64,0,27,3,4,0,3,5,0,0,52,0,9,3,0,4,0,0,0,0,20,0,40,20,7,16,6,8,0,0,104,0,0,0,0,0,0,0,0,0,0,228,1688,615,367,338,313,252,123,77,4003,245,1707,635,369,347,321,255,126,84,4087,10913,9323,7714,6604,6444,6057,4242,2617,1306,55223
1035,51112,37065,33291,34507,35968,33062,25285,15677,6673,272631,44,56,45,33,30,43,36,32,22,352,963,1715,1511,944,897,859,715,527,346,8467,18,38,81,34,43,49,52,14,3,340,11,40,62,40,46,61,32,16,0,310,3,3,10,12,12,13,11,3,0,67,9,7,19,24,18,19,15,3,0,108,0,3,5,5,9,17,15,10,0,61,0,10,8,4,0,3,0,0,0,20,6,35,34,17,25,20,12,8,0,151,0,0,0,0,0,0,0,0,0,0,1009,1843,1724,1072,1044,1049,851,581,349,9530,1049,1902,1772,1109,1074,1096,888,612,369,9879,52165,38961,35060,35618,37041,34155,26178,16290,7040,282510
