SUA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
1000,..,97965,97965,130025,8330,138356,47219,917,48137,44399,209,44608,22612,94,22702,11196,35,11235,255448,107559,363003
1001,..,9708,9708,10641,979,11618,4681,169,4854,4445,74,4522,1867,20,1889,744,3,749,22385,10957,33337
1002,..,2460,2460,2532,276,2809,1052,91,1145,946,44,993,449,18,467,215,4,217,5196,2892,8089
1003,..,3203,3203,3560,314,3871,1269,61,1324,1106,25,1126,440,6,443,128,0,128,6495,3605,10102
1004,..,1955,1955,2598,138,2740,686,22,705,555,3,556,260,3,264,155,0,155,4256,2118,6371
1005,..,3408,3408,3712,405,4116,1752,91,1842,1754,43,1798,780,10,785,376,3,384,8368,3962,12333
1006,..,3702,3702,5016,255,5270,1835,24,1862,1834,12,1851,873,3,876,408,3,406,9969,4004,13977
1007,..,2532,2532,2361,167,2528,936,13,952,725,3,729,296,0,303,142,0,142,4461,2716,7184
1008,..,1938,1938,2872,146,3022,753,8,768,634,4,638,300,0,300,145,0,145,4713,2106,6814
1009,..,31410,31410,37095,3025,40124,17405,414,17816,17597,124,17719,7708,42,7755,3617,11,3631,83419,35032,118450
1010,..,6981,6981,8626,792,9424,3574,113,3688,3184,37,3221,1445,10,1460,767,12,778,17596,7955,25549
1011,..,3440,3440,3955,347,4303,2027,76,2102,1699,11,1714,857,0,861,456,0,462,9000,3884,12879
1012,..,3047,3047,3534,234,3768,909,16,928,663,3,672,249,0,249,139,0,142,5490,3307,8794
1013,..,2698,2698,2728,180,2905,1190,22,1213,1046,4,1051,467,8,470,235,7,240,5661,2917,8575
1014,..,2282,2282,2343,192,2533,925,17,940,780,11,790,379,0,377,224,0,224,4642,2496,7143
1015,..,1633,1633,1924,158,2083,894,36,933,1012,13,1028,495,8,502,232,10,243,4571,1866,6436
1016,..,1444,1444,1586,127,1721,747,18,759,579,10,583,286,3,288,218,0,218,3420,1599,5015
1017,..,3529,3529,3243,443,3680,1484,78,1563,1223,30,1253,567,12,577,270,0,269,6785,4085,10869
1018,..,1800,1800,1538,107,1648,652,4,663,539,3,542,225,0,223,108,0,108,3063,1920,4985
1019,..,2128,2128,3047,189,3239,1209,27,1241,1156,6,1163,564,0,566,297,3,298,6277,2355,8632
1020,..,1198,1198,1308,111,1421,643,21,659,579,3,585,273,0,270,117,0,114,2913,1331,4244
1021,..,1237,1237,1304,137,1443,679,17,687,619,7,623,276,0,276,128,0,128,3003,1393,4395
1022,..,2861,2861,3966,228,4197,1242,27,1270,1182,6,1188,513,0,511,235,0,235,7133,3126,10257
1023,..,44470,44470,54310,4877,59187,26197,1315,27517,25685,434,26116,10380,137,10522,4325,98,4430,120900,51331,172235
1024,..,3558,3558,4183,306,4483,1882,45,1926,1622,16,1639,789,4,790,403,3,405,8886,3927,12808
1025,..,4117,4117,4362,361,4718,1971,46,2021,1946,36,1977,905,13,922,426,3,426,9607,4572,14179
1026,..,1180,1180,1257,59,1318,539,8,552,481,5,480,276,3,278,152,0,152,2705,1252,3958
1027,..,5566,5566,6647,530,7174,2227,84,2307,1991,28,2012,854,4,859,334,0,335,12048,6207,18260
1028,..,1380,1380,1671,123,1799,878,10,891,952,8,952,408,0,408,166,0,166,4077,1519,5596
1029,..,2126,2126,2759,184,2947,889,9,903,739,5,740,355,0,355,168,0,168,4911,2324,7236
1030,..,316378,316378,394413,45605,440012,249501,15341,264844,265604,6942,272546,118436,2784,121224,69561,2098,71660,1097514,389157,1486674
1031,..,4323,4323,4779,422,5203,2167,72,2242,1924,22,1946,870,9,876,420,20,439,10165,4856,15027
1032,..,3181,3181,3360,270,3637,1301,40,1337,1092,8,1097,518,3,522,304,0,304,6578,3503,10084
1033,..,1810,1810,2468,149,2614,687,7,696,623,3,628,270,0,269,131,0,131,4182,1973,6154
1034,..,5397,5397,6254,597,6856,2774,181,2955,2619,67,2687,1332,14,1344,569,5,583,13555,6269,19823
1035,..,24858,24858,31439,2636,34073,15697,745,16442,16600,317,16918,6975,104,7081,3206,63,3268,73913,28727,102649
