SUA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
1010,239,262,246,181,52,18,1169,11,103,156,179,273,113,40,3,876,242,1281,1434,1110,1223,695,222,66,6273,189,702,901,1102,1102,760,283,70,5111,960,1843,1789,2132,2055,1299,589,214,10886,227,171,127,154,171,86,17,0,954,90,124,185,260,351,270,120,36,1444,1277,2146,2100,2542,2579,1660,729,250,13283,27,55,43,73,77,88,45,18,429,670,635,579,782,942,943,921,665,6137,2423,5088,5450,6054,6443,4442,2288,1097,33285
1011,188,128,92,30,8,4,680,10,93,109,93,120,39,3,0,461,183,1038,755,496,408,194,65,32,3172,121,447,431,426,383,183,83,26,2087,721,1412,1092,1060,796,411,184,52,5735,108,96,71,84,55,27,5,0,448,56,72,80,120,141,81,41,14,601,878,1584,1246,1266,993,525,237,68,6783,7,33,20,35,47,38,26,10,204,439,466,373,389,398,406,363,190,3026,1644,3878,3109,2831,2432,1409,791,318,16408
1012,33,41,60,45,19,7,221,3,9,30,35,66,32,10,6,198,47,177,206,203,275,210,97,30,1251,40,136,181,243,306,291,132,49,1370,227,397,475,550,645,647,395,143,3480,30,36,44,49,56,45,15,3,272,20,23,47,65,118,132,62,28,501,277,454,561,665,820,824,471,172,4253,6,5,9,17,29,50,25,15,160,180,144,142,209,293,518,509,333,2326,548,957,1157,1408,1858,1981,1261,610,9781
1013,72,67,88,37,6,3,358,8,38,41,37,92,26,4,4,251,63,348,278,244,248,154,63,19,1417,92,284,294,303,307,182,85,22,1573,381,805,678,692,524,352,162,54,3657,69,57,43,56,34,18,0,3,282,41,44,73,89,81,68,23,12,437,497,910,790,836,640,439,184,71,4368,4,14,4,17,32,25,19,10,131,319,418,380,327,291,364,325,257,2691,982,2093,1865,1829,1702,1224,696,386,10784
1014,43,34,34,22,3,0,170,4,23,31,28,42,22,3,0,152,41,222,230,180,207,101,56,12,1063,40,148,160,218,218,115,55,24,986,295,574,558,545,502,282,143,60,2966,64,53,44,37,30,32,7,0,268,21,53,54,66,84,77,34,9,390,385,673,659,647,624,397,180,72,3631,7,3,15,9,21,29,14,6,97,256,258,258,233,262,297,304,198,2065,725,1354,1390,1343,1412,993,632,315,8171
1015,58,56,21,15,6,3,242,6,35,45,29,29,8,6,0,158,74,439,296,206,151,60,31,6,1270,56,254,190,195,120,65,21,12,920,339,637,509,477,389,181,72,26,2641,31,32,35,33,24,11,0,0,171,30,55,40,65,56,30,11,5,292,395,726,587,578,469,225,91,32,3110,17,23,16,13,25,19,12,3,134,275,331,245,261,291,264,272,218,2164,831,1879,1446,1342,1113,661,439,283,7988
1016,27,15,13,14,3,0,91,0,10,16,18,19,10,3,0,81,26,124,101,100,127,88,26,14,604,25,78,118,135,153,72,32,16,624,205,414,370,403,411,266,112,22,2208,51,61,45,30,26,18,3,0,237,15,40,32,59,71,50,16,4,291,266,520,449,499,514,334,129,28,2737,9,4,5,5,17,9,11,3,65,330,403,304,272,306,272,259,212,2362,653,1160,1023,1042,1151,807,455,271,6568
1017,122,101,139,78,17,5,560,9,39,84,90,103,65,15,7,409,131,588,646,516,511,230,100,31,2760,87,235,315,369,380,213,74,31,1698,503,936,797,834,707,427,183,72,4457,131,97,60,76,53,21,6,0,447,50,70,67,114,130,95,40,15,585,681,1094,923,1019,900,542,234,91,5491,3,15,21,19,41,43,27,9,186,395,323,254,333,421,347,290,223,2591,1313,2397,2365,2443,2495,1516,761,408,13690
1018,19,19,40,16,9,0,121,0,7,18,23,38,21,4,0,108,26,142,115,104,136,78,37,15,656,36,106,105,129,134,75,39,10,638,236,418,349,412,322,238,120,43,2136,39,37,32,33,20,16,0,0,176,22,30,25,43,51,49,25,4,237,289,483,401,487,396,294,145,46,2550,5,11,7,7,18,23,12,3,78,213,301,233,213,208,238,199,79,1686,569,1063,901,987,966,748,451,161,5840
1019,97,117,109,122,54,13,584,5,29,39,54,78,41,21,0,277,86,391,345,312,334,250,137,52,1901,121,213,306,360,351,252,171,58,1836,402,713,682,783,735,488,309,92,4197,58,50,51,33,32,23,4,3,264,32,54,64,91,120,128,85,28,595,492,811,801,906,887,646,396,121,5063,6,15,17,28,31,41,39,4,178,154,140,151,200,272,371,315,323,1933,869,1670,1760,1981,2063,1724,1141,572,11777
1020,46,19,22,16,5,3,136,0,20,25,30,28,12,8,0,122,40,273,217,131,108,91,37,11,907,22,127,136,136,120,69,35,10,663,226,517,389,373,232,132,92,16,1980,41,33,25,19,24,13,0,0,162,16,26,17,52,43,38,11,3,205,281,575,431,444,307,178,100,25,2347,0,10,13,5,13,10,12,8,71,162,140,162,170,188,173,130,56,1167,505,1179,1027,931,783,556,323,105,5402
1021,37,33,18,10,0,0,120,0,14,23,18,16,5,0,0,71,31,172,126,111,69,42,4,4,566,24,123,116,137,82,34,17,5,539,232,580,399,439,277,124,38,7,2096,44,45,36,27,18,4,0,0,174,9,32,23,47,30,23,7,0,168,280,655,452,513,325,152,49,8,2431,7,11,3,12,12,10,4,0,56,132,239,192,177,157,117,91,35,1127,482,1239,948,983,676,360,163,62,4907
1022,110,122,104,109,25,3,531,7,23,53,65,85,62,12,4,312,80,281,444,371,445,372,122,27,2151,72,210,379,438,496,421,177,41,2231,327,647,781,965,854,792,422,108,4904,57,39,41,39,59,43,17,3,293,28,42,54,96,147,207,75,26,683,414,734,878,1102,1056,1043,515,134,5878,4,13,13,22,32,65,38,13,198,238,159,189,279,360,602,552,382,2759,805,1473,2079,2402,2577,2673,1443,608,14064
1023,3130,2479,2112,1133,353,68,12099,91,897,1211,1188,1506,674,152,35,5756,2884,12812,10992,7218,6419,3552,1278,301,45459,1872,5634,6660,6809,5872,3323,1288,415,31861,7905,16328,14113,14699,11899,7641,3427,1133,77146,1301,1051,898,759,689,366,108,33,5201,653,893,1198,1673,1893,1544,640,201,8693,9864,18269,16213,17123,14487,9548,4167,1367,91046,169,353,378,451,576,561,258,126,2873,3633,3937,3453,4147,4458,4798,4320,3248,31991,18606,44647,42029,39412,35425,23592,11811,5569,221084
1024,109,109,106,66,17,0,510,6,73,80,79,100,62,17,3,421,117,518,489,374,413,255,91,27,2286,111,360,482,545,500,311,149,26,2486,672,1362,1001,1090,930,654,314,88,6109,128,98,86,61,55,39,5,0,475,59,72,92,126,164,127,41,16,697,854,1536,1173,1269,1156,818,366,110,7280,10,27,29,29,51,42,25,12,221,617,633,522,513,497,566,466,334,4153,1724,3244,2890,2918,2815,2120,1131,513,17358
1025,258,190,162,77,22,8,943,11,104,112,112,121,67,25,8,553,222,1079,890,606,521,299,120,48,3776,101,444,525,520,477,310,137,35,2561,693,1431,1150,1026,762,433,214,56,5767,117,81,75,79,49,33,16,3,455,57,88,124,124,147,127,47,13,737,872,1596,1344,1233,960,597,275,74,6957,24,31,35,27,41,45,23,13,239,441,400,385,446,383,452,412,184,3102,1678,3872,3559,3133,2659,1850,1008,366,18126
1026,32,29,8,8,0,0,102,3,11,21,22,23,6,0,0,88,39,188,164,116,75,42,17,4,645,32,89,105,108,95,60,29,9,526,208,384,358,336,263,139,46,17,1759,46,31,22,32,17,7,3,3,163,21,23,36,34,40,28,17,5,196,269,442,416,398,328,172,68,21,2114,3,4,9,6,17,8,7,6,58,174,118,117,163,170,198,173,96,1205,515,880,859,839,712,501,298,127,4736
1027,229,203,185,129,48,4,949,11,64,112,133,169,90,43,3,626,123,810,972,762,666,508,228,81,4149,114,413,685,772,739,573,277,101,3670,582,1145,1163,1346,1264,1035,531,190,7257,102,87,66,84,95,74,25,7,544,55,80,122,172,239,215,132,39,1063,738,1314,1359,1605,1600,1323,688,241,8868,8,18,31,48,66,100,61,24,351,345,332,277,405,534,823,760,561,4050,1348,3086,3673,3924,3961,3544,2111,1012,22664
1028,63,36,32,10,0,0,197,0,21,37,31,22,3,3,0,124,69,298,246,155,126,54,28,11,993,58,180,188,210,144,58,19,8,865,400,766,695,645,390,165,69,21,3149,59,54,37,50,15,8,3,0,227,30,38,41,85,55,25,20,7,300,494,862,780,779,457,199,95,26,3682,4,9,17,23,9,5,5,3,75,165,159,156,155,159,126,95,49,1069,795,1580,1486,1392,954,459,242,92,7005
1029,47,70,83,63,18,3,325,3,22,39,39,59,45,5,0,221,27,171,242,158,255,173,48,14,1087,36,120,226,242,316,233,82,18,1264,260,506,514,584,611,545,261,73,3353,43,37,29,43,32,30,7,0,225,9,28,53,79,98,109,40,15,427,314,570,592,705,734,689,307,92,3998,4,9,12,16,25,41,19,3,130,141,113,116,198,241,360,327,181,1673,524,1045,1268,1423,1716,1612,803,307,8693
1030,80804,50513,32873,16682,4846,1141,280505,1452,13535,16577,14106,12235,6088,1576,346,65918,63629,228083,173214,115813,79039,41588,15261,4841,721471,25845,74628,75706,68928,48898,27881,11540,4212,337637,39980,86038,80995,80136,59942,37442,18427,6457,409411,5108,5806,6272,6007,4560,2476,757,280,31258,4693,8928,12583,15695,14891,11038,4501,1989,74316,49774,100776,99848,101832,79394,50950,23685,8724,514983,2711,6859,6752,6902,6759,5271,2708,1177,39140,42673,60514,46638,41316,37175,32892,25596,18648,305441,191360,572758,499541,399411,296385,181349,85208,39082,2265103
1031,152,143,95,56,23,3,632,8,96,94,92,111,47,24,0,473,192,860,701,500,463,259,108,39,3123,102,452,487,545,493,263,124,48,2517,736,1432,1146,1111,944,585,260,66,6274,117,119,84,81,70,49,13,4,543,56,96,99,154,173,136,48,16,786,917,1645,1336,1345,1187,774,327,90,7605,36,53,35,28,50,48,40,11,300,579,551,481,451,570,536,435,230,3834,1829,3817,3277,3110,2967,1975,1083,422,18481
1032,50,34,57,23,4,3,214,3,27,33,38,52,44,8,0,208,51,216,202,243,278,191,71,31,1275,68,189,243,308,315,204,107,33,1464,399,698,653,754,724,469,264,82,4055,118,86,74,59,46,24,9,0,407,39,69,76,115,132,104,47,30,607,558,845,796,926,906,598,318,111,5068,11,14,23,25,52,38,21,6,189,301,187,211,319,385,466,456,306,2621,989,1522,1557,1891,2043,1556,987,492,11039
1033,44,35,59,60,24,6,247,7,33,28,39,63,41,15,3,222,19,158,194,174,246,184,81,23,1076,24,97,161,168,249,237,85,24,1043,162,372,417,492,518,434,248,58,2691,28,30,21,41,43,19,9,3,194,11,26,39,68,100,81,50,11,383,206,426,472,593,662,535,307,75,3271,4,11,11,21,16,47,16,3,134,127,77,106,155,234,320,291,198,1511,383,840,1012,1180,1527,1419,813,335,7504
1034,328,304,258,125,43,12,1323,17,145,162,158,156,59,17,3,724,400,1582,1322,858,669,354,162,39,5395,189,628,685,666,619,357,144,53,3340,1265,2094,1523,1526,1289,653,273,102,8732,187,137,106,114,84,48,6,0,682,100,125,127,195,218,150,57,23,1000,1551,2353,1757,1832,1593,857,341,135,10416,18,57,30,31,63,62,37,13,310,622,490,409,468,547,523,443,240,3749,2802,5508,4702,4330,3904,2331,1188,494,25252
1035,2384,1915,1688,880,220,39,9560,111,817,871,771,962,401,113,23,4069,2602,7472,6568,4589,3864,2028,713,196,28033,1536,3788,4533,4551,3657,2060,705,218,21042,4685,8888,8384,8819,7124,4344,2230,686,45159,676,525,556,533,434,220,67,26,3029,428,564,891,1195,1287,921,399,146,5826,5781,9974,9829,10547,8838,5493,2687,860,54008,153,245,285,317,403,381,202,72,2044,2563,2276,2144,2536,2796,3024,2774,1652,19764,12888,26860,26612,25227,22212,14268,7414,3056,138526
