SUA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
1014,1919,3820,31,174,200,944,74,364,828,3350,1138,4832,53,222,95,319,335,1029,490,1570,1620,6404,13,54,67,239,54,206,522,1439,651,1937,36,109,77,165,344,724,458,991,1109,2932,82,179,4733,13329
1015,1720,3424,47,293,212,993,76,357,1200,4811,1545,6458,82,325,114,355,400,1305,591,1982,2138,8443,10,60,48,168,41,161,315,923,420,1311,22,66,44,98,262,581,326,736,749,2051,77,175,4681,14082
1016,1335,2686,29,167,135,624,40,216,558,2258,765,3260,39,170,86,274,238,750,363,1196,1130,4459,23,111,66,285,51,194,463,1417,603,2011,28,100,56,107,315,690,397,900,1006,2911,60,133,3529,10188
1017,2591,5147,28,172,246,1184,75,311,1331,5308,1679,6972,101,412,170,556,489,1543,757,2507,2435,9480,25,110,123,441,59,196,757,2054,956,2794,78,247,186,405,549,1143,809,1794,1769,4586,126,266,6923,19482
1018,1258,2502,25,130,107,479,37,150,581,2280,741,3046,36,143,79,258,277,876,392,1282,1130,4327,11,48,49,170,27,95,289,785,368,1097,15,51,49,111,251,528,321,691,688,1788,44,90,3126,8710
1019,2873,5707,53,298,245,1126,119,548,1198,4713,1613,6686,139,575,203,691,539,1693,882,2960,2495,9643,19,71,65,251,31,116,418,1156,537,1593,37,123,93,211,385,838,515,1169,1051,2760,79,155,6495,18261
1020,1128,2228,10,59,100,443,40,195,834,3318,990,4012,26,113,68,209,195,597,291,916,1275,4926,7,35,31,105,23,74,242,654,304,876,14,46,37,80,150,310,199,441,505,1313,42,88,2952,8560
1021,1081,2127,17,117,115,538,35,178,787,3144,963,3973,47,187,72,221,200,605,313,1016,1275,4991,12,42,34,131,26,108,356,1011,433,1285,16,42,38,91,169,356,226,487,654,1777,36,72,3040,8964
1022,3638,7170,42,227,277,1271,80,363,1234,4795,1630,6655,116,498,197,631,538,1650,850,2776,2483,9431,14,52,67,246,49,158,417,1136,549,1590,45,133,88,177,406,860,533,1169,1079,2766,64,140,7267,19505
1023,46833,92859,789,4374,4906,22549,1601,7159,27613,107457,34914,141532,2570,10532,3987,13327,10302,32276,16858,56139,51775,197677,316,1439,1502,5285,818,2918,9073,24934,11713,34576,821,2596,2113,4628,8361,17810,11298,25037,23007,59607,1925,3968,123540,354108
1024,3642,7218,69,398,334,1539,115,526,1896,7488,2411,9944,145,594,217,717,656,2059,1017,3367,3430,13317,27,132,127,465,94,329,826,2326,1073,3253,60,181,150,315,603,1308,813,1808,1888,5057,135,275,9093,25865
1025,3693,7316,75,412,385,1775,118,525,2457,9802,3032,12515,162,653,282,906,616,1913,1059,3472,4084,15988,28,126,147,537,75,280,843,2341,1092,3281,56,159,154,337,573,1204,776,1703,1876,4989,116,249,9771,28540
1026,1068,2098,31,173,110,513,38,188,597,2424,774,3301,52,230,72,233,202,628,332,1082,1105,4388,8,47,46,170,19,77,246,684,323,983,9,31,39,94,174,373,227,499,551,1478,29,57,2753,8020
1027,5916,11733,61,313,483,2223,105,448,2301,9098,2943,12085,136,552,343,1093,670,2038,1145,3681,4093,15766,15,76,151,531,53,189,901,2368,1126,3173,57,184,225,491,699,1473,986,2140,2109,5313,131,273,12248,33087
1028,1421,2787,22,127,201,939,55,247,1067,4226,1349,5541,112,444,131,424,360,1130,604,2001,1951,7543,12,48,46,178,29,107,308,875,401,1216,24,80,62,136,213,460,297,681,699,1889,56,127,4135,12342
1029,2542,5034,34,173,145,702,63,297,819,3191,1067,4367,62,262,103,326,320,967,482,1549,1545,5921,10,63,52,179,36,128,352,1018,453,1388,22,73,73,170,338,711,434,952,892,2335,47,90,5024,13379
1030,378196,757134,9153,52979,53808,253001,12628,59206,306380,1186574,381974,1551764,34328,146818,51099,178711,107209,350628,192630,676152,574604,2227914,2259,10798,11033,40108,5230,19010,55316,150649,73839,220564,8664,28482,19662,45414,69231,153824,97563,227723,171402,448288,21677,46702,1145884,3480039
1031,4055,8047,67,365,389,1819,121,587,2212,8750,2796,11521,138,555,246,759,709,2131,1085,3441,3882,14962,34,137,136,539,84,340,1087,3095,1340,4112,68,214,156,323,670,1456,893,1992,2237,6106,170,358,10340,29480
1032,2867,5717,56,301,213,1012,95,464,1092,4406,1454,6183,90,358,170,557,476,1472,736,2387,2193,8575,22,108,115,416,71,264,653,1900,860,2691,39,125,138,302,520,1135,695,1561,1557,4255,110,235,6723,18783
1033,2228,4393,24,145,104,489,54,257,683,2735,873,3628,59,245,99,307,273,854,438,1407,1309,5037,7,34,50,158,24,95,257,698,342,988,14,47,70,136,244,500,329,685,670,1671,44,93,4252,11198
1034,5294,10414,109,614,643,3038,191,884,3227,12845,4168,17379,207,850,412,1319,895,2799,1520,4969,5693,22354,33,154,207,764,112,414,1086,3037,1434,4358,80,249,206,436,779,1672,1070,2360,2508,6715,236,489,13726,39975
1035,27688,55012,590,3272,3094,14342,973,4409,17147,67352,21797,89376,2026,8472,2817,9634,7203,23000,12044,41102,33842,130477,172,790,918,3272,475,1724,4769,12872,6333,18656,584,1843,1329,2960,5118,11027,7022,15829,13360,34489,1121,2330,76007,222309
