SUA_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
1000,413,1055,717,730,684,663,195,463,1838,6745,9350,32590,30072,34026,32002,23563,10674,18756,4227,195252,1622,4316,3660,4577,4184,8375,3931,21447,1059,53157,492,175,206,352,906,1217,1810,3918,167,9244,761,1593,1560,2308,5903,5432,3174,4099,323,25156,200,137,189,323,1586,1351,576,726,58,5144,1231,2400,2452,3135,5035,9073,3707,7837,597,35467,212,603,610,731,1471,1837,1082,1825,79,8445,1392,7920,5304,5755,6150,3808,2575,4008,491,37407,1052,8689,4305,4219,2953,2273,1371,3889,508,29257,739,1566,1666,1673,2161,2563,1396,4573,322,16656,126,372,289,336,679,541,300,424,29,3100,312,414,639,812,1294,1073,420,720,63,5754,180,530,465,545,933,966,469,1021,52,5162,576,2153,1943,2317,2915,2933,1397,2761,178,17162,484,2874,1860,1839,1782,1656,617,1176,219,12505,1565,1115,1667,2125,9852,5011,3388,2761,302,27780,1499,4641,4557,5662,5591,4912,2752,4934,340,34891,2746,4871,8637,10770,8967,6949,2284,3502,579,49311,247,1038,572,689,893,720,346,745,78,5323
1001,29,86,55,57,70,49,13,22,122,498,935,3232,2954,3626,3678,2295,1233,1268,295,19519,16,63,48,63,70,82,46,136,5,524,7,0,3,6,8,9,7,42,0,81,102,186,180,233,825,1072,694,619,35,3946,3,12,13,21,89,69,40,53,4,308,105,182,140,253,597,996,476,786,37,3580,21,45,54,72,197,197,152,190,6,935,183,995,611,731,806,481,352,391,32,4579,99,1014,431,422,326,261,197,305,42,3109,63,106,122,172,379,294,203,466,24,1828,11,42,28,39,105,84,54,51,3,407,30,40,67,93,174,148,92,90,0,748,13,42,35,48,114,87,47,93,10,486,51,143,134,223,345,311,169,235,12,1611,41,246,169,178,248,167,75,122,21,1275,179,143,221,357,1009,856,618,481,37,3902,136,418,425,498,691,478,351,476,30,3513,327,565,970,1388,1193,817,326,399,56,6040,16,103,45,44,50,42,26,38,0,370
1002,7,13,8,4,15,3,0,6,27,93,253,856,645,766,1047,541,254,389,89,4838,21,34,54,36,119,69,26,75,4,431,0,0,0,0,0,4,11,20,0,41,5,20,12,21,36,44,28,38,3,204,3,0,3,3,18,22,9,3,0,67,21,33,27,38,103,157,65,114,4,558,7,15,5,7,22,21,25,41,4,147,57,299,149,163,203,99,71,87,17,1139,41,291,112,113,78,55,36,109,26,857,0,31,16,28,27,33,22,48,4,222,4,19,7,5,32,9,6,7,0,102,9,14,16,22,67,35,20,33,0,215,6,11,8,15,26,9,10,17,0,96,22,55,43,60,136,76,52,89,9,544,11,68,56,46,56,39,22,20,4,326,32,39,30,40,182,61,58,35,3,494,83,245,172,194,594,325,168,342,24,2141,74,155,207,315,277,211,69,106,11,1422,0,20,5,9,14,8,4,9,3,81
1003,6,27,23,21,21,5,3,6,49,159,193,892,843,1006,914,534,252,366,95,5094,6,22,21,29,33,27,9,24,0,171,11,0,0,0,0,9,7,32,0,64,4,42,49,48,120,71,44,77,3,452,3,3,0,9,27,7,8,14,0,72,34,51,67,116,149,251,79,177,16,925,3,13,7,15,29,33,18,20,0,143,44,283,180,193,222,111,72,112,11,1228,25,284,149,179,130,73,52,133,8,1029,17,32,35,40,52,46,29,58,0,309,0,4,7,11,31,30,7,14,0,106,3,22,21,19,51,38,17,25,0,201,4,27,18,26,41,31,17,35,3,201,10,73,62,60,80,109,45,114,7,557,12,82,51,59,52,33,11,31,6,341,28,23,48,54,199,101,77,60,7,602,38,126,138,192,209,165,96,166,5,1139,68,150,314,438,346,228,76,104,25,1745,7,37,14,16,7,17,14,15,0,141
1004,4,18,6,15,5,13,0,0,23,84,145,535,428,500,476,264,117,191,47,2707,0,9,16,5,11,18,5,17,0,90,0,0,0,0,0,0,0,7,0,12,7,28,6,24,48,41,29,27,3,200,0,5,3,3,15,8,7,3,0,46,18,34,37,60,93,165,56,79,9,554,3,7,8,13,16,18,5,10,0,77,33,196,117,127,167,58,46,90,11,850,26,189,95,102,79,48,21,66,10,643,5,12,22,23,26,26,15,42,0,171,0,4,3,5,20,9,4,5,0,58,5,10,6,8,17,16,3,6,0,64,5,5,11,12,28,18,8,16,0,103,8,18,26,26,34,33,16,32,0,185,8,67,32,47,27,18,5,10,3,223,26,24,34,47,132,52,51,32,0,395,15,57,55,60,60,60,28,57,3,394,48,80,146,180,142,91,29,46,5,766,0,19,12,14,18,8,6,3,0,77
1005,14,33,19,23,35,19,9,12,41,190,380,1259,1057,1190,1554,981,448,574,126,7567,10,30,24,31,38,44,23,94,4,300,10,7,3,7,15,36,41,103,3,216,33,75,73,76,284,310,185,267,7,1315,4,5,4,9,64,58,16,21,0,190,32,57,53,70,217,324,172,310,16,1254,3,26,5,12,54,55,28,62,3,255,70,401,224,238,338,158,106,174,19,1734,44,399,138,136,169,103,59,119,24,1191,13,44,33,47,91,74,56,156,11,530,12,28,20,11,76,33,26,30,3,240,4,9,22,27,54,39,23,36,0,219,8,12,14,11,39,49,25,40,0,194,22,62,49,78,139,92,52,100,5,599,16,82,64,54,113,65,32,32,4,461,71,54,73,110,510,289,139,106,7,1373,80,216,203,210,408,303,176,273,29,1895,114,203,331,406,430,362,104,154,17,2120,11,62,24,20,26,16,11,18,3,189
1006,9,39,34,41,23,23,16,27,48,256,279,1451,1256,1322,1251,994,448,643,123,7765,8,44,30,33,45,68,29,58,3,311,3,4,3,8,37,28,29,69,0,175,23,70,58,66,259,266,189,253,7,1193,4,0,3,11,43,31,14,27,0,142,37,112,102,131,220,439,192,338,22,1590,8,39,19,38,74,102,42,89,0,410,41,340,226,242,255,199,118,206,21,1651,42,450,203,222,153,153,88,151,21,1495,29,44,57,84,107,116,80,207,4,726,6,22,16,16,30,39,12,33,0,171,14,40,36,44,62,82,34,57,0,374,11,24,35,31,57,60,38,78,0,327,31,152,82,147,146,193,73,213,11,1040,23,132,105,89,91,94,36,57,13,629,34,40,43,45,211,128,97,80,3,685,48,205,197,175,235,215,147,273,19,1515,86,246,372,394,389,280,105,177,12,2068,7,45,30,31,30,26,16,33,0,218
1007,6,10,9,8,11,7,0,3,27,86,178,497,409,567,735,500,174,265,66,3395,5,3,16,5,16,28,8,37,0,118,29,8,12,15,46,53,149,406,16,743,9,7,10,11,25,38,12,35,3,150,6,3,0,3,62,37,7,15,0,141,15,27,18,31,73,80,24,77,6,345,3,11,3,3,25,23,23,36,0,126,35,176,106,108,184,90,39,81,9,834,21,200,101,115,79,39,32,63,12,664,16,31,25,26,51,42,16,58,5,264,3,0,3,5,37,6,6,3,0,69,8,7,10,13,24,14,4,5,0,89,0,8,9,11,16,5,4,8,0,61,4,28,10,14,30,20,5,13,0,138,9,38,32,42,45,18,5,15,3,207,22,26,23,38,221,69,50,40,5,492,23,43,55,109,120,72,56,97,8,579,82,79,111,200,264,361,60,104,10,1262,3,18,6,4,15,11,4,3,0,61
1008,6,20,10,10,3,6,0,5,24,85,126,478,458,551,416,314,133,192,58,2731,9,11,13,19,18,23,13,42,0,142,0,0,3,0,0,3,5,19,0,31,7,19,16,24,77,39,20,35,4,230,7,0,11,6,36,31,8,11,0,111,16,50,67,78,96,189,62,131,3,695,3,12,3,14,10,19,18,29,0,96,31,131,97,97,104,68,33,63,5,627,20,145,60,80,57,35,29,52,7,492,12,22,32,23,36,16,23,46,3,205,0,7,4,3,11,6,0,3,0,32,3,6,7,10,9,14,5,16,0,74,3,4,16,12,28,18,3,14,0,95,5,32,27,35,29,32,14,26,3,201,10,60,35,29,22,33,3,14,5,215,18,15,10,23,85,48,43,19,0,261,24,60,68,91,107,90,58,75,9,584,39,81,174,213,144,124,43,50,6,882,5,9,3,9,9,9,0,11,0,52
1009,96,338,252,209,310,234,69,104,432,2050,2971,11158,10853,11180,12268,8794,3391,4045,1052,65713,20,77,96,99,123,133,55,109,12,727,38,9,21,25,87,143,102,283,9,725,195,439,438,618,2284,1861,1137,1415,63,8450,61,36,67,54,449,418,164,253,15,1516,360,829,894,1255,2143,4739,1624,3198,190,15235,84,176,201,233,777,803,375,623,24,3316,580,3248,2301,2221,2615,1794,966,1309,167,15201,323,3372,1656,1544,1202,870,495,798,133,10387,209,377,394,513,865,1001,579,1078,65,5098,83,210,175,180,624,623,267,444,15,2621,221,159,385,422,1189,1133,429,589,36,4573,71,224,215,207,474,525,219,416,23,2371,198,765,764,727,1245,1625,687,1231,54,7296,174,1007,642,647,843,842,235,399,63,4852,469,376,572,688,2852,1626,1109,747,78,8523,433,1396,1324,1422,1748,1718,832,1472,79,10429,991,1891,3653,4239,4159,3385,1099,1388,214,21016,74,505,245,253,298,280,115,236,17,2027
