SUA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,96127,68599,30005,10260,477806
1001,6655,4195,2064,796,42074
1002,1903,1289,685,256,11820
1003,2596,1941,1068,643,13005
1004,1612,1653,848,333,7862
1005,2587,1709,850,409,16875
1006,3469,3383,1905,644,19438
1007,1384,897,489,305,7572
1008,1707,1743,980,351,8399
1009,25330,19099,10587,5098,151360
1010,6443,4442,2288,1097,33285
1011,2432,1409,791,318,16408
1012,1858,1981,1261,610,9781
1013,1702,1224,696,386,10784
1014,1412,993,632,315,8171
1015,1113,661,439,283,7988
1016,1151,807,455,271,6568
1017,2495,1516,761,408,13690
1018,966,748,451,161,5840
1019,2063,1724,1141,572,11777
1020,783,556,323,105,5402
1021,676,360,163,62,4907
1022,2577,2673,1443,608,14064
1023,35425,23592,11811,5569,221084
1024,2815,2120,1131,513,17358
1025,2659,1850,1008,366,18126
1026,712,501,298,127,4736
1027,3961,3544,2111,1012,22664
1028,954,459,242,92,7005
1029,1716,1612,803,307,8693
1030,296385,181349,85208,39082,2265103
1031,2967,1975,1083,422,18481
1032,2043,1556,987,492,11039
1033,1527,1419,813,335,7504
1034,3904,2331,1188,494,25252
1035,22212,14268,7414,3056,138526
