SUA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1000,353,425,1238,1779,3807,9012,13066,10450,5726,45858,37,49,148,179,296,463,651,479,216,2517,4868,4731,10129,11590,14827,16612,16177,11239,5572,95740,26309,45003,93649,111798,140560,155947,128360,63453,23746,788824
1001,35,71,138,174,272,504,803,834,542,3370,3,11,48,83,96,64,75,51,25,459,358,525,872,793,825,927,821,831,446,6395,2608,6123,11820,10865,11270,10864,8192,4583,2065,68384
1002,11,18,32,26,57,111,174,163,122,713,0,4,10,6,9,6,13,10,3,58,159,266,239,171,276,208,183,177,86,1775,1177,2538,2889,2431,2794,2632,1991,1242,519,18214
1003,5,11,19,29,55,138,225,243,228,950,0,4,7,3,6,9,12,7,5,54,69,66,151,189,263,332,350,365,327,2103,454,969,2218,2736,3318,3807,3378,2087,1243,20207
1004,0,9,20,46,65,124,229,188,89,765,0,0,0,3,0,4,3,11,0,32,55,34,106,137,170,221,334,312,207,1566,342,572,1233,1514,1879,2612,2875,1518,631,13170
1005,11,22,45,47,99,197,272,275,166,1128,0,0,9,9,14,23,20,10,3,83,221,401,523,383,327,314,341,282,192,2985,1200,2864,4675,4149,4181,3977,3009,1751,824,26629
1006,12,5,28,43,72,189,256,251,166,1018,0,3,3,9,15,15,20,20,15,98,126,107,204,290,371,349,482,390,242,2569,972,1562,3298,4010,4960,5014,5330,3168,1205,29512
1007,3,17,47,61,122,348,342,244,123,1316,0,0,0,3,8,10,11,3,8,38,52,90,210,196,238,269,298,284,247,1889,462,963,2107,1861,2352,2658,2050,1218,593,14269
1008,0,5,5,24,46,121,224,195,101,714,0,0,0,3,4,0,3,7,3,27,39,35,75,88,161,205,322,317,193,1428,315,463,997,1452,2226,2701,3214,1824,633,13821
1009,84,115,326,417,904,2082,2787,2377,1737,10821,7,25,47,54,102,151,182,141,65,778,883,1055,1961,2171,2666,2928,3583,3639,2816,21701,8656,17741,34543,38387,42188,41084,35673,21317,10166,249770
