SUA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,..,1404,1436,764,1509,1973,1226,439,117,8875,..,1077,2086,2132,5257,10236,11799,10276,5374,48239,1731,2565,1854,1121,1618,2472,2027,921,371,14686,82398,44109,42405,51767,63995,68255,54273,27657,9828,444692,..,1914,30362,56935,72144,82999,70729,30282,5460,350821,..,7897,17774,14661,15308,11709,5424,1250,186,74203,..,1922,6013,9516,10191,5249,2809,2397,1601,39695,165688,..,..,..,..,..,..,..,..,165688,..,34601,..,..,..,..,..,..,..,34601,..,27639,11013,4831,3952,2143,370,12,0,49974,..,3477,1403,811,1581,2752,2664,1874,1271,15835,..,2550,1793,972,1104,874,444,145,54,7941,..,2958,3385,1894,3205,4175,2716,1004,236,19569,..,2578,5611,6662,13678,22688,22814,16344,7595,97965,3535,5252,4653,3163,3727,4714,3925,1615,537,31125,169224,90802,82006,99450,124878,137314,111895,54919,16939,887424
1001,..,538,269,65,128,119,72,33,3,1221,..,228,497,399,608,1102,1124,988,511,5459,170,259,207,75,107,167,115,84,38,1227,8069,5178,5594,5229,5379,5163,3759,2166,821,41350,..,280,4159,5722,5839,5906,4393,1939,428,28673,..,1246,2322,1240,1010,649,254,63,8,6791,..,197,741,1166,1142,470,201,154,98,4163,16100,..,..,..,..,..,..,..,..,16100,..,3516,..,..,..,..,..,..,..,3516,..,2461,825,317,249,109,25,0,0,3985,..,397,174,66,111,193,153,103,62,1253,..,291,172,64,63,38,15,7,5,652,..,1069,705,203,277,244,156,56,14,2718,..,452,1165,989,1435,1909,1748,1328,683,9708,347,518,458,226,245,264,196,150,52,2455,16452,10432,10713,9997,10377,9774,7124,3797,1356,80014
1002,..,283,93,28,21,17,13,11,0,462,..,74,119,100,157,264,288,281,156,1444,38,178,57,21,30,48,34,26,13,440,1878,1557,1291,1169,1289,1253,912,594,232,10179,..,54,875,1181,1388,1334,1063,516,88,6506,..,327,496,280,278,180,50,10,0,1624,..,46,170,249,252,135,51,56,32,991,3691,..,..,..,..,..,..,..,..,3691,..,821,..,..,..,..,..,..,..,821,..,535,195,77,70,33,6,0,0,913,..,138,59,16,34,52,32,21,19,363,..,105,83,20,13,4,3,0,0,231,..,584,228,75,46,47,34,16,0,1023,..,136,270,231,335,453,450,383,202,2457,83,294,120,67,62,88,48,47,12,824,3767,3048,2491,2198,2471,2331,1735,1049,359,19455
1003,..,91,106,35,61,82,30,13,10,426,..,26,50,87,211,380,452,449,323,1972,41,35,44,23,36,61,45,20,15,325,1741,1009,1067,1338,1645,1837,1561,1014,518,11726,..,28,634,1256,1570,1923,1804,960,274,8458,..,168,490,445,363,277,155,46,9,1961,..,29,112,298,360,178,75,73,60,1189,3505,..,..,..,..,..,..,..,..,3505,..,878,..,..,..,..,..,..,..,878,..,536,262,105,101,91,17,0,0,1100,..,89,42,17,42,57,62,42,31,371,..,69,66,39,23,23,13,0,0,237,..,159,224,91,129,140,78,22,10,858,..,53,122,204,405,660,709,616,429,3206,78,82,93,64,68,93,72,37,16,606,3585,2098,2041,2519,3059,3432,2994,1796,840,22361
1004,..,20,17,13,23,33,18,12,0,145,..,13,28,46,104,238,295,248,129,1104,22,29,26,14,35,51,43,23,8,249,1147,602,566,750,877,1256,1283,650,238,7366,..,27,359,651,785,1372,1638,698,128,5663,..,135,236,204,233,209,123,39,6,1177,..,36,113,188,191,90,58,56,43,777,2234,..,..,..,..,..,..,..,..,2234,..,427,..,..,..,..,..,..,..,427,..,380,155,91,84,49,8,0,0,780,..,57,27,20,23,36,55,22,21,253,..,47,33,29,13,10,5,3,0,139,..,51,44,37,52,67,48,26,3,329,..,28,96,131,247,413,484,381,172,1953,52,58,60,40,71,92,82,36,16,511,2288,1238,1130,1388,1700,2352,2492,1262,396,14237
1005,..,264,121,36,43,54,23,19,0,558,..,96,156,104,208,343,411,373,220,1915,60,141,64,35,32,47,42,26,17,463,3204,2116,2058,1958,2021,1841,1400,857,349,15796,..,89,1511,2074,2204,2226,1615,742,159,10615,..,454,892,496,402,220,96,20,5,2586,..,105,307,457,398,190,86,64,36,1651,6535,..,..,..,..,..,..,..,..,6535,..,1420,..,..,..,..,..,..,..,1420,..,928,384,142,118,45,10,0,0,1622,..,165,75,21,40,72,63,62,32,536,..,120,78,35,26,20,15,0,0,291,..,559,298,101,91,99,55,25,3,1241,..,165,391,307,463,620,658,505,294,3408,122,256,169,97,80,75,66,44,17,940,6659,4257,4111,3731,3823,3578,2664,1478,548,30850
1006,..,38,39,22,41,76,61,10,8,296,..,35,45,76,168,437,736,567,259,2317,55,74,56,18,37,64,66,35,17,426,3059,1716,1537,1979,2448,2471,2629,1449,463,17749,..,92,1328,2306,2804,2884,3092,1612,294,14411,..,259,589,474,462,328,203,59,8,2383,..,41,158,329,451,213,118,107,81,1492,6121,..,..,..,..,..,..,..,..,6121,..,1465,..,..,..,..,..,..,..,1465,..,1184,458,187,162,101,19,0,0,2105,..,91,51,43,73,76,95,84,43,564,..,82,104,27,23,26,10,4,0,279,..,79,109,52,95,132,117,28,9,634,..,55,141,208,399,742,1049,771,333,3705,107,141,113,65,87,114,106,59,25,819,6228,3497,3057,3693,4566,4619,4814,2729,790,33982
1007,..,35,34,16,31,34,27,4,0,182,..,48,94,76,125,262,278,289,176,1337,50,65,46,21,29,44,34,28,9,337,1373,844,985,871,1072,1224,926,635,264,8193,..,33,506,745,979,1295,1031,527,115,5228,..,193,437,256,239,171,60,10,0,1375,..,55,224,241,243,126,64,69,35,1062,2680,..,..,..,..,..,..,..,..,2680,..,492,..,..,..,..,..,..,..,492,..,548,227,90,109,50,9,0,0,1037,..,97,40,19,47,58,46,19,13,333,..,29,24,15,18,9,8,3,0,105,..,61,67,47,62,64,38,12,3,361,..,94,217,190,344,541,506,402,239,2532,100,134,101,53,64,79,67,44,19,666,2774,1747,1854,1663,2103,2404,1823,1082,426,15873
1008,..,16,8,9,32,42,34,22,9,163,..,10,23,31,99,194,272,295,164,1086,28,23,23,19,26,38,39,25,13,228,1125,544,500,728,1086,1323,1419,881,275,7900,..,7,349,760,1138,1518,1930,1018,181,6898,..,84,176,189,234,223,148,35,3,1088,..,21,71,149,208,86,43,56,36,679,2225,..,..,..,..,..,..,..,..,2225,..,564,..,..,..,..,..,..,..,564,..,399,156,84,98,52,8,0,0,796,..,33,21,7,25,41,50,36,27,241,..,21,24,15,19,8,11,9,0,110,..,22,29,20,69,84,66,30,8,331,..,18,45,86,213,395,511,443,223,1938,59,47,53,34,54,61,63,33,13,427,2282,1223,929,1356,2063,2469,2822,1662,505,15307
1009,..,578,585,279,556,638,467,198,60,3376,..,259,672,795,1628,3359,4669,4245,2523,18146,483,735,519,272,334,463,443,268,129,3638,27432,17268,16729,18807,20657,20182,17299,10495,4468,153343,..,643,12107,20703,22234,22374,19481,10059,2367,109968,..,2433,6775,4948,4349,2686,1301,369,82,22951,..,602,2220,4028,4618,2570,1141,844,626,16653,55653,..,..,..,..,..,..,..,..,55653,..,14165,..,..,..,..,..,..,..,14165,..,11780,5387,1768,1398,809,165,4,0,21305,..,1278,749,361,626,1062,1090,809,515,6489,..,1092,850,456,464,329,163,72,31,3462,..,1212,1477,786,1231,1357,955,413,125,7556,..,527,1759,2332,3891,6031,7388,5981,3505,31409,980,1404,1176,746,793,845,747,412,195,7301,56635,35126,32509,36123,39607,38067,32424,18966,7452,296909
