SUA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1018,3352,3359,6714,794,902,1692,825,953,1779,8,15,23,30,38,61,13,6,16,7,10,15,3,4,3,0,0,0,8,13,20,0,0,0,894,1027,1915,60,56,118,29,29,58,1777,2008,3787,952,598,1549,6082,5969,12055
1019,5922,6190,12111,1047,1091,2142,2760,2951,5710,85,76,165,134,156,285,22,15,38,46,52,91,3,10,13,11,16,26,13,14,35,0,0,0,3074,3284,6355,151,170,320,57,57,115,4330,4602,8930,659,702,1365,10912,11496,22405
1020,2358,2496,4852,941,1001,1938,1129,1148,2279,14,11,26,121,121,240,15,11,28,13,8,23,6,7,11,0,4,6,5,10,13,0,0,0,1311,1321,2630,69,82,151,22,27,55,2346,2429,4775,546,594,1140,5244,5517,10761
1021,2619,2498,5116,982,1003,1984,1025,1158,2177,26,31,51,143,152,291,9,11,19,23,22,41,3,4,7,9,8,19,3,0,6,0,0,0,1237,1381,2612,109,123,225,46,41,92,2373,2543,4916,666,386,1054,5658,5425,11085
1022,6171,6523,12695,1743,1845,3588,2595,2748,5341,119,132,246,249,222,467,25,31,54,53,48,95,26,31,50,29,38,61,46,48,93,0,0,0,3133,3287,6416,216,252,472,94,139,236,5186,5527,10711,1034,1162,2200,12393,13211,25608
1023,118858,123008,241866,16744,17637,34372,52328,56654,108980,926,1004,1936,2262,2428,4693,373,353,728,516,533,1051,187,222,407,332,345,684,421,440,860,5,11,16,57352,62000,119354,5009,5334,10346,1340,1318,2660,80443,86287,166735,12694,12402,25098,211996,221705,433701
1024,8349,8668,17012,1803,1933,3735,3422,3781,7199,105,118,227,234,222,460,32,32,69,68,71,140,28,25,55,32,26,51,105,85,193,4,3,9,4038,4372,8411,258,312,576,134,127,257,6228,6750,12979,2092,1440,3529,16668,16855,33518
1025,8627,9151,17776,1999,2194,4197,4300,4783,9079,108,91,197,207,230,438,43,38,82,78,83,158,16,29,41,14,16,29,39,53,94,0,0,3,4807,5317,10121,393,455,849,110,99,212,7311,8062,15376,1327,1365,2689,17263,18575,35840
1026,2752,2916,5668,853,961,1811,577,650,1225,16,28,46,75,71,149,12,9,30,22,15,36,9,0,8,4,4,13,6,14,20,0,0,0,726,801,1527,69,69,134,27,27,57,1681,1854,3532,478,543,1025,4916,5315,10231
1027,9741,10928,20665,2420,2725,5140,5230,5886,11113,194,193,391,439,417,848,56,51,106,62,80,143,53,58,111,42,51,90,74,103,176,0,0,0,6149,6840,12985,398,427,830,136,144,287,9108,10139,19244,1487,1695,3183,20333,22763,43091
1028,3992,3894,7886,1326,1334,2657,1069,1068,2132,69,28,97,280,236,520,35,27,58,69,52,120,19,3,22,25,11,39,20,7,20,0,0,0,1586,1428,3013,118,143,267,49,42,85,3079,2943,6020,523,497,1023,7592,7343,14934
1029,4401,4538,8934,920,1085,2007,1934,2163,4098,65,63,134,113,114,230,28,25,48,24,30,53,16,19,39,24,24,51,94,81,176,8,13,18,2311,2535,4848,67,105,169,41,46,90,3338,3769,7111,618,647,1261,8354,8958,17307
1030,1078868,1127951,2206816,115487,118248,233731,473375,484355,957731,10571,10411,20980,13439,13728,27164,3536,3564,7105,4701,4459,9162,1024,1070,2095,1109,982,2093,3880,3947,7821,60,33,89,511698,522546,1034244,192244,201084,393323,11268,10076,21341,830693,851952,1682642,136415,133172,269584,2045967,2113077,4159049
1031,9011,9762,18773,2018,2316,4327,4232,4735,8967,104,99,204,354,380,728,40,28,67,55,67,123,20,17,34,30,19,50,25,28,57,0,0,0,4854,5373,10231,598,499,1094,114,104,215,7584,8285,15867,1742,1741,3482,18340,19790,38128
1032,6464,7057,13514,1624,1902,3525,2066,2250,4316,34,36,72,157,154,310,3,9,12,23,19,42,12,8,19,15,8,26,11,23,35,0,0,0,2322,2511,4830,87,115,208,89,111,198,4123,4638,8764,1005,1109,2115,11593,12803,24395
1033,3705,3913,7613,1111,1252,2364,1188,1345,2535,49,41,85,85,111,195,12,11,18,41,27,62,16,12,26,9,5,19,106,104,212,0,0,0,1497,1658,3157,77,93,169,60,62,122,2743,3065,5813,537,605,1143,6982,7587,14566
1034,12154,12888,25038,2401,2769,5171,5703,6510,12211,402,458,857,524,536,1056,124,116,246,90,107,194,33,36,70,89,84,171,179,179,357,0,3,3,7142,8032,15175,926,846,1780,143,114,253,10616,11765,22374,1658,1660,3320,24430,26309,50734
1035,77472,80048,157520,9770,10091,19860,28576,30600,59177,427,499,928,888,905,1794,108,153,261,259,252,509,102,110,206,78,84,169,367,403,766,8,3,7,30811,33002,63815,5141,4612,9748,687,688,1372,46409,48388,94801,8025,8262,16281,131906,136697,268603
