SUA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
1000,3994,668,7301,37,32,258,403,964,167,1860,61,51,326,195,284,46,963,87,44,469,621,1049,126,2400,42,26,277,433,1053,153,1982,549,370,2542,1395,2163,343,7363,91,86,622,836,1888,367,3887,726,503,2758,2206,2699,277,9168,2258,2226,9902,3753,4163,646,22945,1750,1505,9384,7706,11510,1539,33388,107,61,489,285,573,71,1591,70,63,422,936,2953,219,4664,128,86,685,697,1198,747,3544,6658,5733,34462,26195,46237,7693,126978,706,512,5176,4778,13873,2449,27495,145,59,551,632,4669,253,6310,245,139,1608,1572,9868,895,14333,121,36,415,590,2546,144,3854,158,102,1221,1774,19856,1077,24188,106,54,659,711,3075,292,4891,290,164,2087,2275,9730,1307,15853,207,137,1633,2137,7246,1089,12457,92,75,621,980,5523,643,7945,118,68,569,390,845,108,2095,214,101,954,1015,1381,173,3838,72,49,503,757,1942,255,3581,1330,669,5258,2370,3576,553,13747,154,123,902,1222,3838,594,6834,1471,932,5042,4905,7857,719,20926,3270
1001,443,29,740,7,9,27,34,94,14,180,3,4,37,23,33,3,99,6,8,58,72,131,12,287,0,3,25,46,94,8,183,32,28,217,110,183,19,590,8,9,56,80,180,22,362,66,65,359,357,341,38,1229,271,281,956,342,353,38,2237,252,269,1327,877,1305,131,4165,6,4,21,29,44,5,111,12,13,35,132,339,18,550,13,4,43,43,88,66,254,737,734,3628,2710,4695,535,13042,10,12,67,49,140,14,295,0,0,4,5,39,0,56,76,37,340,346,1584,79,2460,5,0,27,37,145,8,227,10,16,129,196,2129,71,2562,9,7,61,78,340,20,513,37,22,276,373,1206,99,2014,20,11,167,233,790,49,1276,17,7,87,170,559,63,900,3,10,76,60,105,14,263,24,22,113,159,159,18,490,3,9,42,73,180,16,321,91,72,511,231,351,38,1300,17,13,92,129,412,39,710,151,119,678,744,972,78,2742,409
1002,63,12,152,0,0,4,3,7,0,11,4,3,12,5,10,0,26,4,0,25,14,38,0,82,0,0,9,5,21,0,33,25,18,83,35,42,6,211,9,3,17,18,37,9,93,17,9,61,27,30,0,140,346,110,463,130,120,19,1184,83,71,295,187,227,27,888,0,0,0,3,12,0,19,11,0,22,11,69,3,112,4,0,17,7,10,7,42,521,237,1139,558,848,126,3426,53,9,79,46,89,17,298,3,4,4,4,7,0,20,8,3,14,9,84,8,124,7,0,3,5,27,0,45,6,0,21,24,346,6,408,3,7,18,12,38,3,80,21,7,97,51,254,21,453,16,6,72,47,167,19,322,3,0,11,20,54,13,103,12,3,22,13,25,0,69,7,7,63,34,53,4,174,0,3,14,11,35,3,70,74,44,189,56,77,16,451,18,3,33,26,88,16,181,51,20,122,71,115,17,400,651
1003,128,9,243,0,0,5,7,12,4,30,4,3,10,10,8,0,33,0,0,10,26,30,3,66,3,0,11,17,42,7,80,11,13,102,36,41,3,205,4,0,16,24,39,7,96,12,12,79,38,38,14,192,95,71,362,90,98,17,728,91,62,361,205,331,57,1109,4,3,12,5,13,0,37,3,0,20,31,69,5,130,3,7,24,20,38,16,98,246,184,1158,669,1102,169,3532,13,3,21,16,49,8,99,0,0,4,7,20,3,36,6,3,41,33,185,8,275,0,0,5,8,39,4,58,7,3,45,48,567,28,698,5,0,10,14,52,3,86,11,4,91,95,264,37,504,10,10,87,90,249,18,465,0,0,17,28,90,19,153,3,4,20,19,31,3,78,9,5,38,39,41,6,134,3,3,30,31,76,7,153,40,22,235,70,82,15,458,5,0,28,46,96,9,189,41,24,162,100,136,21,489,147
1004,70,18,141,0,0,0,3,7,0,14,0,0,4,3,8,0,11,0,0,4,3,4,0,16,0,0,3,6,30,0,40,8,4,17,15,27,0,73,0,0,15,9,33,13,69,5,8,42,40,51,3,149,26,34,97,38,45,6,241,16,19,128,91,216,25,499,0,0,5,3,9,0,19,0,0,16,19,57,3,90,0,0,14,5,17,11,49,66,78,394,320,718,102,1681,0,0,6,7,26,0,50,0,0,0,0,4,0,5,0,0,8,14,92,9,125,0,0,3,6,19,4,35,0,0,11,21,344,11,389,3,0,10,6,36,0,50,5,5,39,50,218,27,348,8,0,31,42,156,34,261,0,0,3,5,56,4,76,0,3,3,3,22,0,35,0,0,4,11,10,0,35,0,0,10,10,46,0,70,10,10,43,32,45,7,151,0,0,22,21,68,17,129,17,16,68,68,132,7,312,39
1005,160,21,294,0,0,14,12,26,0,51,3,0,27,12,22,0,66,3,0,19,25,30,4,82,0,0,18,16,32,4,63,14,13,97,34,90,5,254,0,3,19,16,63,16,127,25,31,168,90,141,15,473,155,102,530,160,181,29,1153,89,83,457,288,415,44,1368,7,0,15,13,26,8,69,4,3,15,31,113,8,178,3,5,23,25,41,13,110,327,254,1623,920,1755,223,5098,4,10,46,31,83,4,179,0,0,15,15,119,7,158,18,8,110,100,545,35,818,12,0,34,33,75,3,156,10,0,65,71,724,28,891,0,3,11,20,88,14,130,11,6,122,109,441,48,739,8,7,88,78,290,27,492,5,0,19,31,201,13,263,7,3,48,18,68,3,157,7,3,40,38,47,6,145,0,0,32,21,63,6,127,35,27,206,78,147,14,500,3,5,32,33,126,19,218,56,57,302,210,424,34,1084,253
1006,152,31,344,0,0,22,15,42,7,87,10,3,20,10,11,0,48,8,3,33,32,48,10,128,4,3,24,49,62,3,138,33,29,146,76,94,14,390,7,3,30,54,74,16,178,18,11,78,64,54,9,231,167,105,378,156,130,31,964,132,65,411,282,381,66,1335,9,3,23,18,23,3,77,4,3,30,57,155,10,261,9,7,34,32,51,26,159,442,270,1445,1115,1693,279,5252,9,0,34,31,88,14,180,5,0,22,23,90,4,139,43,9,136,104,465,27,788,3,0,8,10,74,0,100,18,6,75,90,888,38,1125,18,3,47,56,116,12,245,34,11,126,114,398,41,725,22,9,129,134,291,42,618,9,9,60,81,237,22,407,11,8,42,15,23,7,116,29,7,80,72,78,10,283,6,7,45,71,105,13,251,101,47,347,140,168,29,837,14,5,46,84,181,27,357,53,26,150,137,171,21,563,265
1007,88,20,143,0,0,0,4,10,3,15,0,0,3,6,10,0,22,0,3,3,6,21,3,37,0,0,0,3,18,0,20,0,4,12,7,21,3,55,0,0,0,3,28,6,40,6,8,43,33,71,13,172,29,34,156,52,84,9,362,57,44,200,171,277,39,792,0,0,0,3,12,0,13,0,4,3,15,63,7,89,0,0,8,3,9,13,35,108,102,473,377,859,136,2050,3,0,4,3,26,3,40,5,4,49,37,348,19,465,0,0,4,7,83,7,103,3,5,3,12,87,3,109,0,0,3,10,184,10,209,0,0,0,3,71,4,76,6,4,25,33,181,25,275,4,0,16,30,155,33,235,0,0,3,17,67,11,100,0,0,12,12,31,0,47,0,6,5,18,25,3,57,0,0,0,8,30,0,37,3,7,28,22,36,5,99,0,0,3,8,55,9,75,16,14,66,74,187,14,373,41
1008,75,8,115,0,0,0,6,7,0,18,0,0,3,0,4,0,4,0,0,0,6,18,0,26,0,0,3,11,31,3,43,3,5,28,16,28,3,82,0,0,4,17,36,0,63,8,5,31,11,25,0,86,34,34,147,66,64,7,356,23,27,171,113,211,28,566,0,0,3,3,3,0,14,3,0,3,6,76,3,99,0,0,3,6,14,9,45,72,76,449,350,751,94,1788,3,0,8,10,53,3,80,0,0,0,3,16,0,19,0,0,3,21,107,4,138,7,4,10,29,41,6,90,0,0,24,29,403,10,473,0,0,4,5,44,3,59,3,0,27,35,198,18,291,0,0,20,33,137,11,197,0,0,3,20,63,11,105,0,0,3,4,5,0,17,0,0,8,9,26,0,49,4,0,3,15,45,3,73,11,5,63,31,49,7,164,0,4,4,26,89,3,136,9,4,57,36,87,6,204,57
1009,1188,166,2217,13,7,71,141,227,29,488,30,15,187,119,167,23,535,64,26,311,435,591,61,1490,19,16,103,226,447,63,865,184,103,809,592,685,134,2508,31,22,224,370,678,89,1414,231,173,829,789,825,82,2939,786,510,3057,1014,1084,151,6592,719,596,4028,2948,4666,566,13520,14,18,122,119,233,27,530,41,27,198,456,1215,82,2014,39,26,190,206,408,238,1103,2360,1618,11601,9409,15681,2144,42808,10,3,62,58,219,31,374,20,5,58,69,351,15,519,148,50,664,764,3197,215,5036,45,11,121,205,693,26,1095,70,35,517,867,8271,404,10164,84,21,329,378,916,80,1818,142,45,963,1125,3735,404,6411,72,12,551,802,2280,256,3983,51,32,250,461,1604,164,2547,76,41,445,392,668,72,1695,168,74,729,865,1054,104,3003,39,23,202,400,879,95,1637,548,200,2078,1243,1424,239,5731,66,34,383,594,1460,164,2703,404,303,1578,1731,2392,202,6607,1239
