SUA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
1000,245,550,516,419,625,104,41,2495,83,263,219,143,223,37,11,987,11,19,20,12,24,0,0,84,8,24,32,19,20,3,3,112,344,858,781,593,888,147,56,3676,48,98,76,63,80,23,3,392,20,57,38,24,15,3,0,158,62,155,117,87,98,19,3,549,409,1016,903,682,984,169,56,4224,263,477,298,237,306,56,19,1651,24,35,27,29,17,0,3,127,701,1533,1229,944,1305,226,74,6000,605,1581,1320,1072,1571,293,76,6519,1622,3277,2177,1525,1855,290,65,10803,193,168,98,65,93,20,10,650,67,88,80,53,55,6,0,352,2493,5114,3676,2706,3577,611,151,18323,135,433,327,214,240,28,9,1387,364,606,277,180,159,23,9,1624,501,1039,606,392,397,54,13,3006,2993,6152,4280,3103,3977,661,168,21331,5530,4864,2529,1472,1381,240,52,16063,104,121,83,53,47,3,0,399,8627,11140,6887,4624,5395,900,224,37798,851,2134,1831,1490,2187,400,117,9012
1001,37,71,60,55,64,19,9,306,9,22,12,6,14,5,0,77,0,3,0,0,0,0,0,3,3,0,3,0,3,0,0,7,50,98,81,62,79,26,9,395,5,9,6,7,5,0,0,37,0,3,0,6,0,0,3,10,5,9,11,14,6,3,4,52,56,105,86,73,84,29,12,448,31,50,33,22,22,11,4,171,4,0,0,0,0,0,0,5,92,160,119,99,105,39,15,626,62,186,175,141,212,50,21,851,218,384,235,152,199,48,9,1237,31,26,14,5,9,5,0,83,7,8,7,5,15,0,0,39,313,599,429,306,433,97,29,2212,28,55,34,24,27,0,0,168,47,77,28,22,9,0,0,188,77,133,60,40,39,3,0,356,389,732,492,349,471,101,29,2568,556,514,270,157,128,27,9,1663,12,8,8,8,0,0,0,31,959,1244,764,515,604,132,42,4261,98,252,234,192,275,71,27,1151
1002,0,11,15,9,17,7,6,68,3,3,3,3,7,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,21,21,13,27,7,6,98,0,7,4,3,3,0,0,10,0,0,0,0,0,0,0,0,0,7,4,3,3,0,0,10,7,27,23,16,27,7,6,110,4,13,7,9,3,0,0,38,0,0,3,0,0,0,0,3,14,40,36,27,32,7,6,148,26,37,52,44,58,16,4,240,41,63,41,40,49,4,0,256,4,0,3,3,4,3,0,21,3,0,3,0,0,0,0,9,79,105,103,92,117,24,0,519,3,8,7,7,0,0,0,29,11,23,5,0,4,0,0,46,16,27,10,8,8,3,0,70,92,137,108,97,125,23,7,586,148,119,57,34,30,9,3,397,3,3,3,3,0,0,0,14,242,256,171,132,155,35,12,1000,30,52,67,56,71,17,4,305
1003,3,18,11,19,22,7,3,79,3,6,4,10,4,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,3,28,13,25,25,8,0,108,0,3,0,0,3,0,0,8,0,4,0,0,3,0,0,7,0,3,0,0,8,0,0,17,3,28,13,27,31,8,0,125,7,3,3,5,8,4,0,26,0,0,0,0,0,0,0,0,13,36,18,38,38,11,0,149,13,39,40,41,53,13,3,202,46,107,67,51,68,16,0,357,0,4,3,0,3,0,0,20,0,0,0,0,0,3,0,8,63,148,111,100,128,33,3,584,3,4,0,0,3,3,0,15,6,7,3,5,0,4,0,28,7,11,3,9,7,3,0,46,71,161,117,105,133,38,6,625,72,97,64,29,30,8,9,317,0,4,3,0,0,0,0,6,149,268,187,135,163,43,11,955,16,55,50,64,74,24,8,282
1004,9,8,5,10,15,4,0,43,0,4,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,16,10,12,4,0,61,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,3,3,3,0,0,5,0,0,8,9,16,12,15,15,4,0,74,3,11,11,8,3,0,0,38,0,0,0,0,0,0,0,0,15,30,22,22,21,3,0,116,9,23,17,18,38,5,0,111,37,92,55,27,40,11,0,256,6,5,3,4,0,0,0,19,0,0,0,3,0,0,0,4,50,119,78,52,80,12,0,392,3,13,4,4,8,0,0,30,9,12,7,3,3,0,0,29,12,23,9,5,10,0,0,56,60,142,86,57,86,12,0,451,98,91,54,27,18,5,0,296,0,3,0,0,0,0,0,3,156,235,140,83,105,16,3,747,19,26,27,28,53,9,0,154
1005,14,34,29,15,27,13,0,132,3,5,3,3,3,0,0,24,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,37,32,21,35,10,3,154,0,3,3,0,3,0,0,10,0,0,0,3,3,0,0,6,0,0,4,3,3,0,0,16,14,40,33,28,35,10,3,171,4,4,7,3,9,0,0,33,0,3,0,0,0,0,0,3,24,51,43,29,48,16,3,211,41,110,84,64,95,29,10,430,97,154,96,64,67,19,4,505,18,11,4,0,3,0,0,37,0,3,3,3,6,0,0,10,153,270,189,132,174,50,17,984,8,24,9,5,0,3,0,56,14,35,19,8,10,0,0,94,21,60,25,19,19,3,0,149,179,332,212,148,185,51,17,1128,254,173,103,62,68,11,0,673,9,3,3,0,0,0,0,11,442,511,316,218,253,63,17,1818,52,140,108,79,126,39,12,556
1006,9,7,11,9,22,7,0,69,0,10,3,0,8,0,0,25,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,12,20,12,18,30,4,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,12,18,30,4,3,100,3,5,8,4,3,0,0,17,0,0,0,0,0,0,0,0,15,29,21,19,35,7,3,123,18,59,73,64,108,27,4,363,65,128,80,65,90,26,8,463,3,4,3,3,10,0,0,26,0,4,3,4,4,0,0,18,86,201,157,139,215,57,17,867,8,9,4,0,6,0,0,22,7,19,12,10,8,3,0,53,16,22,13,12,8,3,0,75,106,220,171,152,220,56,17,942,140,112,74,44,58,11,0,444,0,0,0,0,3,0,0,3,241,338,251,197,281,69,16,1385,25,72,83,79,133,35,9,435
1007,4,14,14,6,16,5,0,58,3,8,0,0,10,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,14,5,21,3,0,78,0,0,0,0,0,0,0,8,0,3,0,6,0,0,0,4,0,4,0,3,0,0,0,10,7,28,13,14,27,3,0,89,5,10,3,10,4,0,0,35,0,0,0,0,0,0,0,0,11,40,17,17,32,5,0,124,13,43,30,46,41,9,0,176,75,76,57,32,39,4,0,285,7,9,3,4,3,0,0,28,0,0,3,0,5,0,0,10,93,122,97,85,90,15,0,497,8,11,11,11,7,0,0,42,11,16,4,5,3,0,0,40,16,23,11,17,13,0,0,82,107,147,108,97,104,15,0,576,173,117,54,27,44,3,0,427,18,9,3,0,0,0,0,27,297,280,166,127,140,17,0,1038,16,55,40,48,51,12,0,230
1008,3,9,6,4,16,3,0,40,0,4,8,5,7,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,13,6,23,3,0,61,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,16,13,6,23,3,0,62,3,9,3,3,10,3,0,30,6,0,0,0,0,0,0,6,12,22,22,12,27,4,0,101,3,13,20,12,23,4,0,83,14,50,56,41,46,8,0,208,9,4,4,3,0,0,0,18,3,0,0,0,0,0,0,4,29,76,74,52,73,10,0,318,0,3,4,0,0,0,0,9,6,13,3,3,0,0,0,24,4,15,6,3,3,0,0,33,37,91,88,53,76,10,0,352,57,60,39,16,27,7,0,201,3,0,0,0,0,0,0,9,100,151,123,77,98,18,4,568,5,27,26,13,40,9,0,122
1009,105,175,167,157,251,93,30,975,21,66,63,50,79,14,5,294,6,3,4,6,8,4,0,23,3,15,3,13,3,0,0,32,130,261,236,222,340,112,35,1328,5,17,17,15,22,0,4,77,8,14,4,0,5,0,3,30,11,28,22,12,22,0,6,112,145,288,256,233,358,112,40,1433,68,105,87,66,84,23,16,447,3,0,3,4,0,0,0,18,217,397,350,299,446,139,53,1897,239,648,576,442,753,257,127,3047,588,1288,911,598,753,178,75,4388,78,63,44,19,46,8,7,272,22,26,20,17,21,10,0,110,922,2033,1550,1086,1567,450,220,7816,63,150,80,45,75,13,3,434,153,261,117,61,80,18,7,697,219,413,194,108,157,31,9,1122,1141,2444,1740,1196,1722,483,225,8940,1940,1669,877,518,559,120,55,5728,19,19,17,9,4,0,0,72,3094,4134,2632,1720,2278,600,281,14746,339,820,740,601,1007,346,157,4022
