SUA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
1000,15823,114553,134166,51116,30530,346183,16822,363003
1001,2292,12064,12577,3639,1577,32149,1192,33337
1002,683,3232,2704,758,411,7785,298,8089
1003,713,4162,3562,898,335,9672,428,10102
1004,392,2608,2171,619,255,6048,320,6371
1005,883,4321,4435,1493,756,11888,446,12333
1006,582,4864,5248,1794,987,13474,501,13977
1007,690,2936,2260,630,255,6770,416,7184
1008,327,2692,2433,726,324,6502,311,6814
1009,8322,43782,41469,13225,6956,113756,4698,118450
1010,1629,9814,9178,2615,1234,24472,1074,25549
1011,855,4585,4743,1483,668,12330,550,12879
1012,677,4199,2595,642,192,8307,488,8794
1013,766,3139,2797,998,475,8185,390,8575
1014,640,2952,2298,649,300,6837,302,7143
1015,447,2140,2401,742,389,6123,307,6436
1016,436,1755,1668,558,290,4707,304,5015
1017,923,4468,3551,1043,447,10431,441,10869
1018,617,1908,1436,493,273,4719,267,4985
1019,404,3020,2952,1192,716,8284,345,8632
1020,278,1399,1638,504,205,4024,226,4244
1021,339,1544,1662,456,220,4224,169,4395
1022,451,4095,3789,1040,459,9834,429,10257
1023,11984,59726,64227,20245,10039,166225,6015,172235
1024,868,4752,4409,1473,754,12247,564,12808
1025,1012,5180,5255,1480,638,13562,613,14179
1026,316,1416,1363,468,206,3762,197,3958
1027,1304,7646,6352,1560,640,17504,751,18260
1028,266,1777,2215,785,389,5436,160,5596
1029,280,3027,2520,692,354,6877,363,7236
1030,170578,554713,484281,148400,80013,1437984,48684,1486674
1031,1104,5474,5487,1508,700,14273,757,15027
1032,906,3983,3186,1034,477,9587,497,10084
1033,301,2568,2211,550,244,5874,282,6154
1034,1274,7102,7408,2259,1053,19093,732,19823
1035,8246,35472,36470,12066,6550,98807,3836,102649
