SUA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1000,1241,7725,42416,146829,98006,19745,4844,8331,329142,101,1009,4800,2726,332,61,34,456,9510,17,167,941,1078,148,22,7,86,2464,121,1174,5742,3805,479,80,38,541,11978,181,2253,5773,1509,160,31,33,640,10578,4,77,295,122,18,0,0,17,534,3,39,65,25,6,0,0,13,160,3,45,17,21,12,0,3,5,112,197,2412,6147,1677,196,40,34,685,11383,653,1954,2017,1207,519,112,76,516,7051,72,297,666,1081,606,180,171,384,3448,2275,13554,56987,154602,99811,20148,5165,10455,363003
1001,29,165,2789,14019,8793,1031,182,530,27534,16,538,2877,653,43,3,4,159,4290,7,110,203,153,16,0,3,24,517,21,645,3083,806,56,3,8,184,4815,5,113,408,52,3,0,0,47,626,0,8,46,0,0,0,0,0,52,0,3,22,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,5,121,478,52,8,0,0,46,711,17,38,36,26,16,0,0,9,139,6,7,36,42,33,13,4,3,138,67,970,6424,14946,8902,1051,195,780,33337
1002,7,124,700,3072,1987,458,111,130,6590,4,74,490,142,10,4,0,25,749,0,29,76,20,3,0,0,6,143,4,104,566,161,17,6,0,28,888,5,137,234,49,4,0,6,17,459,0,9,26,6,0,0,0,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,152,258,50,5,0,6,25,503,3,8,9,12,3,0,0,3,35,0,9,16,31,7,3,3,8,67,17,398,1548,3328,2016,471,121,190,8089
1003,3,53,589,2771,1946,350,65,138,5917,3,72,752,692,60,8,3,64,1649,0,110,550,634,71,6,0,47,1422,0,177,1303,1324,130,13,4,109,3070,3,63,234,96,11,4,0,18,429,0,3,104,46,0,0,0,3,158,0,0,26,28,0,0,0,0,55,0,0,0,0,0,0,0,0,3,3,65,358,175,17,4,0,19,638,11,110,219,41,3,0,0,32,421,0,8,12,17,4,0,0,4,57,21,423,2488,4328,2095,365,74,298,10102
1004,6,46,490,2319,1595,310,63,125,4965,4,11,136,165,7,0,0,17,338,0,36,114,140,25,3,3,3,320,3,42,250,304,28,3,4,23,655,3,65,326,129,14,3,3,27,567,0,0,15,0,0,0,0,3,21,0,0,15,4,0,0,0,0,28,0,0,3,0,0,0,0,0,7,3,62,365,138,17,3,3,25,613,3,25,38,15,3,0,0,8,93,0,3,15,8,8,0,0,4,40,19,185,1154,2788,1653,313,67,180,6371
1005,15,76,755,4288,3884,770,153,186,10125,5,99,624,326,33,4,0,37,1124,6,74,92,115,24,6,0,9,327,12,174,710,442,58,6,3,44,1452,16,120,342,56,3,0,4,22,570,0,3,6,0,0,0,0,0,11,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,125,350,63,3,0,4,22,579,0,5,17,6,3,0,0,0,42,0,61,7,8,3,3,0,49,135,39,443,1840,4810,3957,777,162,300,12333
1006,16,154,1122,5177,4491,985,226,249,12420,0,69,437,189,22,0,0,25,743,0,0,93,164,23,0,0,3,293,0,65,533,353,45,4,0,29,1032,4,76,160,37,11,0,0,16,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,77,159,39,11,0,0,18,303,13,29,41,10,8,0,0,10,117,0,5,25,26,26,7,7,14,101,33,328,1885,5610,4575,998,234,311,13977
1007,7,137,1295,3806,1129,172,39,201,6792,3,27,73,33,7,0,0,7,152,0,0,5,5,0,0,0,0,16,7,28,74,34,5,0,0,6,164,3,85,72,5,3,0,0,12,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,68,5,3,0,0,12,184,0,9,0,3,0,0,0,4,18,0,3,9,7,3,0,0,8,23,19,257,1450,3859,1144,175,41,233,7184
1008,16,65,721,2563,1629,283,54,128,5455,0,34,362,134,0,3,0,21,559,0,4,52,22,4,0,0,3,91,0,35,412,160,10,3,0,23,650,0,62,147,38,6,0,0,13,262,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,148,47,6,0,0,13,277,26,131,183,31,7,0,0,28,403,0,0,15,11,4,0,0,4,44,40,296,1484,2811,1650,284,56,193,6814
1009,138,1414,11022,39003,30894,6795,1366,1953,92599,21,582,4433,3702,140,29,22,433,9360,23,475,1521,3100,333,22,8,167,5642,46,1054,5953,6803,470,46,28,603,15006,74,889,2932,1626,169,22,14,313,6037,4,102,991,343,13,4,0,55,1522,6,132,1035,382,14,0,0,36,1606,6,26,19,8,6,0,0,6,65,91,1149,4981,2360,196,29,11,412,9232,58,329,394,178,58,8,3,67,1100,24,97,125,87,59,4,4,123,520,361,4038,22469,48437,31681,6887,1414,3156,118450
