SUA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
1000,2076,12631,1057,4991,1969,771,141,757,208,24600,2514,12483,201,2646,1314,319,62,356,141,20044,5119,3588,613,2198,13018,3331,266,1458,317,29913,1986,4888,451,8840,2869,943,148,1035,240,21407,631,1413,276,509,705,383,43,247,51,4264,977,235,2641,1958,1300,967,125,905,102,9207,33,18,3,31,27,21,3,32,9,166,209,296,46,195,258,73,27,95,51,1243,611,525,278,895,870,638,70,616,412,4917,16332,38553,7013,23107,24202,8173,1188,6739,1658,126978,1140,2028,639,341,540,215,102,284,61,5357,576,948,503,157,424,168,93,250,58,3183,7587,3559,21305,1256,1539,1433,6662,4880,768,48995,4272,803,9557,423,479,542,1602,2258,271,20210,7540,2025,2694,624,1097,737,1221,2952,280,19167,2706,15902,1275,6018,2085,845,292,977,274,30365,3573,16159,493,3004,1468,402,275,569,184,26115,9784,6220,1348,2759,14275,4857,1083,2290,517,43156,3442,7125,820,11578,3333,1184,439,1521,382,29827,1000,2275,672,695,825,510,151,497,88,6710
1001,98,1526,88,601,210,87,7,41,17,2666,138,1200,15,285,121,43,4,23,6,1836,472,515,70,270,1470,387,32,122,30,3363,140,504,47,1136,302,138,10,114,13,2413,20,155,26,40,62,50,0,16,3,370,95,26,350,235,151,167,7,103,4,1132,0,0,0,6,3,0,0,3,0,17,16,20,6,25,29,11,3,3,0,113,17,21,19,56,47,49,8,55,33,310,1079,4187,724,2714,2560,1008,101,549,121,13042,92,192,56,41,49,22,16,28,7,502,65,162,94,18,79,37,24,30,3,517,548,429,2116,138,189,161,541,423,67,4600,254,75,1107,41,53,51,122,191,17,1921,104,120,177,42,67,55,63,107,9,750,150,1989,112,773,226,98,23,50,20,3459,234,1657,43,327,142,50,30,37,11,2534,1054,1014,207,370,1708,610,196,218,63,5434,227,720,83,1441,356,183,62,176,30,3277,39,246,55,54,78,75,23,36,8,621
1002,24,354,14,121,48,17,0,19,3,605,51,416,3,68,46,14,0,16,6,618,79,139,10,43,349,82,0,32,3,745,62,255,19,202,88,36,0,21,13,707,8,54,3,9,34,11,0,8,0,128,8,10,53,41,26,23,4,20,0,190,0,0,0,5,0,0,0,0,0,3,3,3,3,3,10,0,0,0,0,27,8,16,4,4,10,7,0,13,5,69,275,1390,145,532,668,207,9,157,36,3426,38,213,41,30,28,8,0,21,6,377,17,70,21,3,12,8,0,13,0,135,72,57,257,14,32,27,70,57,15,599,78,27,185,6,4,12,17,36,9,370,76,114,62,13,38,25,13,61,0,403,33,466,17,159,49,19,3,35,8,790,81,543,18,83,55,13,0,23,6,827,192,256,43,71,407,132,22,64,7,1192,113,491,42,313,114,56,9,43,17,1210,13,96,14,22,42,15,0,10,3,213
1003,32,439,29,152,55,26,3,15,12,748,45,409,6,95,32,13,0,9,7,610,122,133,14,61,338,110,6,30,12,824,48,181,20,242,73,34,3,24,11,623,12,56,5,18,17,18,0,6,0,136,28,7,67,72,37,43,0,11,4,269,0,0,0,0,0,0,0,0,0,0,3,12,3,5,9,0,0,0,0,33,3,8,8,19,12,13,0,9,7,78,302,1289,181,696,609,270,15,125,51,3532,18,56,19,11,11,9,0,9,0,139,18,27,18,3,11,9,4,9,0,95,111,122,355,39,35,38,65,85,7,853,112,30,298,10,21,14,23,56,4,577,37,34,62,23,12,9,10,46,8,231,47,624,34,199,62,31,3,22,11,1039,78,568,8,117,40,18,7,14,3,858,260,272,36,88,380,169,19,62,17,1301,68,278,38,329,86,39,6,39,12,897,16,88,20,28,22,19,3,18,0,217
1004,18,165,16,78,29,10,0,9,4,320,15,138,3,29,18,3,0,3,4,214,71,41,15,39,162,83,0,14,7,428,26,68,6,153,55,22,0,17,3,350,10,12,3,3,10,5,0,0,0,49,24,4,43,33,19,20,0,14,0,160,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,3,0,18,3,4,0,10,10,11,0,9,13,53,176,462,97,357,321,163,7,68,31,1681,8,16,3,6,7,3,0,4,7,62,11,11,14,0,6,0,0,4,0,36,55,34,189,21,22,31,52,60,11,465,62,13,199,11,5,11,9,32,7,363,20,9,24,3,4,7,7,26,3,112,27,213,20,95,24,17,0,8,4,409,32,198,5,34,20,4,0,3,7,303,134,74,26,56,179,114,10,26,4,631,43,104,7,201,66,30,3,25,4,487,13,20,8,4,10,7,0,3,0,72
1005,38,498,42,222,61,45,3,26,3,924,67,611,5,110,54,32,0,5,5,892,170,220,29,96,594,147,11,62,20,1345,67,244,21,369,105,49,5,39,13,907,29,65,10,34,37,13,5,5,4,204,32,4,120,79,43,34,3,28,3,357,0,0,0,0,3,3,0,3,0,12,6,8,4,11,8,3,0,3,3,47,3,8,3,23,17,15,0,23,8,108,448,1755,275,965,969,365,31,225,56,5098,32,83,18,13,10,10,4,6,0,181,30,88,27,6,24,17,3,12,0,206,178,166,796,80,50,55,193,185,19,1716,116,34,373,28,18,18,58,93,4,736,56,54,55,26,19,25,23,46,6,307,56,643,51,292,79,51,15,35,3,1226,115,796,12,131,66,31,10,15,5,1181,384,371,67,142,670,232,53,105,22,2055,92,357,30,556,122,59,17,63,18,1313,52,109,25,37,37,32,11,12,6,313
1006,41,513,54,179,89,35,7,17,4,935,61,514,7,66,58,22,3,11,5,755,209,199,22,131,476,183,16,51,11,1295,73,283,22,339,120,50,0,44,10,949,41,109,21,32,34,40,4,10,3,291,44,8,138,100,55,56,3,40,0,442,0,0,0,0,0,3,0,0,0,6,13,10,0,12,16,5,0,7,0,57,14,15,3,16,33,22,0,21,14,140,544,1743,330,909,948,437,40,239,56,5252,51,96,21,14,29,12,3,6,5,238,28,48,28,9,7,9,4,7,6,139,260,222,745,54,57,74,185,164,22,1784,147,67,476,9,18,20,45,82,10,884,57,31,149,17,25,20,19,66,7,396,64,689,70,213,87,38,9,23,12,1207,99,700,27,76,66,33,11,21,8,1042,479,403,63,177,551,266,67,98,19,2120,154,478,57,450,146,73,20,59,12,1448,79,182,56,45,37,56,4,15,9,480
1007,29,292,15,129,23,19,0,11,0,519,17,201,0,58,16,3,0,0,0,304,70,47,9,39,231,38,3,23,4,464,24,94,10,185,37,20,0,12,4,386,3,15,0,4,3,0,0,0,0,27,12,7,56,47,15,8,0,12,0,161,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,11,3,12,3,28,12,11,0,11,5,83,172,693,103,498,376,107,10,78,18,2050,3,29,3,3,7,0,3,0,0,41,8,16,21,7,12,5,3,10,3,73,76,52,497,30,35,16,130,65,9,911,32,6,100,18,9,5,35,21,3,225,11,12,16,3,5,3,18,9,0,72,29,376,26,150,28,16,3,13,3,638,36,276,8,70,20,3,5,7,6,428,124,83,15,55,253,68,27,28,7,674,31,122,11,267,40,26,6,15,4,522,7,24,0,4,9,0,0,0,0,50
1008,18,227,25,92,14,13,0,13,0,403,24,193,3,49,23,0,0,0,0,295,59,42,8,35,176,73,0,16,4,417,21,62,3,136,35,18,0,14,7,292,3,19,3,4,6,3,0,3,3,49,16,5,63,35,18,26,0,13,0,177,0,0,0,0,0,0,0,0,0,3,3,6,0,3,3,0,0,0,3,18,3,6,3,13,8,8,4,8,12,53,138,587,131,370,303,155,10,70,31,1788,9,25,8,3,3,0,0,0,0,55,9,14,10,0,6,5,0,3,0,45,69,57,258,25,21,33,69,92,8,633,58,15,183,4,5,3,32,58,0,358,12,15,45,9,7,3,12,30,0,129,23,275,34,114,14,14,0,14,0,488,37,285,4,54,23,0,6,3,0,413,100,75,18,50,200,102,10,27,9,594,25,95,6,176,42,19,8,14,5,399,3,29,13,6,6,6,3,8,3,78
1009,327,4776,296,1939,587,272,33,170,59,8454,459,3878,45,839,396,142,21,53,35,5869,1647,1611,206,856,5008,1417,87,406,128,11373,516,1846,165,3263,1128,467,51,280,102,7823,186,601,131,177,308,221,12,53,17,1707,295,121,970,799,537,446,21,247,31,3471,0,5,3,8,11,3,4,7,0,50,50,96,23,52,72,29,5,18,16,358,67,119,63,202,206,171,18,115,148,1105,3845,13785,2289,8339,8707,3392,336,1546,573,42808,264,703,239,126,151,85,36,70,18,1699,347,923,297,63,235,103,54,108,33,2155,1692,1582,5927,486,692,590,1364,1240,205,13773,1182,370,4516,177,223,180,398,891,109,8039,190,235,780,101,127,116,161,388,35,2132,510,6324,397,2370,640,324,93,243,86,10974,693,5237,121,988,459,169,79,99,58,7896,3643,3166,566,1195,5837,2268,449,760,226,18111,872,2678,320,4543,1340,627,174,442,148,11155,321,1107,351,252,375,323,68,154,35,2983
