SUA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
1000,1071,2017,4826,5809,7793,8633,5541,2034,378,38100,77,385,1891,2332,2092,1219,143,15,4,8151,877,1784,3409,3791,4303,3507,713,90,11,18478,50,219,743,1033,1322,884,102,8,7,4363,1741,3184,6110,6361,6990,5597,1188,91,16,31283,274,396,901,1190,1435,1242,330,53,8,5819,2213,1617,2237,2331,2624,2487,798,125,13,14436,2514,1278,1703,1493,1631,1695,623,71,4,11014,189,495,1454,2224,3419,3492,1307,130,14,12717,74,106,243,283,397,423,106,14,0,1642,25,70,252,411,538,422,130,26,6,1890,76,113,272,444,546,514,243,52,8,2278,138,328,981,1509,1876,1779,885,121,4,7623,140,331,760,997,1321,1228,316,46,3,5136,270,731,2297,3559,4808,3616,579,44,6,15926,119,289,1154,1673,2077,2430,616,54,8,8426,100,323,1103,1574,2308,2495,620,59,11,8591,208,266,423,512,639,583,220,35,12,2909,592,987,1653,1670,1861,1552,533,82,17,8938,738,968,1599,1930,2418,2052,873,325,76,10981
1001,13,33,65,61,78,80,51,10,5,388,0,3,28,13,17,9,3,0,0,71,86,293,730,704,739,509,63,3,0,3121,3,13,63,48,82,54,3,0,0,260,186,441,837,610,528,444,82,3,0,3134,22,47,148,162,168,115,35,3,0,706,241,273,435,349,277,228,72,11,0,1883,390,193,243,160,115,95,32,3,0,1231,20,79,254,307,369,313,120,4,0,1465,12,27,72,60,36,21,7,0,0,232,3,7,50,65,83,60,13,5,0,287,4,18,42,36,43,39,25,0,0,205,15,58,179,188,165,168,74,4,0,840,15,47,111,122,143,125,41,3,0,618,135,341,526,458,472,283,32,0,0,2238,22,62,187,209,214,222,33,3,0,964,13,38,243,258,269,228,61,4,3,1119,32,22,26,35,35,25,3,0,0,182,51,119,206,165,165,150,39,9,0,908,52,114,200,181,219,142,61,7,0,980
1002,14,45,71,48,56,25,20,12,0,302,0,0,9,6,7,6,0,0,0,32,16,24,40,27,34,18,12,3,0,160,0,4,17,10,17,9,0,0,0,63,31,62,111,83,93,91,20,0,0,503,8,10,26,15,22,17,7,0,0,109,84,127,113,79,73,39,8,3,0,534,104,81,81,47,36,37,8,0,0,401,3,11,25,35,51,50,9,5,0,188,0,3,10,17,11,11,0,0,0,56,0,5,20,30,24,12,4,0,0,102,0,7,9,4,8,11,8,0,0,44,3,25,53,55,57,57,26,3,0,282,4,29,29,25,39,23,11,0,0,158,4,11,58,66,90,77,16,0,0,325,10,48,139,149,224,195,45,4,0,811,5,28,85,72,87,65,21,0,0,358,3,3,13,10,13,10,3,0,0,50,10,26,35,23,38,25,7,4,0,175,7,28,32,29,29,18,8,3,0,149
1003,10,11,20,16,19,23,24,3,0,128,0,3,16,21,10,15,0,0,0,60,6,40,53,71,60,50,14,0,0,301,0,0,15,16,8,12,3,0,0,64,29,74,189,176,207,137,29,0,0,848,3,5,6,26,33,20,7,0,0,98,103,54,82,76,97,90,27,3,0,536,92,54,93,72,60,48,22,4,0,456,0,14,19,37,67,68,27,0,0,239,3,0,11,10,18,12,3,0,0,59,0,0,13,29,19,17,14,0,0,93,0,0,5,30,14,28,17,0,0,92,3,9,37,77,63,70,28,0,3,296,4,9,23,43,42,39,10,0,0,162,4,6,42,85,118,96,13,0,0,363,6,9,50,68,106,79,18,0,0,337,3,16,58,78,131,122,27,0,0,437,3,9,7,13,16,11,11,0,0,70,8,14,25,31,37,46,15,0,0,178,7,13,38,53,42,38,13,6,4,223
1004,4,0,14,16,17,7,7,4,0,68,0,0,3,7,0,0,0,0,0,12,4,11,28,20,31,38,8,3,0,143,0,0,11,4,9,13,0,0,0,44,27,38,99,106,108,86,25,0,0,500,0,6,12,15,10,13,3,0,0,56,51,34,58,65,66,73,13,3,0,363,59,40,39,39,33,48,16,0,0,280,0,4,12,28,33,43,17,0,0,142,0,4,9,7,6,10,0,0,0,36,0,3,7,7,13,6,5,0,0,33,0,3,3,11,5,7,8,0,0,31,0,0,13,15,17,26,18,0,0,91,6,3,14,18,28,32,4,0,0,108,0,6,31,38,67,45,9,3,0,204,0,3,18,24,25,33,7,0,0,110,0,3,17,29,57,33,9,0,0,153,4,4,4,4,11,8,7,0,0,46,3,10,27,24,36,25,5,0,0,138,9,16,36,24,25,28,7,5,0,155
1005,7,13,43,36,51,37,18,10,0,219,5,12,80,46,41,23,0,0,0,202,27,76,197,237,236,159,21,7,0,965,0,3,26,31,44,34,0,0,0,137,72,147,333,204,176,127,18,7,0,1094,3,23,53,40,29,36,13,0,0,199,88,144,193,112,93,64,30,3,0,716,123,105,109,57,37,40,15,3,0,495,11,20,62,95,115,102,35,4,0,430,7,14,40,32,25,14,0,0,0,126,0,4,18,19,25,13,3,0,0,83,4,7,22,14,23,21,5,0,0,96,3,21,61,59,52,55,20,10,0,285,6,16,43,45,44,42,4,0,0,199,6,51,170,190,210,143,16,5,0,793,15,51,101,117,129,125,24,4,0,558,11,52,88,78,97,101,24,0,0,449,15,19,22,10,12,15,8,0,0,89,18,41,89,77,41,40,17,0,0,324,27,28,76,54,58,49,21,7,3,326
1006,18,11,30,39,40,38,29,14,3,222,0,9,34,45,35,22,6,0,0,149,19,60,162,171,243,190,38,10,0,892,0,4,26,27,40,26,0,0,0,122,86,161,298,275,268,232,53,7,0,1380,7,24,27,54,66,44,16,9,0,243,106,69,125,109,99,91,59,6,0,673,190,92,122,82,70,53,20,3,0,629,4,20,83,97,153,162,48,7,0,572,8,6,13,21,25,22,8,3,0,109,0,3,19,28,60,43,26,7,0,197,3,10,12,32,31,21,23,0,0,142,6,16,66,96,116,128,82,19,0,531,4,27,47,60,72,70,25,0,0,302,3,4,71,95,142,77,21,5,0,412,5,10,48,82,125,110,46,6,0,438,4,18,62,83,97,106,44,12,0,422,11,10,19,21,22,20,15,0,0,113,13,31,57,60,74,57,30,8,0,335,17,48,53,92,103,79,40,7,3,460
1007,7,10,14,18,19,20,9,0,0,85,9,44,184,164,160,115,6,0,0,682,10,17,22,28,28,11,3,0,0,118,0,4,11,28,30,41,5,0,0,119,13,39,66,53,68,60,7,0,0,317,3,8,25,16,23,15,8,0,0,96,47,44,74,59,59,46,22,3,0,344,78,36,51,14,29,28,9,0,0,246,3,6,36,29,58,71,24,3,0,226,0,8,10,5,7,12,4,0,0,42,0,0,7,4,5,4,3,0,0,23,0,3,3,8,4,8,3,0,0,22,5,4,11,14,8,14,3,0,0,61,0,5,10,15,13,22,7,0,0,76,3,4,46,49,81,80,7,0,0,270,4,10,40,22,37,45,3,0,0,155,3,20,59,43,68,60,16,0,0,266,0,4,4,7,3,5,4,0,0,30,8,20,33,28,25,29,7,3,0,158,5,25,30,20,38,38,11,3,4,167
1008,0,9,10,19,22,34,7,8,3,119,0,0,4,6,9,10,3,0,0,35,5,16,24,39,50,36,8,4,0,182,0,0,6,25,25,20,0,0,0,76,30,59,103,141,168,100,19,0,0,630,3,3,3,17,25,19,5,0,0,78,33,19,33,47,53,39,15,0,0,241,57,18,28,24,37,28,5,0,0,198,4,0,8,34,53,55,15,0,0,176,3,0,3,0,7,8,0,0,0,21,0,0,3,3,9,5,0,0,0,27,0,0,0,5,13,11,7,0,0,33,0,3,5,17,28,25,11,0,0,93,7,3,10,18,36,25,13,3,0,104,3,0,25,24,58,33,4,0,0,154,4,6,18,28,53,58,7,0,0,168,0,8,21,34,56,35,10,0,0,169,3,7,0,5,4,12,4,0,0,31,5,11,20,22,27,24,8,0,0,117,11,8,15,15,29,20,7,0,3,118
1009,18,54,95,80,90,82,32,15,4,472,3,22,168,203,155,92,8,0,0,653,175,556,1184,1412,1561,1047,197,16,3,6157,9,51,225,329,356,288,37,0,0,1309,715,1629,3291,3105,2725,1779,349,16,5,13609,50,142,364,534,606,373,91,9,0,2158,761,953,1270,1086,1043,829,278,25,9,6252,1281,751,780,549,497,354,108,15,4,4334,49,120,497,832,1197,1062,267,24,0,4057,60,131,325,410,481,278,45,7,0,1742,16,77,362,640,586,362,92,12,0,2153,19,73,173,237,270,188,90,12,4,1062,47,221,770,948,909,702,262,26,5,3894,78,209,426,478,572,450,118,9,0,2346,41,179,810,1247,1394,976,155,10,6,4824,47,197,584,622,650,689,146,12,0,2945,43,236,847,939,1038,1016,236,20,3,4379,120,148,232,200,187,143,58,4,0,1087,115,320,635,602,664,487,143,13,3,2985,195,399,658,728,822,556,165,42,11,3575
