SUA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
1000,..,610,12862,26509,34195,40974,37671,17842,3753,174413,..,3111,8502,7206,7557,6168,3133,802,123,36597,..,119,550,1575,2564,1826,897,559,350,8438,85024,..,..,..,..,..,..,..,..,85024,..,16700,..,..,..,..,..,..,..,16700,..,17140,7365,3487,2768,1324,181,5,0,32270,..,2022,965,536,850,1291,1036,624,361,7691,..,1254,1088,668,728,573,298,111,27,4736,..,1555,1954,1126,1694,2204,1490,561,116,10695,..,1496,3522,4532,8415,12450,11018,6073,2216,49727,1804,2689,2796,2036,2108,2241,1900,693,161,16436,86826,46695,39598,47682,60885,69057,57619,27264,7107,442728,..,1305,17499,30427,37947,42027,33063,12436,1709,176411,..,4787,9275,7461,7751,5541,2291,441,64,37604,..,1805,5460,7941,7629,3427,1915,1833,1247,31259,80667,..,..,..,..,..,..,..,..,80667,..,17905,..,..,..,..,..,..,..,17905,..,10502,3651,1344,1187,818,191,10,0,17700,..,1459,441,270,728,1463,1626,1252,910,8146,..,1301,706,307,373,301,145,35,30,3203
1001,..,87,1810,2761,2871,2936,2333,1114,297,14216,..,516,1166,618,506,349,136,39,8,3334,..,21,60,176,260,143,51,20,20,752,8207,..,..,..,..,..,..,..,..,8207,..,1729,..,..,..,..,..,..,..,1729,..,1499,513,239,157,65,6,0,0,2482,..,211,108,34,46,71,43,31,12,563,..,171,118,51,42,22,10,4,0,412,..,535,434,132,148,127,78,30,5,1493,..,226,673,595,825,801,621,339,169,4252,179,258,248,154,139,98,81,61,18,1226,8381,5255,5126,4773,4994,4614,3369,1632,535,38667,..,192,2354,2967,2969,2967,2061,822,134,14458,..,727,1155,626,503,294,114,30,0,3458,..,175,681,985,886,330,148,133,78,3413,7896,..,..,..,..,..,..,..,..,7896,..,1784,..,..,..,..,..,..,..,1784,..,961,312,74,91,50,14,0,0,1506,..,184,71,29,67,123,105,73,46,698,..,129,56,9,24,11,6,3,5,233
1002,..,21,378,561,680,647,565,306,65,3223,..,141,248,133,139,99,36,4,0,806,..,5,18,41,54,38,5,8,5,173,1842,..,..,..,..,..,..,..,..,1842,..,406,..,..,..,..,..,..,..,406,..,318,130,46,50,25,6,0,0,571,..,69,32,11,14,13,16,3,3,169,..,49,50,13,9,5,0,0,0,125,..,299,135,47,23,26,23,9,0,559,..,68,147,138,170,188,159,98,44,1015,44,115,64,45,33,43,14,20,3,383,1885,1490,1200,1030,1184,1081,826,452,122,9273,..,36,494,624,702,688,492,213,30,3285,..,193,246,139,136,85,16,8,0,822,..,45,152,209,200,95,46,45,22,820,1843,..,..,..,..,..,..,..,..,1843,..,416,..,..,..,..,..,..,..,416,..,218,61,28,17,10,0,0,0,337,..,66,32,4,19,34,14,18,16,198,..,55,38,9,4,0,0,0,0,105
1003,..,8,258,585,764,926,947,537,183,4204,..,66,229,218,170,150,87,20,9,957,..,0,16,41,69,56,23,12,11,224,1808,..,..,..,..,..,..,..,..,1808,..,451,..,..,..,..,..,..,..,451,..,343,169,85,74,53,10,0,0,734,..,55,25,12,27,22,24,14,6,181,..,34,38,28,17,10,9,0,0,139,..,65,117,54,71,59,47,14,4,431,..,30,72,117,199,277,262,169,107,1233,37,48,47,37,35,33,33,15,3,283,1844,1092,971,1180,1416,1599,1431,782,327,10638,..,21,378,667,806,1002,860,429,93,4254,..,108,258,222,191,128,70,19,3,1003,..,28,101,256,292,117,61,56,49,963,1700,..,..,..,..,..,..,..,..,1700,..,432,..,..,..,..,..,..,..,432,..,192,87,21,26,38,10,0,0,374,..,34,19,4,11,29,37,25,29,193,..,34,28,10,9,11,3,0,0,96
1004,..,7,155,288,369,649,852,408,89,2808,..,49,119,94,120,103,74,26,6,581,..,6,8,27,49,29,10,8,8,153,1108,..,..,..,..,..,..,..,..,1108,..,203,..,..,..,..,..,..,..,203,..,241,113,64,58,32,6,0,0,517,..,37,21,11,11,13,15,5,7,115,..,32,20,21,3,5,4,4,0,91,..,24,27,25,28,37,27,15,0,182,..,12,68,90,143,176,183,131,46,853,29,27,36,25,31,39,41,15,7,262,1140,635,562,642,821,1088,1217,612,157,6873,..,20,202,368,416,726,785,296,40,2850,..,90,125,111,110,107,50,11,0,602,..,31,102,163,145,63,45,46,41,629,1123,..,..,..,..,..,..,..,..,1123,..,221,..,..,..,..,..,..,..,221,..,136,46,31,28,19,4,0,0,263,..,22,10,5,12,20,38,20,13,135,..,14,11,7,8,4,0,0,0,52
1005,..,25,672,997,1046,1138,851,419,110,5256,..,177,460,243,203,115,61,15,5,1267,..,8,33,60,83,58,16,15,6,264,3396,..,..,..,..,..,..,..,..,3396,..,715,..,..,..,..,..,..,..,715,..,574,261,106,81,28,6,0,0,1050,..,95,56,7,16,23,15,19,11,240,..,66,66,23,22,17,11,0,0,204,..,296,176,70,48,48,38,11,3,686,..,70,233,209,251,277,248,131,75,1494,63,117,112,63,51,32,28,19,0,469,3454,2142,2058,1770,1799,1739,1263,629,204,15052,..,60,841,1078,1156,1083,765,319,47,5356,..,278,436,253,200,103,36,13,0,1315,..,98,277,397,311,134,71,51,36,1386,3142,..,..,..,..,..,..,..,..,3142,..,697,..,..,..,..,..,..,..,697,..,356,120,40,35,15,5,0,0,575,..,74,18,12,23,48,51,47,18,296,..,49,16,8,6,6,3,0,0,90
1006,..,30,591,1068,1342,1406,1565,942,205,7154,..,102,290,228,239,178,117,40,8,1206,..,3,10,31,59,36,37,23,13,212,3115,..,..,..,..,..,..,..,..,3115,..,713,..,..,..,..,..,..,..,713,..,710,295,137,105,57,13,0,0,1311,..,49,35,23,33,29,34,25,16,240,..,39,70,18,16,17,11,7,0,176,..,41,75,34,52,60,53,15,5,332,..,22,102,131,229,309,315,208,76,1382,57,66,59,46,47,45,48,21,7,388,3172,1785,1519,1713,2118,2141,2184,1280,323,16240,..,61,738,1240,1464,1471,1525,666,91,7259,..,154,295,248,226,146,85,20,0,1180,..,37,145,293,391,174,82,83,62,1283,3002,..,..,..,..,..,..,..,..,3002,..,754,..,..,..,..,..,..,..,754,..,478,160,47,59,45,13,0,0,798,..,37,23,22,39,52,69,63,30,330,..,37,35,11,11,11,0,0,0,102
1007,..,13,211,348,462,658,544,286,77,2588,..,79,208,132,110,89,34,12,0,663,..,3,24,36,64,33,20,13,4,189,1358,..,..,..,..,..,..,..,..,1358,..,257,..,..,..,..,..,..,..,257,..,337,159,76,71,40,5,0,0,689,..,51,32,8,19,17,13,4,4,157,..,17,15,14,14,6,3,3,0,76,..,26,35,27,33,31,18,3,3,183,..,53,127,118,216,277,227,108,65,1195,46,66,61,35,30,36,29,11,11,327,1404,908,870,800,1029,1182,900,445,160,7684,..,25,294,397,515,639,491,243,37,2638,..,119,225,121,128,84,27,3,0,706,..,57,206,208,181,93,47,53,33,875,1324,..,..,..,..,..,..,..,..,1324,..,232,..,..,..,..,..,..,..,232,..,210,68,14,42,13,0,0,0,349,..,40,10,5,26,42,28,14,14,182,..,11,7,3,7,3,3,0,0,34
1008,..,6,140,347,538,704,983,564,131,3411,..,35,76,88,117,109,85,25,5,533,..,5,3,26,51,19,9,10,17,137,1127,..,..,..,..,..,..,..,..,1127,..,301,..,..,..,..,..,..,..,301,..,260,102,56,70,21,3,0,0,517,..,21,10,9,13,14,20,8,7,112,..,6,16,11,15,8,0,5,0,59,..,9,13,8,42,40,34,12,4,164,..,10,26,59,115,197,239,148,59,852,29,23,27,24,21,24,33,12,3,194,1153,675,424,623,971,1142,1401,783,226,7407,..,3,206,414,602,812,941,456,51,3484,..,45,96,101,118,113,66,17,0,553,..,22,71,128,160,61,29,45,27,548,1102,..,..,..,..,..,..,..,..,1102,..,261,..,..,..,..,..,..,..,261,..,140,58,22,30,23,8,0,0,283,..,12,4,0,16,24,25,24,19,135,..,15,8,7,10,5,6,0,0,50
1009,..,218,5178,9926,10822,11099,10105,5751,1569,54677,..,918,3312,2496,2217,1366,717,235,49,11306,..,32,179,547,921,617,288,152,134,2875,28706,..,..,..,..,..,..,..,..,28706,..,6968,..,..,..,..,..,..,..,6968,..,6913,3461,1273,986,440,71,0,0,13143,..,700,468,239,311,377,328,202,111,2730,..,539,540,322,303,207,101,40,7,2053,..,630,898,500,674,715,488,211,63,4179,..,270,1091,1536,2263,2670,2717,1742,983,13267,500,675,656,477,458,384,309,150,61,3660,29197,17859,15779,17318,18951,17883,15123,8471,2981,143569,..,428,6931,10777,11409,11272,9374,4314,794,55289,..,1517,3465,2452,2136,1320,577,132,39,11643,..,572,2045,3484,3699,1953,849,689,495,13782,26953,..,..,..,..,..,..,..,..,26953,..,7193,..,..,..,..,..,..,..,7193,..,4867,1925,494,417,370,95,4,0,8165,..,575,279,117,319,678,770,608,403,3757,..,556,314,137,159,124,61,38,25,1409
