RA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
RA10,225442,841047,713888,220026,124007,2124417,29979,2154391
RA11,29164,206722,219893,78528,48896,583199,10251,593454
RA12,6618,45420,51853,21138,13324,138360,3129,141486
RA13,507,2739,3027,1375,935,8579,251,8835
RA14,304,826,597,246,212,2180,123,2304
RA15,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0
