RA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
RA10,16368,4104,6137,638,27251,4710,804,1437,180,7125,3294,1474,3142,266,8183,2787,1410,5311,244,9748,13526,3523,9211,591,26851,9502,5283,14679,687,30159,51305,10868,17545,1238,80960,33136,15105,22984,2485,73719,37217,25653,25138,2683,90687,44099,35605,23550,3078,106333,27182,34468,18291,2016,81952,31036,37610,16032,1981,86656,69365,93492,28340,3688,194898,51203,82045,13402,2311,148970,40622,78664,9534,1354,130170,27565,57426,4262,761,90018,82385,222940,13084,1462,319870,18325,44073,14921,960,78279,7373,6056,3629,518,17575,571016,760610,250632,27133,1609390
RA11,3260,476,929,87,4747,1695,120,360,41,2225,1105,236,842,52,2225,951,198,1595,50,2794,5232,556,3226,153,9163,3668,753,5778,174,10376,25039,2118,6654,381,34192,15899,3149,8611,786,28449,17165,6057,8905,739,32868,19727,9657,7176,668,37231,10252,9398,4933,364,24945,11595,10500,3884,363,26331,21938,24311,5743,557,52553,13614,20302,2287,267,36473,9537,16555,1342,154,27586,5039,10925,526,53,16539,12305,25711,1373,109,39500,7571,13851,5019,253,26697,3486,1285,1403,168,6340,189081,156162,70570,5417,421234
RA12,1055,181,228,25,1485,485,59,92,17,653,271,86,231,22,613,220,70,474,15,777,1587,186,906,49,2723,1031,284,1372,57,2747,6397,626,1517,91,8628,3716,922,2025,210,6885,4132,1630,1820,169,7754,4604,2516,1360,153,8632,2367,2314,858,72,5612,2938,2513,743,84,6274,5112,5530,1089,107,11836,3222,4141,364,63,7788,2153,3327,223,27,5728,1143,2048,102,16,3313,2459,4160,223,24,6870,2216,4017,1173,88,7492,1174,380,435,73,2065,46270,34988,15242,1366,97865
RA13,92,24,11,0,126,30,5,7,0,45,10,10,16,5,40,10,8,31,5,46,73,15,51,0,141,62,24,106,3,196,283,31,104,15,434,169,75,120,8,377,189,110,111,9,420,216,165,73,15,460,113,127,57,6,305,175,142,37,5,361,314,318,68,9,706,234,251,12,4,499,129,182,24,4,334,87,110,9,0,203,207,280,26,4,512,142,385,85,12,622,81,40,38,13,170,2614,2307,964,111,5996
RA14,17,7,12,0,37,14,5,5,0,23,0,0,14,0,16,3,0,13,0,22,23,5,16,6,49,10,10,31,3,54,68,12,32,4,108,39,25,38,9,100,47,33,30,0,113,48,37,20,0,104,26,25,15,0,63,40,18,11,0,69,62,61,24,3,161,42,46,10,4,95,30,52,3,0,85,22,29,0,0,52,49,65,7,0,117,46,86,23,0,157,26,17,22,4,69,604,522,321,36,1476
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
