RA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
RA10,18745,14171,9452,5032,16779,15768,4019,7215,992,92178,10881,14396,11669,6410,25229,26313,5035,10874,22676,133487,285617,373935,296762,176179,585357,609298,148098,300553,46964,2822769
RA11,1555,4156,3223,2052,5563,5481,1561,3200,319,27110,1561,3651,2359,1585,4536,4631,1014,2719,5328,27381,38155,106128,83790,57343,134949,126365,37622,84680,12880,681916
RA12,189,802,597,393,1153,1218,365,929,80,5722,365,887,537,401,1093,1120,288,910,1595,7200,6972,22237,18358,12498,28742,29675,9653,31063,3979,163180
RA13,11,26,26,22,29,56,8,50,0,236,38,53,31,22,50,74,22,66,106,442,470,1167,1005,720,1429,1918,714,3481,281,11196
RA14,5,11,0,4,11,12,8,13,0,63,5,8,9,6,15,13,3,13,33,112,106,273,186,167,401,498,139,742,80,2593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
