RA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
RA10,61054,21736,129555,951185,1309967,591527,425004,1390487,297368,4965542
RA11,21080,6295,43690,234635,354115,176818,128220,298095,98501,1290387
RA12,4806,1594,9969,52570,77498,39807,32495,74270,33106,309744
RA13,255,97,532,3563,4511,2121,1899,5165,3717,20979
RA14,49,18,96,798,1125,513,411,1592,959,5389
RA15,0,0,0,0,0,0,0,0,0,0
RA19,23,19,49,1561,1512,614,402,2643,3376,10112
