RA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA10,1114886,742255,926013,884749,770453,680882,527733,303911,129555,6080428
RA11,279344,169133,169880,173480,193954,217090,205673,117502,43690,1569737
RA12,67954,37941,39722,39460,46727,57348,50662,27916,9969,377693
RA13,5243,2678,3344,2872,3277,3834,2856,1577,532,26219
RA14,1318,721,880,757,862,980,743,345,96,6708
RA15,0,0,0,0,0,0,0,0,0,0
RA19,1260,1357,2187,1859,1678,1648,1055,277,49,11371
