RA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,446395,304114,151665,60945,3241120
RA11,142365,120091,58339,19354,791607
RA12,34116,26719,12220,3944,176868
RA13,2105,1325,641,177,11715
RA14,512,349,139,22,2920
RA15,0,0,0,0,0
RA19,1165,680,173,28,7237
