RA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
RA10,10641,3404,23773,12766,11555,7680,4956,7395,986,83155,179,228,209,239,286,222,201,372,57,1983,5394,7699,2811,3020,4699,2058,2481,1952,1021,31147,4642,5532,5378,4080,5245,2989,3611,4113,9432,45025,341026,749832,239289,200604,269561,112870,76833,87236,35974,2113227
RA11,3340,811,9035,5286,3090,2565,1471,3285,355,29241,36,61,51,100,70,84,26,137,9,574,1002,1055,813,782,717,332,557,618,232,6106,1580,1106,2166,1649,1319,1168,1332,2099,2032,14458,65419,117784,79064,65089,52945,24180,21257,30825,7330,463899
RA12,854,133,1665,983,596,483,365,792,75,5943,10,4,10,17,3,10,14,27,0,92,268,173,134,147,123,48,167,226,48,1332,736,226,534,419,322,290,467,776,562,4334,20546,20705,15901,12703,10564,4647,6279,8806,1752,101898
RA13,57,3,61,42,39,14,30,48,6,297,0,0,0,4,0,0,0,0,0,5,15,5,7,13,14,5,6,10,3,68,67,16,36,20,14,14,49,51,39,315,1779,1206,802,741,616,172,456,574,110,6454
RA14,17,0,24,3,14,10,0,15,0,81,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,3,4,3,4,24,15,9,12,7,9,6,7,12,13,78,369,325,161,212,146,44,69,148,31,1495
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
