RA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA10,82819,57283,71400,63795,55088,46216,33375,23147,16573,449700,1114886,742255,926013,884749,770453,680882,527733,303911,129555,6080428
RA11,28449,18309,17749,17726,18266,17942,15280,9828,4968,148514,279344,169133,169880,173480,193954,217090,205673,117502,43690,1569737
RA12,8811,5086,5200,5275,5766,6450,5261,3066,1412,46323,67954,37941,39722,39460,46727,57348,50662,27916,9969,377693
RA13,1072,546,616,581,625,695,510,306,82,5030,5243,2678,3344,2872,3277,3834,2856,1577,532,26219
RA14,281,164,167,141,150,176,131,60,12,1279,1318,721,880,757,862,980,743,345,96,6708
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
