RA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
RA10,37,2300,862,450,2326,0.9,2009,2.7
RA11,44,1700,710,320,1796,0.8,1400,2.4
RA12,45,1300,677,250,1645,0.8,1278,2.4
RA13,41,958,736,180,1762,0.8,1353,2.4
RA14,40,1000,694,165,1528,0.8,1212,2.4
RA15,56,0,1649,0,0,0,0,0
RA19,39,0,487,0,0,0,0,0
