RA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA10,2999688,3080740,6080428,185652,175304,360961,387584,366339,753924,176894,166458,343353,204734,194165,398901,457790,468223,926013,437893,446850,884749,377132,393317,770453,331485,349400,680882,250755,276985,527733,140144,163766,303911,49627,79928,129555,2916158,2999715,5915878,83527,81029,164554,64266,65784,130047,1504,1443,2951,1419,1509,2919,67186,68734,135921,1818229,1838215,3656444,1042085,1106256,2148339,1853796,1868614,3722411,984354,1055174,2039528,2458314,2534381,4992694,56023,52759,108777,363903,344619,708525,141303,139216,280520,91762,94794,186548,115828,165942,281774,1496446,1590487,3086926,135627,123158,258781,420949,424849,845796,114193,120923,235117,81989,94270,176263,28950,38236,67186,2815414,2900431,5715849,171027,167389,338416
RA11,771183,798556,1569737,43269,40919,84183,100031,95127,195156,47353,44035,91384,39801,37943,77742,83388,86487,169880,84041,89437,173480,93780,100169,193954,104933,112156,217090,101208,104463,205673,56209,61289,117502,17163,26529,43690,736144,767685,1503828,35044,30870,65911,48257,48325,96576,898,801,1697,1107,1064,2172,50262,50187,100448,630638,651816,1282451,87890,94635,182526,674679,704114,1378794,41459,45169,86627,685234,716164,1401401,13043,12498,25539,91930,87472,179407,31658,31537,63190,9141,12388,21526,16546,33042,49582,247889,298122,546015,49376,48197,97570,190486,186801,377291,53834,51783,105618,30269,26035,56298,2578,2466,5040,702192,736535,1438731,72867,65978,138841
RA12,190095,187593,377693,10407,9862,20270,24609,23076,47682,10749,10109,20853,9039,8043,17083,19797,19923,39722,19355,20101,39460,23173,23554,46727,28776,28570,57348,26378,24282,50662,13810,14104,27916,4001,5970,9969,179740,179083,358815,10355,8513,18875,16373,16495,32876,229,206,436,321,335,654,16932,17040,33964,155008,152580,307587,15610,16516,32127,162534,161560,324095,8503,9005,17506,164897,164121,329023,2869,2812,5684,21776,20438,42213,6656,6817,13469,1412,1889,3305,2611,6312,8924,49858,62202,112061,11868,12012,23880,49311,43599,92910,14735,12513,27248,10294,7462,17755,775,587,1365,167496,167533,335030,27123,23566,50692
RA13,13413,12807,26219,889,870,1755,1798,1691,3489,705,695,1397,655,623,1280,1651,1691,3344,1423,1450,2872,1641,1639,3277,2023,1814,3834,1599,1256,2856,798,783,1577,226,307,532,12528,12070,24597,887,733,1619,2039,2240,4285,10,10,20,12,23,35,2062,2275,4339,10264,9737,20003,849,846,1695,10658,10199,20853,533,527,1058,10716,10219,20934,194,208,407,1428,1380,2816,353,411,763,73,126,196,123,412,535,3048,4008,7052,785,751,1539,3141,2418,5560,957,775,1726,782,427,1214,70,52,119,10891,10428,21322,3487,2728,6216
RA14,3413,3293,6708,235,187,419,469,426,895,197,177,375,173,177,349,392,492,880,362,392,757,424,443,862,516,464,980,427,317,743,182,160,345,43,57,96,3157,3069,6221,261,230,491,1007,1095,2105,3,0,5,15,8,28,1026,1103,2137,2654,2528,5184,176,182,354,2754,2653,5408,116,97,213,2769,2653,5422,63,38,103,356,324,680,87,73,162,14,19,39,27,110,136,737,939,1672,200,217,416,719,601,1319,276,268,540,248,140,391,23,12,41,2815,2694,5508,1039,853,1895
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,32
RA19,6375,4997,11371,258,203,460,382,412,798,253,279,532,411,418,829,1164,1022,2187,1108,749,1859,1010,666,1678,949,698,1648,648,404,1055,166,104,277,19,32,49,0,0,0,6375,4997,11371,670,510,1175,11,7,20,24,11,35,712,527,1236,3314,2601,5912,971,936,1908,3530,2889,6417,576,579,1150,3621,2947,6569,33,29,65,210,218,425,78,108,188,59,75,130,121,208,337,1648,1674,3320,293,234,526,1083,798,1883,351,226,576,225,103,332,41,28,75,0,0,0,0,0,0
