RA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
RA10,32163,29785,61954,14028,17472,31497,691,335,1024,700,615,1313,1892,1893,3783,619273,433178,1052454,30115,47503,77615,15677,284,15961,10170,1288,11460,8381,2586,10970,7506,5188,12700,29607,33312,62912,770207,573434,1343645,10117,12166,22286,109,86,190,425,466,884,3934,2189,6122,779,1438,2214,1019,550,1570,16372,16900,33272,118,85,204,250,272,528,784,640,1416,570,1285,1853,464,530,991,2187,2812,4996,6650,3678,10327,25208,23383,48598,3234,3333,6568,337,366,702,254,105,357,3816,3807,7627,478485,542065,1020547,172123,218660,390785,6576,4993,11572,1456427,1366340,2822769
RA11,280,154,438,1061,907,1966,88,45,134,23,11,32,362,469,831,225564,199207,424772,14668,16158,30825,7797,227,8024,2301,280,2578,2169,752,2925,2011,987,2995,10451,9779,20231,266761,228977,495741,21,28,48,8,0,10,0,0,0,146,99,241,18,20,42,23,12,35,210,163,374,6,3,11,0,3,7,114,81,196,108,140,244,38,46,83,261,277,536,2498,1325,3825,2976,1762,4730,47,30,79,32,39,69,123,40,167,198,113,311,40719,55093,95817,32146,48639,80785,2432,2096,4529,345236,336677,681916
RA12,19,12,26,524,269,795,19,15,27,4,7,11,79,75,148,54010,47779,101788,3847,4059,7907,2101,73,2179,658,133,788,338,112,450,918,371,1292,4149,3669,7824,66667,56574,123242,4,0,4,0,0,0,0,0,0,27,17,42,0,3,7,4,4,10,36,28,68,0,0,0,0,0,0,62,20,82,21,22,38,8,6,8,96,39,136,691,280,976,824,346,1170,4,6,8,7,6,8,72,12,82,82,19,95,11034,11330,22361,5852,8791,14639,921,747,1668,85374,77802,163180
RA13,0,0,0,76,34,112,0,0,9,0,0,0,7,5,4,3540,2921,6462,245,259,499,161,10,167,32,11,47,31,14,43,102,46,146,439,409,849,4634,3704,8344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,8,3,10,65,28,99,73,31,107,0,0,0,0,0,0,16,0,19,13,5,23,946,840,1784,331,488,821,58,66,115,6055,5142,11196
RA14,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,635,548,1180,48,86,135,29,4,38,20,10,26,38,26,58,26,17,41,191,193,381,987,879,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,5,32,23,9,34,0,0,0,0,0,0,3,0,9,3,0,9,236,213,443,73,122,193,28,17,44,1351,1240,2593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,27,11,35,21,16,34,0,0,0,0,0,0,0,6,5,580,380,961,75,87,164,23,3,24,10,4,16,9,5,18,29,27,54,89,76,166,872,616,1485,16,9,24,0,0,0,0,3,3,5,0,5,0,0,0,0,0,0,13,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,25,16,41,10,0,6,0,0,0,0,0,0,6,5,11,233,279,514,213,213,428,35,6,39,1388,1128,2511
