RA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
RA10,410675,802049,310451,279131,383479,222548,161180,200061,53186,2822769
RA11,89152,125684,103036,91512,79264,59708,45346,75910,12304,681916
RA12,32793,22260,21455,18314,16400,11908,14083,22633,3338,163180
RA13,3240,1281,1131,1142,983,461,1156,1575,221,11196
RA14,714,352,233,351,248,92,165,368,68,2593
RA15,0,0,0,0,0,0,0,0,0,0
RA19,234,500,279,334,236,171,253,419,77,2511
