RA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
RA10,7005,13051,9362,6807,8694,3874,2132,50928,2455,3006,2094,1507,1931,1029,685,12701,482,649,438,304,340,202,123,2545,15781,30814,23967,18277,24792,12223,6990,132842,601,1081,793,639,838,388,240,4571,890,1318,879,606,699,296,178,4875,1489,2404,1665,1252,1535,686,421,9446,17271,33216,25638,19527,26326,12907,7409,142293,20771,22884,13642,9524,11015,5109,3045,85990,465,589,410,275,205,81,50,2067,38503,56693,39688,29322,37553,18095,10500,230344
RA11,3393,6299,4379,3142,3199,605,167,21180,705,657,447,301,301,77,30,2510,198,302,185,121,126,28,5,963,6155,11651,9071,6816,7973,1720,542,43930,232,448,326,225,234,37,9,1507,439,641,351,232,213,29,9,1915,666,1079,677,460,447,70,19,3418,6825,12736,9749,7276,8419,1784,568,47351,7418,7099,4069,2778,2470,387,173,24391,229,263,191,138,89,9,6,923,14470,20099,14004,10191,10977,2181,743,72664
RA12,723,1367,934,625,656,75,21,4406,116,124,76,57,71,13,0,454,52,79,64,39,40,5,0,281,1277,2586,1976,1404,1588,223,55,9108,53,137,99,58,49,11,0,408,108,172,74,51,37,3,5,448,160,308,172,111,87,16,5,857,1438,2894,2149,1510,1679,238,55,9962,1961,1734,1004,663,572,74,14,6028,74,86,61,44,21,6,0,290,3476,4715,3207,2218,2274,315,74,16279
RA13,44,80,42,32,26,0,0,234,5,9,6,4,4,0,0,21,5,4,4,3,6,0,0,24,73,168,94,75,67,6,0,486,5,0,11,5,0,0,0,21,0,8,8,6,5,0,0,33,4,13,14,15,14,0,0,54,79,179,111,85,77,6,0,536,191,163,75,43,31,0,0,510,11,10,11,5,5,0,0,34,279,354,192,133,112,10,0,1084
RA14,11,9,10,8,3,0,0,43,0,5,0,0,0,0,0,4,0,3,0,0,0,0,0,5,21,35,32,19,14,0,0,121,0,9,3,0,0,0,0,9,0,0,0,0,0,0,0,6,0,9,5,0,0,0,0,16,20,36,33,24,17,0,0,137,66,69,30,33,17,0,0,213,0,11,3,0,4,0,0,19,89,124,75,53,36,0,0,370
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
