RA_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
RA10,13081,14668,11161,7658,41639,70066,21500,62425,2237,244431,10216,26094,18627,14720,85403,123091,26630,62560,3027,370368,40864,24841,18431,11158,52825,67395,14543,24743,4669,259464,16596,13601,9505,5576,14745,11616,5885,5967,1409,84898,5493,8561,7063,4083,31525,27257,6651,12060,975,103669,10577,20130,11729,5172,16375,16665,3904,7545,1246,93351,14684,14957,14172,7793,31193,27067,8768,17132,2840,138609,22271,28638,17494,7913,21974,18501,4305,7350,2760,131220,2877,2437,2015,1045,4829,5299,1052,2719,8155,30431,136658,153923,110194,65116,300515,366963,93233,202500,27321,1456427,14084,13220,13019,10216,34464,40711,12488,26868,1176,166245,25459,49409,50389,35498,94133,104465,23819,45205,3311,431687,10695,8005,7248,3898,9866,7127,1347,2148,656,50989,34965,44616,35102,20760,29920,16434,3670,5835,2928,194233,21071,42598,42133,23717,77913,50475,8660,10876,2368,279807,26280,36905,20697,9012,17719,11307,2425,3288,1569,129196,2590,3808,3475,1838,5873,2932,744,941,378,22578,11505,19085,12529,5135,10823,5659,1174,1740,1187,68844,2304,2365,1980,985,4135,3228,538,1148,6075,22753,148957,220015,186567,111061,284839,242338,54866,98057,19646,1366340
RA11,1656,2941,2810,2249,7768,13009,4948,17770,662,53819,1596,4010,3278,2823,10286,12017,3680,8445,367,46508,3734,5557,4793,4257,20134,25700,7005,14004,1434,86618,1900,4164,3173,2479,5258,3841,1627,2327,389,25164,591,1374,1062,789,4175,3361,1026,1828,125,14328,1000,5582,2590,1481,3942,3594,1138,2198,326,21848,2183,3195,2896,1962,7617,8710,3385,10215,872,41041,2849,10412,5429,3884,9558,9137,2256,4229,1119,48864,494,613,364,261,1056,1145,291,854,1963,7049,16015,37864,26386,20181,69791,80512,25358,61863,7268,345236,1877,3159,3647,2824,7196,7334,2492,6430,380,35332,4919,10025,11888,8954,15362,15131,4384,7920,593,79173,1269,3049,2805,1832,3422,2284,576,944,240,16413,5095,15924,14051,9459,11224,5566,1485,2436,1111,66349,3355,10970,11482,7484,17401,9389,1862,2434,556,64936,2720,13521,7443,3596,5751,2692,653,936,546,37865,337,770,690,337,742,585,212,558,65,4306,2157,10146,4887,2373,3265,2324,476,911,514,27045,427,707,516,298,801,543,112,250,1603,5257,22144,68266,57405,37162,65162,45851,12264,22820,5613,336677
RA12,463,816,835,774,1918,3987,1787,10580,416,21568,200,501,402,398,1410,1698,607,1528,81,6838,578,998,869,729,3790,5062,1504,3834,310,17672,264,620,482,462,872,602,241,401,81,4023,87,267,201,109,671,569,160,334,35,2422,127,907,431,253,706,787,234,556,89,4098,590,833,709,452,2089,2639,1045,4005,301,12667,523,2221,1380,921,2829,3074,883,1933,352,14107,118,157,92,71,268,307,76,276,614,1977,2951,7322,5396,4171,14553,18722,6533,23449,2279,85374,412,1111,1233,893,1575,2167,663,2960,206,11222,983,1866,2199,1526,2839,3013,1034,1814,143,15420,210,674,678,415,741,560,135,315,62,3788,861,3187,3053,2174,2430,1329,354,634,266,14287,567,2422,2520,1642,3621,1963,407,693,150,13977,401,2636,1542,774,1307,621,169,222,134,7813,67,226,234,104,205,192,69,297,27,1412,418,2651,1393,737,1264,998,260,602,213,8523,110,150,111,57,196,115,21,91,503,1362,4028,14916,12957,8332,14183,10953,3117,7617,1699,77802
RA13,36,46,59,49,115,302,141,1414,34,2207,7,19,9,11,66,79,32,104,5,333,44,43,41,31,118,248,99,311,21,952,13,20,26,23,70,34,23,24,9,227,5,10,8,5,32,18,15,19,4,111,4,27,6,5,17,39,7,33,4,140,56,54,46,30,96,167,78,419,35,982,31,92,57,64,124,224,76,280,27,972,8,9,7,4,9,25,0,31,33,127,212,327,262,216,637,1127,478,2634,164,6055,43,79,73,70,116,185,64,386,17,1030,74,96,112,88,133,216,74,160,4,949,9,30,34,25,30,25,8,28,7,183,46,187,182,122,161,100,25,62,23,907,26,147,144,104,215,148,22,59,9,870,11,94,73,35,51,29,5,11,3,322,10,23,17,8,20,16,15,62,3,173,29,172,110,42,55,70,25,73,22,597,9,9,9,0,9,10,0,8,42,95,262,845,745,497,794,785,243,851,120,5142
RA14,12,16,16,7,31,76,14,274,10,461,6,0,5,9,24,32,7,25,0,91,9,10,12,10,24,51,20,50,14,194,10,7,0,11,29,23,14,14,3,110,0,4,3,0,16,11,4,9,0,48,0,4,7,3,3,4,0,9,0,30,3,14,0,4,13,26,16,74,0,154,7,43,18,15,33,46,10,54,3,228,0,7,0,0,4,9,4,8,12,36,42,103,66,53,177,269,87,501,48,1351,11,22,14,3,33,38,17,118,5,257,10,20,17,22,51,73,13,47,6,262,3,14,6,0,8,7,0,6,0,40,23,38,34,38,55,40,0,16,4,236,11,22,20,25,46,37,9,22,7,203,3,8,7,10,14,13,0,3,0,63,0,3,0,0,6,0,3,3,0,14,9,42,15,6,7,26,5,27,3,148,0,9,5,0,4,0,0,0,16,33,61,173,114,117,218,228,54,244,34,1240
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,11,12,8,4,27,33,10,28,3,133,19,26,18,17,46,59,13,35,5,236,38,28,18,16,39,52,13,35,13,241,7,16,25,5,13,20,8,20,6,122,5,3,6,0,16,12,0,12,3,63,6,12,13,4,10,6,6,7,3,69,30,16,19,19,35,31,19,57,3,216,24,48,46,21,34,39,17,17,12,254,5,7,0,0,5,3,0,3,21,55,152,170,146,86,224,249,75,208,66,1388,13,6,8,12,21,25,11,14,0,104,34,37,36,21,36,48,9,44,3,264,0,8,11,3,9,12,0,3,0,47,43,56,38,18,20,19,3,12,0,216,13,35,23,12,47,26,3,6,0,168,26,33,17,13,14,7,0,0,0,104,0,10,6,0,3,5,0,3,0,35,10,48,29,16,26,17,4,20,6,165,0,4,0,0,0,3,0,0,8,22,136,241,168,98,172,161,35,102,20,1128
