RA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
RA10,107309,21377,129555,1045808,202691,17232,1265726,3410213,289601,4965542
RA11,37202,6157,43690,229570,84473,10109,324153,870111,96125,1290387
RA12,8330,1556,9969,50569,19968,2374,72914,204324,32503,309744
RA13,437,89,532,3506,1147,106,4760,12574,3644,20979
RA14,83,17,96,746,245,27,1017,3401,970,5389
RA15,0,0,0,0,0,0,0,0,0,0
RA19,33,16,49,818,332,37,1191,5556,3362,10112
