RA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
RA10,306405,558955,155054,13670,1034083,193180,30392,1257659,23667,23140,12025,1216,60053,40552,4078,104683,39243,58995,24002,2102,124344,44365,8659,177364,62912,82138,36020,3321,184397,84917,12742,282050,22843,17171,10048,1638,51707,50955,7008,109670,39971,28658,15420,2718,86762,63599,12355,162712,56713,37800,15112,3121,112748,68341,13734,194821,39190,20619,7218,2262,69293,42052,11594,122936,2134,2657,1128,145,6066,2825,490,9382,160853,106907,48922,9888,326576,227768,45176,599520,301,44,73,13,438,914,42,1398,442,68,147,30,685,1235,72,1989,18,13,9,3,47,37,0,84,1610,1199,664,165,3636,2659,907,7203,2370,1327,895,204,4794,4851,1026,10675,896,855,331,46,2133,2047,311,4483,533438,750186,241231,27134,1551984,512764,89645,2154391
RA11,163310,147458,59918,4615,375302,116264,14383,505949,8182,2969,3802,335,15286,22247,1410,38944,3277,1556,1826,150,6813,5901,710,13419,11458,4528,5628,488,22098,28151,2112,52369,2988,1325,1787,194,6295,12281,871,19443,614,188,227,18,1053,1670,148,2859,720,107,149,18,997,1224,98,2319,162,17,23,0,202,148,9,354,281,173,112,10,570,453,48,1067,4755,1817,2302,238,9114,15773,1172,26060,431,85,84,8,604,1134,70,1806,909,107,155,23,1198,2239,120,3558,34,16,15,0,66,81,5,154,341,271,143,23,783,537,89,1410,1714,486,393,59,2647,3992,290,6931,473,289,149,20,926,1145,86,2162,181710,154573,68380,5419,410080,165327,18046,593454
RA12,42578,33568,13865,1242,91252,34817,3138,129209,812,358,373,50,1595,3005,135,4735,247,110,87,4,447,601,70,1122,1060,462,458,64,2040,3608,208,5859,671,343,295,37,1349,2363,205,3917,50,13,13,0,74,74,15,162,8,0,0,0,8,16,0,24,0,4,0,0,3,0,0,4,24,9,3,3,49,42,0,90,755,375,314,48,1485,2498,221,4202,102,29,10,0,149,291,16,453,109,24,24,3,158,297,14,466,20,13,9,0,41,57,5,104,123,72,33,4,232,164,21,412,363,137,74,8,584,805,52,1437,208,149,48,5,405,333,39,780,44958,34690,14756,1362,95759,42064,3655,141486
RA13,2359,2194,864,103,5521,2231,206,7962,40,14,18,0,72,132,4,206,5,0,0,0,4,0,0,9,43,11,15,4,77,135,6,212,23,12,10,0,44,158,10,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,10,0,51,160,10,215,12,5,3,0,22,28,0,51,4,0,0,0,6,6,3,16,28,11,9,0,52,74,14,133,7,6,7,0,16,10,0,32,56,24,20,0,100,119,17,239,44,47,17,0,108,90,5,208,2534,2286,930,114,5857,2739,245,8835
RA14,503,469,288,32,1290,627,40,1960,18,0,3,0,23,37,4,60,7,7,0,0,8,15,0,27,19,9,5,0,34,49,4,88,0,0,0,0,0,22,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,11,6,6,0,0,11,23,0,31,5,0,0,0,5,8,0,13,0,0,0,0,0,0,4,3,15,3,7,0,27,47,4,74,0,0,0,0,0,0,0,3,18,3,7,0,30,55,3,95,25,23,7,0,57,65,5,124,573,515,303,31,1423,817,60,2304
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
