RA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
RA10,571016,1153162,12254,71534,73104,342163,16573,78464,409139,1585390,511073,2077551,42109,183528,67164,237224,140265,466050,249539,886801,760610,2964357,3519,16962,16446,57573,7740,28783,83919,223782,111626,327098,11425,38185,26763,61449,100821,227423,139009,327063,250632,654162,27133,57807,1609390,4829486
RA11,189081,378063,3121,17604,15140,70721,5772,26924,83327,330712,107365,445960,6544,27357,10849,35699,31400,99453,48804,162512,156162,608471,1014,4751,4791,16871,3094,11353,28586,78373,37484,111347,2115,6710,5430,11614,25538,55079,33089,73399,70570,184743,5417,11368,421234,1182647
RA12,46270,92170,716,3986,3600,16642,1308,6063,18775,75447,24406,102134,1349,5405,2289,7208,6944,21721,10578,34327,34988,136464,213,1013,984,3581,674,2547,6338,18032,8209,25171,365,1150,999,2096,5666,12245,7037,15493,15242,40665,1366,2888,97865,272179
RA13,2614,5200,30,174,244,1065,80,349,1336,5346,1690,6937,80,305,164,470,376,1153,613,1934,2307,8870,23,93,49,185,49,186,431,1281,544,1743,16,43,40,83,357,780,417,909,964,2652,111,240,5996,16954
RA14,604,1190,13,76,39,185,33,149,310,1236,396,1649,9,17,20,68,90,276,120,358,522,2006,8,36,17,64,24,98,151,459,204,652,7,16,8,14,108,261,119,290,321,942,36,84,1476,4220
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
