RA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
RA10,27172,27891,24180,17877,76095,110780,33987,89294,3415,410675,35677,75497,69010,50215,179534,227556,50448,107768,6336,802049,51562,32848,25678,15055,62691,74520,15888,26884,5323,310451,51562,58215,44612,26337,44669,28049,9551,11798,4335,279131,26564,51151,49196,27806,109436,77734,15305,22937,3344,383479,36857,57038,32432,14178,34097,27969,6326,10833,2814,222548,17277,18768,17643,9632,37063,29996,9514,18079,3215,161180,33779,47725,30026,13049,32801,24163,5481,9093,3947,200061,5180,4807,3993,2030,8963,8531,1591,3863,14232,53186,285617,373935,296762,176179,585357,609298,148098,300553,46964,2822769
RA11,3531,6104,6457,5069,14968,20343,7447,24198,1046,89152,6514,14034,15164,11779,25650,27148,8068,16367,962,125684,5001,8602,7589,6092,23561,27990,7576,14944,1674,103036,6996,20090,17223,11939,16476,9406,3115,4763,1503,91512,3951,12349,12544,8272,21573,12748,2886,4264,681,79264,3712,19105,10032,5084,9697,6289,1788,3133,870,59708,2523,3966,3582,2304,8358,9300,3596,10776,942,45346,5007,20556,10317,6254,12822,11455,2730,5138,1630,75910,925,1322,883,560,1850,1689,401,1105,3570,12304,38155,106128,83790,57343,134949,126365,37622,84680,12880,681916
RA12,874,1927,2066,1669,3492,6155,2452,13534,621,32793,1186,2362,2602,1926,4255,4713,1640,3343,223,22260,788,1669,1541,1140,4532,5621,1636,4148,368,21455,1125,3810,3532,2634,3309,1928,597,1036,344,18314,656,2684,2714,1754,4288,2532,569,1022,182,16400,529,3543,1979,1033,2014,1408,398,781,222,11908,651,1059,941,553,2294,2833,1120,4302,322,14083,937,4872,2773,1654,4091,4065,1139,2534,567,22633,226,310,204,125,469,422,95,363,1127,3338,6972,22237,18358,12498,28742,29675,9653,31063,3979,163180
RA13,86,126,132,119,233,485,201,1801,55,3240,74,115,117,98,199,290,109,261,6,1281,45,77,73,56,139,274,102,345,26,1131,55,207,211,145,230,127,43,89,26,1142,32,160,150,104,246,164,37,69,10,983,20,121,83,38,65,67,14,43,11,461,66,78,61,39,117,183,91,480,39,1156,59,260,164,104,180,289,105,353,43,1575,21,24,11,9,19,29,3,39,75,221,470,1167,1005,720,1429,1918,714,3481,281,11196
RA14,19,37,30,13,62,108,37,392,17,714,10,23,17,29,76,104,22,75,6,352,6,23,20,10,31,54,21,58,14,233,32,44,33,48,84,63,16,24,3,351,10,28,20,28,65,46,11,32,8,248,3,15,15,9,18,20,0,8,0,92,3,17,0,3,16,26,16,77,0,165,13,84,37,16,43,73,18,81,5,368,5,8,3,0,3,8,4,8,32,68,106,273,186,167,401,498,139,742,80,2593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,21,17,14,15,45,61,19,42,3,234,55,64,56,33,83,106,19,78,3,500,40,31,24,22,47,57,10,39,13,279,53,74,62,29,38,40,5,31,5,334,19,41,30,15,61,41,9,18,3,236,29,45,26,19,25,9,3,10,4,171,30,20,25,23,38,35,19,62,3,253,37,97,75,31,64,52,23,34,16,419,9,13,0,0,7,4,0,7,29,77,284,414,316,184,406,405,111,314,87,2511
