RA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,3977,8923,21891,20063,18772,13948,3997,573,30,92178,4206,12562,35619,32249,25245,17168,5033,1148,254,133487,122811,262430,682248,666705,566701,399334,108079,13356,1109,2822769
RA11,1771,2710,5795,5203,5527,4445,1449,185,18,27110,1936,2441,5165,5104,5571,4592,1800,625,148,27381,46403,55201,126654,132567,146026,128369,39946,6122,623,681916
RA12,467,608,1180,1006,1049,1001,345,60,3,5722,542,584,1229,1165,1332,1390,605,287,60,7200,9574,11683,28581,28975,33611,34226,13249,2890,401,163180
RA13,10,22,40,46,39,53,17,5,0,236,40,35,88,87,60,73,50,21,8,442,480,781,2238,1960,2237,2285,946,237,38,11196
RA14,0,7,8,10,9,13,6,0,0,63,13,6,23,11,23,19,9,7,0,112,104,168,510,457,510,532,232,62,9,2593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
