RA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
RA10,64,103,107,277,299,197,497,773,5306,66,6137,26,137,43,204,75,64,138,335,1083,10,1437,31,364,144,539,168,173,338,875,2244,22,3142,63,683,242,999,236,270,503,1508,3773,35,5311,120,1157,441,1718,296,360,660,2372,6785,53,9211,373,2768,876,4011,497,602,1096,5107,9523,48,14679,1085,4354,1434,6876,453,463,916,7798,9676,71,17545,2733,5221,1442,9391,371,349,721,10109,12758,120,22984,5330,5856,1537,12721,311,282,598,13321,11732,87,25138,6486,5245,1484,13216,316,281,588,13811,9664,70,23550,6699,3681,1030,11408,224,145,366,11779,6457,56,18291,6593,2915,896,10408,167,129,298,10706,5278,46,16032,13977,4655,1615,20245,254,148,411,20653,7651,41,28340,5929,2188,802,8919,124,88,209,9132,4252,16,13402,5449,1439,484,7374,85,46,129,7505,2005,22,9534,2205,645,225,3075,36,25,57,3129,1125,5,4262,8252,1631,494,10373,126,45,172,10551,2501,36,13084,4986,2473,1117,8572,256,173,431,9000,5327,597,14921,226,174
RA11,32,27,35,91,59,28,88,180,732,15,929,13,54,14,80,21,13,32,113,248,4,360,25,155,23,204,47,64,108,317,519,8,842,35,295,59,384,111,116,227,613,974,11,1595,79,604,85,768,141,179,324,1088,2115,21,3226,238,1630,276,2145,183,285,469,2615,3140,24,5778,630,2312,324,3266,163,195,358,3624,2988,42,6654,1370,2587,308,4264,121,121,243,4513,4046,57,8611,2371,2488,296,5152,94,102,201,5349,3516,39,8905,2400,1881,260,4544,80,85,167,4706,2437,28,7176,2025,1180,219,3429,38,26,66,3494,1423,17,4933,1893,824,157,2865,25,18,45,2915,951,17,3884,3265,1053,226,4545,39,27,65,4605,1127,19,5743,1256,380,96,1726,20,10,33,1756,518,11,2287,846,205,57,1110,6,8,14,1126,210,8,1342,316,66,24,406,4,0,0,409,110,0,526,765,217,62,1043,19,7,24,1068,292,11,1373,1583,1120,246,2947,78,66,143,3092,1766,161,5019,90,77
RA12,8,12,0,24,10,18,26,51,173,12,228,8,12,0,23,4,3,7,29,58,0,92,6,41,7,53,24,10,38,87,140,5,231,18,77,22,115,34,33,68,185,291,5,474,26,154,33,216,43,54,95,312,588,5,906,62,397,55,508,58,64,117,633,735,8,1372,173,488,74,735,39,41,85,819,686,9,1517,370,518,61,948,31,24,51,1001,1015,15,2025,506,434,55,1000,23,24,49,1042,771,10,1820,451,301,43,793,12,13,26,820,529,14,1360,379,182,26,585,12,0,17,601,252,4,858,378,134,29,541,3,4,7,544,193,8,743,615,167,45,823,12,5,16,840,244,4,1089,203,67,12,279,5,0,8,286,79,0,364,141,31,13,182,0,0,0,187,35,0,223,64,12,5,82,0,0,0,84,19,0,102,108,29,3,145,6,5,8,156,72,0,223,390,212,60,663,23,7,32,694,435,44,1173,18,26
RA13,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,5,0,7,0,0,4,4,0,0,0,3,12,0,16,0,9,0,9,3,0,4,9,21,0,31,0,5,0,8,0,0,3,9,38,0,51,3,18,5,29,5,3,8,38,69,0,106,12,28,0,45,0,0,3,46,54,0,104,16,28,3,52,0,0,3,51,70,0,120,24,26,9,56,0,3,5,61,49,0,111,28,17,4,43,0,0,4,49,21,0,73,24,7,4,33,0,0,0,37,20,0,57,19,3,0,20,0,0,0,26,8,4,37,34,10,6,48,0,0,0,48,19,0,68,3,0,0,4,0,0,0,3,5,0,12,15,3,0,24,0,0,0,24,0,0,24,5,0,0,4,0,0,0,4,0,0,9,15,0,0,17,0,0,0,17,10,0,26,23,11,5,41,5,0,5,50,32,7,85,4,0
RA14,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,3,0,3,9,13,0,13,0,0,0,0,0,0,0,0,19,0,16,0,3,0,3,4,0,4,10,18,0,31,0,6,0,7,0,0,0,12,19,0,32,0,4,0,5,0,3,3,8,29,0,38,10,5,0,18,0,0,0,18,14,0,30,6,3,0,11,0,0,0,11,14,0,20,9,0,0,16,0,0,0,16,0,0,15,4,0,0,8,0,0,0,8,4,0,11,11,5,0,12,0,0,0,12,9,0,24,5,0,0,7,0,0,0,7,3,0,10,7,0,0,7,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,7,7,5,0,11,0,0,0,13,15,0,23,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
