RA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
RA10,..,512764,512764,613777,60199,673972,348189,18031,366213,357441,7354,364796,149928,2632,152563,82650,1426,84077,1551984,602406,2154391
RA11,..,165327,165327,205838,14339,220183,78487,2431,80916,73016,825,73842,34619,290,34910,18117,156,18276,410080,183372,593454
RA12,..,42064,42064,50378,3072,53448,17401,388,17788,15467,119,15588,8258,35,8295,4259,44,4306,95759,45726,141486
RA13,..,2739,2739,2891,202,3092,1091,23,1120,952,9,962,582,4,588,338,0,341,5857,2981,8835
RA14,..,817,817,673,45,722,285,8,290,230,6,232,123,4,125,113,0,113,1423,879,2304
RA15,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
