RA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
RA10,44,850,164506,165399,3769,15553,166425,185745,118236,89896,210363,418496,255309,50707,100810,406821,226876,35105,90078,352055,202887,23707,83098,309693,163074,11520,57715,232308,90547,3863,32416,126823,23216,559,14888,38662,1083954,231757,920297,2236005,156,1510,153358,155024,9007,22779,144195,175980,167099,94099,171963,433163,269308,46738,104626,420670,228953,32130,112049,373134,194724,20076,115399,330195,146079,8613,104079,258775,64819,2296,79725,146844,10304,263,44735,55304,1090456,228507,1030130,2349090,201,2362,317865,320429,12777,38332,310615,361729,285337,183993,382327,851658,524616,97442,205438,827492,455826,67238,202126,725183,397610,43784,198492,639891,309159,20129,161798,491088,155364,6153,112145,273668,33526,818,59616,93966,2174411,460260,1950426,4585101
RA11,15,523,41581,42123,725,5772,26866,33361,21109,19307,31569,71990,41091,12652,20214,73961,47528,11884,24422,83829,55377,10445,28326,94152,59372,6470,24598,90443,34276,2105,13443,49832,7775,311,5343,13424,267266,69476,216366,553105,29,1078,37806,38912,1429,8097,23217,32746,28498,20557,29110,78162,46023,13077,23039,82135,51597,12142,28751,92485,58622,9924,33772,102321,55470,5113,33859,94442,25601,1355,27241,54198,3663,166,14504,18325,270928,71501,251292,593725,42,1602,79391,81036,2154,13869,50086,66105,49609,39863,60677,150148,87112,25726,43255,156095,99123,24018,53172,176312,114004,20373,62099,196471,114847,11583,58456,184887,59880,3466,40687,104024,11434,470,19844,31752,538199,140975,467658,1146832
RA12,4,132,8976,9111,173,1329,5876,7369,4761,4540,7012,16309,8796,2842,4600,16242,10967,2699,6229,19898,14270,2575,8071,24916,14329,1589,6931,22852,7851,426,3624,11900,1689,51,1270,3012,62842,16174,52592,131607,9,274,8296,8573,378,1989,4342,6708,6314,4805,6135,17252,10046,2884,4736,17668,12295,2795,5767,20854,15100,2498,7438,25036,12924,1150,7256,21327,5841,267,6029,12139,756,29,3224,4011,63658,16692,53214,133563,10,406,17271,17685,543,3317,10216,14073,11070,9341,13150,33566,18843,5725,9335,33907,23263,5492,11999,40750,29376,5073,15507,49953,27252,2729,14182,44177,13688,699,9650,24037,2444,84,4496,7020,126501,32865,105805,265168
RA13,0,18,506,526,12,82,391,483,385,356,512,1249,589,205,309,1102,694,190,384,1269,839,163,614,1614,710,77,479,1271,349,24,239,613,85,6,76,166,3658,1118,3501,8279,0,28,470,501,27,133,297,451,491,382,476,1349,658,189,293,1139,781,187,340,1304,858,148,441,1447,570,55,370,993,264,18,323,604,45,4,154,199,3684,1139,3162,7985,0,49,974,1028,33,212,690,936,876,738,989,2598,1247,394,600,2241,1481,377,722,2570,1697,305,1057,3058,1275,135,855,2258,610,45,562,1213,124,11,226,365,7341,2257,6668,16271
RA14,0,5,147,150,7,23,86,118,82,79,135,301,107,72,104,282,126,69,144,333,179,57,166,403,149,24,155,332,76,0,65,142,23,0,12,36,746,336,1008,2088,0,11,117,129,8,32,94,135,109,105,175,386,124,73,114,309,140,70,123,340,171,48,137,353,134,16,108,255,50,4,77,131,10,0,32,42,745,353,983,2077,0,14,270,278,11,57,187,250,196,181,304,682,229,143,213,593,270,144,268,675,346,108,300,750,280,37,263,589,127,3,144,278,32,0,41,77,1489,686,1989,4166
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
