RA_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
RA10,9300,15858,17676,17613,19760,28326,45726,29862,8947,193071,6676,15819,19792,18958,19789,26123,44118,38158,21570,210988,6187,22495,32195,28574,26536,26956,29537,18502,8863,199838,3887,22551,37811,32793,29314,26285,20349,10795,3542,187326,2118,22793,46114,37334,34775,28407,16144,7278,2635,197597,974,20396,56510,43107,38113,30790,14285,4779,1566,210516,285,12536,49059,35450,29951,22078,8428,2495,865,161153,135,5241,42398,33605,27874,18953,6641,2263,851,137959,65,1959,29267,27592,22768,14525,4576,1358,476,102591,58,1341,40413,53916,41985,23355,6114,1726,590,169496,28,201,5923,12430,10291,5151,1655,570,263,36514,67,280,6050,20393,21225,9976,3320,1532,617,63461,8859,11781,29299,24021,18708,16076,15849,16701,18882,160174,166458,194165,468223,446850,393317,349400,276985,163766,79928,2539094,161311,38537,54270,50301,43954,63030,51849,22109,8572,493933,59167,14257,9007,10507,10402,15793,16965,7739,2617,146447,37807,31113,21680,20760,20582,29521,32971,19388,6399,220222,16692,29675,31051,27828,31981,47054,82503,60241,18768,345790,13867,29419,32921,28802,31186,42336,72004,58881,30663,340077,16108,43292,52289,41237,39238,43329,51877,32604,13137,333108
RA11,2602,3090,4379,4333,5430,9752,19783,12308,3106,64783,2180,3121,5370,5095,6322,10148,18564,15067,8033,73895,2216,4811,8712,8006,8495,10996,13335,8035,3363,67975,1509,5719,10229,9193,9268,9856,8638,4532,1475,60417,842,5535,11087,10153,10838,10421,6033,2620,873,58402,364,3717,10600,10015,11317,10556,4860,1543,466,53432,128,2042,7301,7056,7843,6449,2595,701,224,34341,33,781,5721,6023,6750,5255,1939,824,335,27664,18,283,3485,4598,5416,3930,1184,300,88,19307,11,186,3486,7183,8530,5463,1417,379,124,26776,7,26,399,1099,1318,997,339,138,39,4369,37,64,494,1465,2176,1597,868,390,142,7239,3635,2917,6347,6234,6327,6775,7340,6961,5606,52129,44035,37943,86487,89437,100169,112156,104463,61289,26529,662510,30319,4001,6356,6237,7437,15399,11595,4497,1774,87604,19838,1879,1945,2119,2591,5143,6079,2419,778,42792,10291,5427,5404,4935,5767,10274,13115,6766,1947,63927,4557,5505,7421,7137,9323,16887,36454,25365,6844,119496,4920,5432,8299,7804,10268,17369,32821,24783,11681,123381,5825,8355,12263,11309,12619,17884,24539,14532,5042,112373
RA12,490,543,1019,1063,1429,2666,4767,2843,725,15546,410,620,1346,1292,1554,2698,4273,3461,1940,17584,503,952,2011,1786,2058,2673,2640,1484,667,14772,360,1124,2232,2131,2269,2419,1797,921,273,13525,215,1176,2509,2324,2622,2631,1337,552,188,13549,105,848,2314,2202,2479,2554,1117,314,79,12017,22,438,1456,1393,1619,1458,536,152,40,7110,15,179,1147,1110,1296,1116,450,208,71,5592,9,61,735,827,1056,880,261,88,16,3937,5,74,700,1248,1583,1127,322,78,21,5166,0,8,82,170,232,184,75,29,8,793,8,23,97,266,353,346,193,123,32,1452,1231,864,2049,2134,2346,2713,2457,2055,1286,17145,10109,8043,19923,20101,23554,28570,24282,14104,5970,154662,7252,824,1563,1513,2022,4045,2983,1172,432,21810,3848,424,516,548,685,1348,1431,632,206,9639,2023,1090,1352,1271,1744,3015,3231,1712,473,15917,876,1021,1706,1725,2597,4837,9157,6014,1529,29465,946,1030,2020,1985,2788,4936,8214,5941,2776,30635,1297,1585,2835,2560,3169,4509,5194,2843,1010,25007
RA13,24,47,79,81,106,164,227,119,31,883,20,32,96,96,77,165,211,200,95,997,31,46,138,122,114,138,86,66,32,776,22,83,153,114,140,119,67,33,12,732,25,57,181,130,127,111,72,41,13,756,13,69,161,133,147,145,50,22,4,754,8,30,139,89,106,101,29,7,4,517,3,15,124,79,83,64,27,8,5,408,0,13,67,51,74,58,16,8,0,287,0,8,78,105,100,68,21,5,0,387,0,0,3,15,22,21,5,0,0,71,0,0,15,8,46,35,11,4,3,129,147,131,273,285,291,329,226,191,83,1964,695,623,1691,1450,1639,1814,1256,783,307,10253,470,60,137,116,183,271,195,72,31,1540,165,28,34,38,41,72,78,23,10,480,97,77,97,86,115,178,156,80,16,915,53,77,133,124,180,308,428,274,78,1659,52,70,145,162,157,303,470,355,146,1848,68,77,181,176,198,238,196,127,54,1314
RA14,0,14,20,23,36,43,49,29,6,217,5,16,19,27,22,29,45,43,19,220,12,18,41,31,29,36,30,10,3,212,5,20,51,25,29,26,23,8,6,194,3,17,42,19,33,47,12,8,8,194,8,20,48,31,34,27,11,3,0,186,4,7,51,21,34,22,10,0,0,153,0,8,24,29,18,25,4,0,0,102,0,0,17,16,17,18,5,0,0,78,0,0,18,29,33,25,5,0,0,108,0,0,3,10,6,0,6,0,0,18,0,0,8,3,10,11,10,0,0,41,41,47,93,74,80,77,55,37,16,513,177,177,492,392,443,464,317,160,57,2676,121,12,47,34,46,78,63,20,8,431,35,6,10,12,8,28,13,13,5,132,34,24,43,42,38,44,39,17,5,285,7,33,37,32,69,83,106,55,9,429,20,23,35,40,58,69,108,76,20,446,25,33,56,56,49,63,56,25,6,366
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,12,41,57,66,80,86,78,23,3,448,8,24,48,56,53,72,88,24,12,372,13,26,84,44,51,61,44,11,3,335,11,44,76,39,33,48,23,6,0,285,9,30,95,37,31,38,13,0,0,254,0,25,72,28,35,29,14,0,0,209,0,3,42,22,14,10,5,0,0,100,0,5,36,27,17,6,4,0,0,105,0,0,22,19,7,6,5,0,0,62,0,0,28,21,21,19,0,0,0,96,0,0,4,6,7,6,0,0,0,20,0,0,5,16,15,4,5,0,0,49,92,133,323,277,193,142,60,18,7,1244,279,418,1022,749,666,698,404,104,32,4381,110,62,118,99,108,160,64,9,5,733,43,17,35,30,26,54,21,3,0,230,95,75,117,99,122,114,54,13,0,689,24,82,139,179,184,190,178,52,4,1033,16,43,97,100,125,156,249,65,13,866,22,46,126,87,94,115,106,20,3,624
