RA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA10,489,5071,120,82385,385,103,232,218,257,406,149,288,270,1482,14531,18325,283,76,274,150,118,150,52,147,157,2731,3239,7373,122129,24770,7210,62678,19725,54749,9934,38814,12243,198336,20426,571016
RA11,141,1190,36,12305,122,55,45,112,69,157,44,156,65,631,6113,7571,155,73,116,99,43,77,11,69,48,1564,1223,3486,28976,9670,1502,23300,2952,14431,2039,14981,2800,79829,8603,189081
RA12,18,210,12,2459,59,11,12,43,16,78,8,41,27,167,1755,2216,108,32,39,49,10,37,9,23,26,442,403,1174,9012,2346,464,6604,712,3721,448,3346,621,16464,2540,46270
RA13,0,13,0,207,0,3,0,10,0,3,0,4,0,8,113,142,17,0,3,4,0,3,0,0,0,24,34,81,781,114,31,417,45,267,25,148,30,605,156,2614
RA14,0,0,0,49,0,0,0,0,0,5,0,4,0,0,43,46,3,0,3,0,0,4,0,0,0,0,10,26,176,38,13,71,10,52,3,24,10,158,54,604
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
