region_id,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA10050,67,1497,204,1768,84,1407,125,1616,190,2554,201,2945,287,2494,204,2985,373,2514,198,3085,399,2216,169,2784,198,1363,194,1755,109,778,181,1068,21,247,55,323,1728,15070,1531,18329,78,1547,154,1779,117,1602,110,1829,328,2537,164,3029,451,2535,176,3162,683,2514,155,3352,655,2071,182,2908,281,1458,232,1971,122,1038,250,1410,22,604,117,743,2737,15906,1540,20183,145,3044,358,3547,201,3009,235,3445,518,5091,365,5974,738,5029,380,6147,1056,5028,353,6437,1054,4287,351,5692,479,2821,426,3726,231,1816,431,2478,43,851,172,1066,4465,30976,3071,38512
LGA10110,33,938,113,1084,57,1019,75,1151,73,1105,129,1307,124,997,124,1245,226,1222,104,1552,189,1069,85,1343,100,679,92,871,46,352,64,462,14,126,25,165,862,7507,811,9180,61,1045,115,1221,66,1163,108,1337,149,1059,99,1307,221,1102,113,1436,312,1273,96,1681,310,992,73,1375,134,762,104,1000,63,468,130,661,13,230,64,307,1329,8094,902,10325,94,1983,228,2305,123,2182,183,2488,222,2164,228,2614,345,2099,237,2681,538,2495,200,3233,499,2061,158,2718,234,1441,196,1871,109,820,194,1123,27,356,89,472,2191,15601,1713,19505
LGA10150,46,813,129,988,82,1341,174,1597,166,3370,380,3916,268,2556,243,3067,351,2137,200,2688,272,1615,156,2043,130,918,147,1195,106,731,153,990,20,280,65,365,1441,13761,1647,16849,29,787,106,922,76,1391,126,1593,265,3361,318,3944,432,2633,222,3287,555,2167,188,2910,417,1532,149,2098,191,998,150,1339,96,920,173,1189,12,699,158,869,2073,14488,1590,18151,75,1600,235,1910,158,2732,300,3190,431,6731,698,7860,700,5189,465,6354,906,4304,388,5598,689,3147,305,4141,321,1916,297,2534,202,1651,326,2179,32,979,223,1234,3514,28249,3237,35000
LGA10200,89,1937,443,2469,195,2816,669,3680,495,6297,1322,8114,495,4118,827,5440,509,3608,649,4766,376,2574,369,3319,181,1363,205,1749,103,694,131,928,14,225,42,281,2457,23632,4657,30746,145,1755,307,2207,265,2525,356,3146,753,5524,729,7006,686,3837,524,5047,705,3362,454,4521,556,2418,251,3225,231,1256,197,1684,91,837,156,1084,26,463,87,576,3458,21977,3061,28496,234,3692,750,4676,460,5341,1025,6826,1248,11821,2051,15120,1181,7955,1351,10487,1214,6970,1103,9287,932,4992,620,6544,412,2619,402,3433,194,1531,287,2012,40,688,129,857,5915,45609,7718,59242
LGA10250,54,1046,131,1231,42,715,55,812,121,1378,106,1605,238,1884,122,2244,357,2221,149,2727,423,2274,150,2847,210,1591,154,1955,130,951,187,1268,50,370,100,520,1625,12430,1154,15209,51,1011,102,1164,77,670,38,785,180,1412,83,1675,399,2134,113,2646,648,2290,114,3052,708,2150,140,2998,359,1622,185,2166,160,1229,271,1660,40,669,170,879,2622,13187,1216,17025,105,2057,233,2395,119,1385,93,1597,301,2790,189,3280,637,4018,235,4890,1005,4511,263,5779,1131,4424,290,5845,569,3213,339,4121,290,2180,458,2928,90,1039,270,1399,4247,25617,2370,32234
LGA10300,4,61,12,77,0,47,9,56,16,85,6,107,12,122,15,149,18,134,21,173,12,141,25,178,7,82,17,106,6,45,10,61,0,7,3,10,75,724,118,917,3,53,7,63,3,47,7,57,10,94,8,112,25,112,11,148,45,123,19,187,36,98,16,150,13,71,7,91,4,44,15,63,0,19,8,27,139,661,98,898,7,114,19,140,3,94,16,113,26,179,14,219,37,234,26,297,63,257,40,360,48,239,41,328,20,153,24,197,10,89,25,124,0,26,11,37,214,1385,216,1815
LGA10350,316,5417,942,6675,366,5310,625,6301,926,9850,1164,11940,1193,9547,1013,11753,1481,9462,1001,11944,1273,7423,846,9542,644,4758,680,6082,406,2920,548,3874,103,1014,273,1390,6708,55701,7092,69501,389,5166,718,6273,597,5066,523,6186,1615,10090,1032,12737,2096,9494,1047,12637,2434,8858,904,12196,2031,6800,748,9579,854,4546,680,6080,456,3811,815,5082,88,1940,505,2533,10560,55771,6972,73303,705,10583,1660,12948,963,10376,1148,12487,2541,19940,2196,24677,3289,19041,2060,24390,3915,18320,1905,24140,3304,14223,1594,19121,1498,9304,1360,12162,862,6731,1363,8956,191,2954,778,3923,17268,111472,14064,142804
LGA10470,59,1322,187,1568,76,1347,237,1660,137,1799,408,2344,227,1908,306,2441,315,1980,209,2504,313,1770,178,2261,143,1173,151,1467,79,554,125,758,20,138,28,186,1369,11991,1829,15189,60,1259,139,1458,90,1353,97,1540,257,1771,114,2142,385,1966,138,2489,515,1913,122,2550,462,1596,154,2212,206,1114,144,1464,84,731,202,1017,14,382,65,461,2073,12085,1175,15333,119,2581,326,3026,166,2700,334,3200,394,3570,522,4486,612,3874,444,4930,830,3893,331,5054,775,3366,332,4473,349,2287,295,2931,163,1285,327,1775,34,520,93,647,3442,24076,3004,30522
LGA10550,53,853,143,1049,26,522,41,589,97,919,71,1087,154,1392,103,1649,298,1934,133,2365,390,2203,184,2777,215,1613,168,1996,106,745,162,1013,26,216,66,308,1365,10397,1071,12833,61,822,124,1007,39,435,32,506,161,992,87,1240,278,1475,95,1848,543,2002,125,2670,597,2001,144,2742,253,1474,172,1899,95,797,229,1121,11,355,129,495,2038,10353,1137,13528,114,1675,267,2056,65,957,73,1095,258,1911,158,2327,432,2867,198,3497,841,3936,258,5035,987,4204,328,5519,468,3087,340,3895,201,1542,391,2134,37,571,195,803,3403,20750,2208,26361
LGA10600,18,340,45,403,19,159,26,204,47,346,17,410,77,544,36,657,123,775,56,954,129,825,49,1003,80,543,50,673,37,299,42,378,6,101,20,127,536,3932,341,4809,23,343,39,405,24,177,11,212,77,339,22,438,144,656,24,824,221,838,42,1101,202,726,43,971,104,549,56,709,42,300,72,414,9,150,31,190,846,4078,340,5264,41,683,84,808,43,336,37,416,124,685,39,848,221,1200,60,1481,344,1613,98,2055,331,1551,92,1974,184,1092,106,1382,79,599,114,792,15,251,51,317,1382,8010,681,10073
