region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
LGA10050,163,145,132,135,218,144,106,87,1902,9,0,0,0,3,0,3,0,3,11,29,2838,244,359,196,190,185,267,206,155,242,4882
LGA10110,141,33,60,99,135,226,168,82,1243,0,0,0,0,0,3,3,3,0,3,12,1254,242,250,61,83,133,186,261,190,153,2813
LGA10150,1765,622,896,1000,825,617,299,603,14106,36,4,7,9,7,12,8,6,3,16,108,8812,1639,2154,724,985,1114,942,723,351,804,18248
LGA10200,5941,1529,2132,2357,2227,1527,892,1935,38011,91,47,34,14,18,40,26,18,5,47,340,16903,5046,6434,1641,2265,2544,2394,1645,944,2167,41983
LGA10250,114,29,27,26,48,45,18,36,821,0,0,0,0,0,0,0,0,0,0,0,2868,269,365,90,81,85,117,99,52,191,4217
LGA10300,9,4,3,6,0,7,0,11,99,0,0,0,0,0,0,0,0,0,0,0,84,20,24,4,6,6,0,10,0,16,170
LGA10350,6031,1495,1426,1576,1331,1160,575,2836,58650,232,42,54,9,12,20,8,11,9,73,470,43006,7064,6797,1664,1587,1777,1484,1275,664,3401,68719
LGA10470,113,31,33,39,40,29,25,231,1023,6,3,0,0,0,0,0,0,0,3,12,1974,219,259,67,73,65,94,67,50,326,3194
LGA10550,56,10,13,14,9,31,12,16,647,4,0,0,0,0,0,0,0,0,0,4,3039,145,171,40,30,43,34,50,29,168,3749
LGA10600,33,13,0,15,9,6,4,6,256,3,0,0,0,0,0,0,0,0,0,3,1136,82,114,31,20,21,22,27,12,66,1531
LGA10650,13,6,9,12,6,9,0,0,128,0,0,0,0,0,0,0,0,0,0,0,419,37,20,16,9,12,12,15,9,29,578
LGA10750,14019,3502,3594,3880,3073,2208,1227,2921,84174,282,88,135,35,28,43,41,39,15,97,803,55255,15418,17202,4217,4307,4579,3690,2768,1523,4259,113218
LGA10800,7,6,0,0,3,3,0,3,41,3,0,0,0,0,0,0,0,0,0,3,174,7,19,9,0,4,9,6,3,10,241
LGA10850,9,14,6,0,0,0,0,3,69,0,0,0,0,0,0,0,0,0,0,0,320,16,25,14,9,9,0,4,0,22,419
LGA10900,234,49,57,71,66,58,39,79,2517,11,0,3,0,0,0,0,0,0,3,17,9915,693,691,150,149,165,167,113,80,444,12567
LGA10950,3,3,7,6,9,3,9,6,49,0,0,0,0,0,0,0,0,0,0,0,53,0,3,7,7,6,9,3,9,11,108
