region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA10050,4936,9718,84,471,532,2435,151,692,2838,11139,3605,14737,217,887,426,1359,745,2313,1388,4559,4993,19296,28,116,155,553,81,318,1021,2765,1285,3752,78,258,241,519,606,1264,925,2041,2210,5793,178,360,12317,35167
LGA10110,2322,4572,47,282,270,1252,72,306,1245,4935,1634,6775,100,403,227,737,328,999,655,2139,2289,8914,19,90,82,287,42,144,522,1429,665,1950,21,61,105,224,258,539,384,824,1049,2774,86,176,5746,16436
LGA10150,3945,7943,36,198,405,1769,70,292,2612,9659,3123,11918,219,921,508,1715,763,2435,1490,5071,4613,16989,4,28,74,227,23,66,521,1282,622,1603,64,196,236,519,608,1316,908,2031,1530,3634,334,716,10422,29282
LGA10200,5331,10867,215,1352,936,4730,263,1272,5031,19954,6445,27308,545,2415,867,3066,1770,5962,3182,11443,9627,38751,41,219,198,764,92,381,911,2589,1242,3953,147,497,344,852,1071,2451,1562,3800,2804,7753,541,1213,18303,58584
LGA10250,4915,9740,76,411,434,1967,118,508,2133,8430,2761,11316,157,603,389,1232,671,2040,1217,3875,3978,15191,22,94,157,530,54,172,811,2140,1044,2936,62,180,210,438,619,1291,891,1909,1935,4845,125,257,10953,30033
LGA10300,249,495,3,30,33,144,0,10,138,556,174,740,10,38,14,46,59,188,83,272,257,1012,0,0,6,21,5,13,30,87,41,121,3,6,9,16,22,43,34,65,75,186,9,21,590,1714
LGA10350,12411,25120,650,3932,2618,12927,798,3882,11807,48623,15873,69364,1678,7488,1857,6640,5307,17852,8842,31980,24715,101344,157,783,640,2505,362,1385,2953,8713,4112,13386,463,1589,825,1978,3669,8399,4957,11966,9069,25352,834,1835,47029,153651
LGA10470,3793,7498,78,461,424,2004,129,605,2340,9416,2971,12486,178,708,332,1074,645,2012,1155,3794,4126,16280,26,117,127,468,63,242,787,2160,1003,2987,39,115,152,317,434,909,625,1341,1628,4328,147,296,9694,28402
LGA10550,4521,8886,60,336,362,1661,92,416,1621,6386,2135,8799,108,426,281,857,526,1569,915,2852,3050,11651,14,60,119,398,33,123,619,1696,785,2277,37,107,179,384,334,667,550,1158,1335,3435,72,147,8978,24119
LGA10600,1584,3095,22,130,139,622,35,138,683,2673,879,3563,40,164,115,359,188,562,343,1085,1222,4648,5,24,69,239,19,63,324,861,417,1187,10,39,93,186,176,363,279,588,696,1775,25,60,3527,9578
