region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,67,115,199,198,167,114,32,7,0,899,41,46,94,96,99,56,22,9,3,466,1626,2430,4483,4731,5082,3416,594,66,6,22434
LGA10110,40,50,67,65,80,53,9,6,0,370,27,13,18,31,30,28,10,6,0,163,821,1223,1684,1922,2521,1751,384,67,4,10377
LGA10150,16,70,179,140,138,102,31,3,0,679,19,65,132,94,98,55,15,4,6,488,522,1962,5939,4922,4304,2484,426,46,15,20620
LGA10200,24,122,258,216,223,115,21,0,0,979,62,200,363,267,229,113,15,3,4,1256,810,3408,9237,6257,5635,3093,424,40,8,28912
LGA10250,36,50,106,144,149,101,17,6,0,609,17,21,35,51,65,50,14,13,7,273,1086,1087,2314,3679,4448,3234,635,91,17,16591
LGA10300,0,4,6,3,4,4,6,0,0,27,4,0,13,8,6,9,5,0,0,45,49,76,157,221,264,199,53,7,3,1029
LGA10350,158,360,739,771,646,397,87,6,0,3164,126,329,580,510,509,224,58,26,0,2362,3394,7449,15949,16086,15937,9287,1628,125,13,69868
LGA10470,48,86,163,140,128,73,18,3,0,659,32,36,54,70,68,55,25,7,5,352,1229,2002,3116,3730,3981,2770,594,96,11,17529
LGA10550,37,54,59,85,117,82,12,0,0,446,19,12,37,55,73,56,17,6,0,275,877,756,1570,2608,3786,2802,564,71,7,13041
LGA10600,11,9,14,42,45,25,11,0,0,157,4,12,15,23,42,21,7,6,0,130,256,223,494,1026,1486,1042,204,41,6,4778
